variable,ss_value
chi,1.0
xi,1.0
Lab_costs,0.0
Price_costs,-3.90289874769857e-29
w,0.6143230271270335
VA,1.6639998431366783
C,0.813112720599641
Ctot,0.8382465034001642
Ctotg,0.3899264901224868
Ctots,0.4483200132776774
M,1.8286309836257029
C_g,0.385195915138575
C_s,0.4468087202135354
p_g,1.2032169411117966
p_s,0.7825238274014642
N,0.9291702236703459
pi,0.9999999999999999
pi_g,0.9999999999999999
pi_s,0.9999999999999999
r,1.0141987829614605
om_g,-0.5621189181535413
om_s,-0.8439700702945289
vi,0.0
Y,3.492604762337324
PV,0.5424083915459657
r_star,1.0141987829614605
Rworld,1.0141987829614605
pi_e,0.9999999999999999
Bstar,2.475981126624566
Pipstar,1.0
Q,0.5424083915459115
TB,0.01906886527937765
PX,0.7608308793512472
X,0.8443431058175022
Ystar,1.0
V,0.7753523092419834
PVstar,1.0
GDP,0.8321815858790186
IMP,1.1491957943669866
mkupV,1.0000000000001
CFs,0.007325957138653133
CFg,0.3665175279862352
POstar,1.0
PO,0.5424083915459115
VOil,0.14099788583755063
VNon,0.6343544234044328
PH_1,0.7664099972570155
PH_2,0.7741296303505865
PH_3,0.7368278966513673
PH_4,0.7202365018164395
PH_5,0.7521881456832021
PH_6,0.7513647985185717
PH_7,0.7385431865099495
PH_8,0.7509273165869547
PH_9,0.8116669662398672
PH_10,0.7322033144378893
PH_11,0.7131637709371091
PH_12,0.7054092730119041
P_1,0.9479134150648788
P_2,0.7787565334470782
P_3,1.268848224326298
P_4,0.7202368385327232
P_5,0.7521881456832368
P_6,0.7640672340312271
P_7,0.8978641448905403
P_8,0.7509273165869964
P_9,0.811666966239881
P_10,0.7471126592139301
P_11,0.713286756649823
P_12,0.705409273011938
L_1,0.04750724930395061
L_2,0.12581426280170818
L_3,0.14529852864706927
L_4,0.02496525600803369
L_5,0.029536222404791174
L_6,0.032298980528331044
L_7,0.09924735864634804
L_8,0.062006497795165004
L_9,0.021881800912425177
L_10,0.23683525513105194
L_11,0.10221002146030662
L_12,0.0015687900311651
M_1,0.14692784306924378
M_2,0.46032579536224777
M_3,0.538416027341879
M_4,0.0661205273772365
M_5,0.0478881642889512
M_6,0.03984790997508909
M_7,0.14773648047937465
M_8,0.07853396487237396
M_9,0.11894582087791988
M_10,0.15108641595284278
M_11,0.03239330455735584
M_12,0.00038266504613168736
Y_1,0.22899103000674892
Y_2,0.6801280569441739
Y_3,1.075876056067634
Y_4,0.15669823039693587
Y_5,0.09009726130067512
Y_6,0.08082242288545903
Y_7,0.31247733471871947
Y_8,0.16040532563782814
Y_9,0.14345043535611185
Y_10,0.419078329225243
Y_11,0.14248334319520659
Y_12,0.0020969366025883236
PM_1,0.740305130237815
PM_2,0.7429238736607352
PM_3,0.7468895178094073
PM_4,0.7453763191553238
PM_5,0.7408483879756521
PM_6,0.744809179556569
PM_7,0.7395593283319434
PM_8,0.7466708847567648
PM_9,0.7529383211573693
PM_10,0.7410156309519269
PM_11,0.7388834562221324
PM_12,0.7384846121576149
PL_1,0.6143230271270335
PL_2,0.6143230271270335
PL_3,0.6143230271270335
PL_4,0.6143230271270335
PL_5,0.6143230271270335
PL_6,0.6143230271270335
PL_7,0.6143230271270335
PL_8,0.6143230271270335
PL_9,0.6143230271270335
PL_10,0.6143230271270335
PL_11,0.6143230271270335
PL_12,0.6143230271270335
MC_1,0.6897689975313139
MC_2,0.6967166673155277
MC_3,0.6631451069862305
MC_4,0.6482128516347956
MC_5,0.6769693311148818
MC_6,0.6762283186667145
MC_7,0.6646888678589545
MC_8,0.6758345849282591
MC_9,0.7305002696158803
MC_10,0.6589829829941004
MC_11,0.6418473938433982
MC_12,0.6348683457107135
A_1,0.0
A_2,0.0
A_3,0.0
A_4,0.0
A_5,0.0
A_6,0.0
A_7,0.0
A_8,0.0
A_9,0.0
A_10,0.0
A_11,0.0
A_12,0.0
V_1,0.03686277779112271
V_2,0.10062331670383985
V_3,0.40940447597827434
V_4,0.06812652677716338
V_5,0.013588344057145513
V_6,0.009463929009102746
V_7,0.06908148243712556
V_8,0.021526994037942844
V_9,0.0032986599691742368
V_10,0.03450304435671013
V_11,0.008716155490244381
V_12,0.00015660263413790133
CHg_1,0.04163624666940356
CFg_1,0.003936928390998084
CHs_1,0.0
CFs_1,0.0
Cg_1,0.0359166334717952
Cs_1,0.0
CHg_2,1.1403252186029552e-8
CFg_2,1.24476109616595e-11
CHs_2,0.0
CFs_2,0.0
Cg_2,1.1344170750133722e-8
Cs_2,0.0
CHg_3,0.2806961225483492
CFg_3,0.36258059834343176
CHs_3,0.0
CFs_3,0.0
Cg_3,0.3179982325647855
Cs_3,0.0
CHg_4,0.0360116168992239
CFg_4,1.2393577681905732e-9
CHs_4,0.0
CFs_4,0.0
Cg_4,0.03601160099687186
Cs_4,0.0
CHg_5,1.1744863487820271e-8
CFg_5,0.0
CHs_5,0.0
CFs_5,0.0
Cg_5,1.1744863487819732e-8
Cs_5,0.0
CHg_6,0.0
CFg_6,0.0
CHs_6,0.05573750813628093
CFs_6,0.00019548116329020138
Cg_6,0.0
Cs_6,0.05494965668477523
CHg_7,0.0
CFg_7,0.0
CHs_7,0.08910750872993796
CFs_7,0.007034710139500623
Cg_7,0.0
Cs_7,0.07754561717086751
CHg_8,0.0
CFg_8,0.0
CHs_8,0.05654843262994421
CFs_8,0.0
Cg_8,0.0
Cs_8,0.05654843262994107
CHg_9,0.0
CFg_9,0.0
CHs_9,0.10066462732367108
CFs_9,0.0
Cg_9,0.0
Cs_9,0.10066462732366938
CHg_10,0.0
CFg_10,0.0
CHs_10,0.022019938380208406
CFs_10,9.315843662904864e-5
Cg_10,0.0
Cs_10,0.021648143133452636
CHg_11,0.0
CFg_11,0.0
CHs_11,0.13571736379950017
CFs_11,2.607399233260027e-6
Cg_11,0.0
Cs_11,0.13569594601577167
CHg_12,0.0
CFg_12,0.0
CHs_12,0.0012675903191999864
CFs_12,0.0
Cg_12,0.0
Cs_12,0.0012675903191999255
PIV_1,0.5424083915459568
VOil_1,0.006027064168848816
VNon_1,0.030835713622273896
PIV_2,0.5424083915459539
VOil_2,0.0217748857347118
VNon_2,0.07884843096912805
PIV_3,0.5424083915459552
VOil_3,0.07737744595989697
VNon_3,0.3320270300183773
PIV_4,0.542408391545961
VOil_4,0.005933820482291202
VNon_4,0.06219270629487219
PIV_5,0.5424083915459635
VOil_5,0.0005666339471829951
VNon_5,0.013021710109962519
PIV_6,0.5424083915459613
VOil_6,0.0007504895704218823
VNon_6,0.008713439438680864
PIV_7,0.5424083915459454
VOil_7,0.025795025542023488
VNon_7,0.04328645689510207
PIV_8,0.5424083915459657
VOil_8,9.256607436315887e-5
VNon_8,0.02143442796357969
PIV_9,0.5424083915459632
VOil_9,0.0001481098326159303
VNon_9,0.003150550136558306
PIV_10,0.5424083915459622
VOil_10,0.002184042707779853
VNon_10,0.032319001648930284
PIV_11,0.5424083915459635
VOil_11,0.0003408016796685717
VNon_11,0.00837535381057581
PIV_12,0.5424083915459632
VOil_12,7.000137745964523e-6
VNon_12,0.00014960249639193681
C_f,0.8131127205996497
C_g_f,0.3851959151385816
C_s_f,0.44680872021353635
CFs_f,0.007325957138653556
CFg_f,0.3665175279862563
PV_f,0.5424083915459401
p_g_f,1.2032169411117888
p_s_f,0.782523827401471
r_f,1.0141987829614605
N_f,0.9291702236703413
Lab_costs_f,0.0
w_f,0.6143230271270435
Y_f,3.492604762337395
Ctot_f,0.8382465034001709
Ctots_f,0.44832001327767723
Ctotg_f,0.38992649012249364
VA_f,1.6639998431367122
GDP_f,0.8321815858790296
TB_f,0.019068865279379836
M_f,1.828630983625738
r_star_f,1.0141987829614605
pi_e_f,1.0
Q_f,0.5424083915459401
Bstar_f,2.4759811266246934
PX_f,0.7608308793512437
X_f,0.8443431058175265
IMP_f,1.1491957943670517
V_f,0.7753523092420271
Y_g_f,2.2317906347162193
Y_s_f,1.260814127621176
PO_f,0.5424083915459401
VOil_f,0.14099788583755238
VNon_f,0.6343544234044746
P_f_1,0.9479134150648636
PM_f_1,0.7403051302378129
PH_f_1,0.7664099972570131
Cg_f_1,0.03591663347179615
Cs_f_1,0.0
CHg_f_1,0.041636246669404124
CFg_f_1,0.00393692839099831
CHs_f_1,0.0
CFs_f_1,0.0
L_f_1,0.04750724930395014
Y_f_1,0.22899103000675317
M_f_1,0.14692784306924647
V_f_1,0.036862777791124894
MC_f_1,0.6897689975313118
PL_f_1,0.6143230271270435
PIV_f_1,0.5424083915459401
VOil_f_1,0.0060270641688489205
VNon_f_1,0.030835713622275975
P_f_2,0.7787565334471502
PM_f_2,0.7429238736607329
PH_f_2,0.774129630350584
Cg_f_2,1.1344170750132792e-8
Cs_f_2,0.0
CHg_f_2,1.1403252186029706e-8
CFg_f_2,1.2447610961660218e-11
CHs_f_2,0.0
CFs_f_2,0.0
L_f_2,0.1258142628017078
Y_f_2,0.6801280569441913
M_f_2,0.4603257953622596
V_f_2,0.10062331670384576
MC_f_2,0.6967166673155256
PL_f_2,0.6143230271270435
PIV_f_2,0.5424083915459401
VOil_f_2,0.021774885734712222
VNon_f_2,0.07884843096913353
P_f_3,1.2688482243262915
PM_f_3,0.7468895178094038
PH_f_3,0.7368278966513604
Cg_f_3,0.31799823256479054
Cs_f_3,0.0
CHg_f_3,0.2806961225483549
CFg_f_3,0.36258059834345263
CHs_f_3,0.0
CFs_f_3,0.0
L_f_3,0.14529852864706713
Y_f_3,1.0758760560676586
M_f_3,0.5384160273418878
V_f_3,0.40940447597829543
MC_f_3,0.6631451069862244
PL_f_3,0.6143230271270435
PIV_f_3,0.5424083915459399
VOil_f_3,0.07737744595989783
VNon_f_3,0.3320270300183975
P_f_4,0.7202368385327144
PM_f_4,0.7453763191553207
PH_f_4,0.7202365018164297
Cg_f_4,0.03601160099687269
Cs_f_4,0.0
CHg_f_4,0.036011616899224774
CFg_f_4,1.2393577681906447e-9
CHs_f_4,0.0
CFs_f_4,0.0
L_f_4,0.024965256008033142
Y_f_4,0.15669823039693934
M_f_4,0.06612052737723705
V_f_4,0.06812652677716739
MC_f_4,0.6482128516347868
PL_f_4,0.6143230271270435
PIV_f_4,0.5424083915459401
VOil_f_4,0.005933820482291281
VNon_f_4,0.06219270629487613
P_f_5,0.7521881456832229
PM_f_5,0.7408483879756483
PH_f_5,0.7521881456831994
Cg_f_5,1.1744863487820071e-8
Cs_f_5,0.0
CHg_f_5,1.1744863487820439e-8
CFg_f_5,0.0
CHs_f_5,0.0
CFs_f_5,0.0
L_f_5,0.02953622240479083
Y_f_5,0.0900972613006767
M_f_5,0.04788816428895216
V_f_5,0.01358834405714654
MC_f_5,0.6769693311148794
PL_f_5,0.6143230271270435
PIV_f_5,0.5424083915459403
VOil_f_5,0.0005666339471830108
VNon_f_5,0.013021710109963532
P_f_6,0.7640672340312107
PM_f_6,0.7448091795565689
PH_f_6,0.751364798518573
Cg_f_6,0.0
Cs_f_6,0.054949656684777005
CHg_f_6,0.0
CFg_f_6,0.0
CHs_f_6,0.05573750813628143
CFs_f_6,0.00019548116329021268
L_f_6,0.03229898052833078
