period,variable,value
1,GDP,-0.9257232984519138
2,GDP,-0.40042543905315336
3,GDP,-0.17187050312472593
4,GDP,-0.07343973418466153
5,GDP,-0.031669285175315996
6,GDP,-0.014304353104674762
7,GDP,-0.007291611398373634
8,GDP,-0.004575579354573272
9,GDP,-0.003588574379038104
10,GDP,-0.003267109753766231
11,GDP,-0.0031858392267665146
12,GDP,-0.0031835245678456907
13,GDP,-0.003204118720180915
14,GDP,-0.0032309198075337253
15,GDP,-0.003260358346098454
16,GDP,-0.0032922506428993133
17,GDP,-0.0033266255925256246
18,GDP,-0.0033629992590913796
19,GDP,-0.0034004418399352547
20,GDP,-0.0034378162907882266
21,GDP,-0.003473985767152757
22,GDP,-0.0035079453437492918
23,GDP,-0.0035388861930449552
24,GDP,-0.0035662126404794998
25,GDP,-0.0035895309487363144
26,GDP,-0.00360862367485864
27,GDP,-0.003623418612748091
28,GDP,-0.0036339576514675623
29,GDP,-0.0036403683700241404
30,GDP,-0.0036428396027978916
31,GDP,-0.0036416012728641084
32,GDP,-0.0036369082804518513
33,GDP,-0.0036290279899524013
34,GDP,-0.0036182307727406866
35,GDP,-0.0036047830646996006
36,GDP,-0.0035889424434365916
37,GDP,-0.003570954294977842
38,GDP,-0.003551049708606374
39,GDP,-0.0035294443037636246
40,GDP,-0.0035063377509761953
1,pi,0.07251702625109424
2,pi,0.029901555120261165
3,pi,0.006911262423302955
4,pi,-0.001191317498823209
5,pi,-0.0033571164633817104
6,pi,-0.0033526380518939373
7,pi,-0.0026995929615106387
8,pi,-0.0019703035637721436
9,pi,-0.0013489273141566766
10,pi,-0.0008702778539514974
11,pi,-0.0005184776369637303
12,pi,-0.00026563535427478563
13,pi,-8.552444648338298e-5
14,pi,4.269749639190376e-5
15,pi,0.0001344092585288228
16,pi,0.00020053393509394203
17,pi,0.0002486757340952385
18,pi,0.0002840787776050919
19,pi,0.00031035140504822076
20,pi,0.0003299840156953496
21,pi,0.00034470805999638914
22,pi,0.00035574047934867187
23,pi,0.0003639484638143054
24,pi,0.00036995995899859516
25,pi,0.00037423771348585566
26,pi,0.0003771290082815626
27,pi,0.0003788992269350281
28,pi,0.00037975469593734806
29,pi,0.00037985838792330064
30,pi,0.0003793408577006485
31,pi,0.0003783079735885855
32,pi,0.0003768464755390661
33,pi,0.000375028043184865
34,pi,0.0003729123286080695
35,pi,0.0003705492587838571
36,pi,0.00036798081408611185
37,pi,0.0003652424241332108
38,pi,0.00036236407899407105
39,pi,0.0003593712248118724
40,pi,0.00035628549332345665
1,Q,-0.15499779244454187
2,Q,-0.14054307231565222
3,Q,-0.09551034977579424
4,Q,-0.05161337795933982
5,Q,-0.01765379410783548
6,Q,0.005924683010637269
7,Q,0.021161001498813344
8,Q,0.030392001807191992
9,Q,0.03556413916403722
10,Q,0.038113363713702955
11,Q,0.03903291738568627
12,Q,0.03898201260099923
13,Q,0.03838474960266738
14,Q,0.037506512403722755
15,Q,0.03650858327360242
16,Q,0.03548549394891008
17,Q,0.03448984426556065
18,Q,0.03354845156720833
19,Q,0.032672681592137445
20,Q,0.03186495448181349
21,Q,0.031122775673784575
22,Q,0.030441186054380724
23,Q,0.0298142148908993
24,Q,0.029235711664759557
25,Q,0.028699796735947778
26,Q,0.028201082391709337
27,Q,0.027734759028274453
28,Q,0.027296605008936096
29,Q,0.026882955850663658
30,Q,0.026490654040178103
31,Q,0.026116991868960982
32,Q,0.025759654207101974
33,Q,0.02541666482873232
34,Q,0.025086337942395412
35,Q,0.02476723545232468
36,Q,0.024458129856682775
37,Q,0.024157972373502378
38,Q,0.02386586574857665
39,Q,0.023581041164658863
40,Q,0.023302838691250903
1,TB,-34.60370103894399
2,TB,-12.032615080848442
3,TB,-3.05172442902269
4,TB,0.27985868423719
5,TB,1.3527747602916653
6,TB,1.582839390239755
7,TB,1.5393731611985741
8,TB,1.4366364646073329
9,TB,1.3451345142892153
10,TB,1.2806624514187905
11,TB,1.2406212107972072
12,TB,1.2180101187461112
13,TB,1.206248475743583
14,TB,1.2004191274626472
15,TB,1.1972481098259682
16,TB,1.194734159839643
17,TB,1.191758610079563
18,TB,1.1877732242048658
19,TB,1.1825774112236351
20,TB,1.1761694079888307
21,TB,1.1686515202578347
22,TB,1.1601723135147153
23,TB,1.1508929692237704
24,TB,1.1409689070930922
25,TB,1.1305407433205314
26,TB,1.1197307555644505
27,TB,1.1086424457526216
28,TB,1.0973617232914306
29,TB,1.085958827961965
30,TB,1.074490486375735
31,TB,1.0630020262864406
32,TB,1.0515293115842181
33,TB,1.0401004416962274
34,TB,1.0287372044620144
35,TB,1.0174562953735853
36,TB,1.0062703271657163
37,TB,0.9951886575530106
38,TB,0.9842180627495324
39,TB,0.9733632822528148
40,TB,0.9626274573772435
1,C,-0.13591786079876256
2,C,-0.1276309343164701
3,C,-0.1043330486878894
4,C,-0.08172516711347239
5,C,-0.0641368303034521
6,C,-0.05176007015922666
7,C,-0.043563514722047586
8,C,-0.038374440262493925
9,C,-0.035218414348662026
10,C,-0.033377432728409706
11,C,-0.032355221813782885
12,C,-0.03182258459906566
13,C,-0.03156783121395656
14,C,-0.031458552586894103
15,C,-0.031414315576842024
16,C,-0.03138799920946422
17,C,-0.0313533984297521
18,C,-0.03129716089128387
19,C,-0.031213630791200136
20,C,-0.03110160307137425
21,C,-0.030962313468475142
22,C,-0.030798217600228855
23,C,-0.03061226764673525
24,C,-0.030407498816919985
25,C,-0.03018680582548717
26,C,-0.02995283374631409
27,C,-0.02970793597374856
28,C,-0.029454170098840948
29,C,-0.029193313933127726
30,C,-0.028926891073542963
31,C,-0.02865619984696377
32,C,-0.028382342199693666
33,C,-0.02810625074481984
34,C,-0.02782871315561588
35,C,-0.02755039365348103
36,C,-0.027271851646297456
37,C,-0.026993557728776436
38,C,-0.026715907323092824
39,C,-0.026439232254374747
40,C,-0.026163810544738653
1,N,0.8219041499099609
2,N,0.34301481104135556
3,N,0.14863689844281697
4,N,0.07340377721468333
5,N,0.04652824671225565
6,N,0.03829661971302512
7,N,0.036611080374171975
8,N,0.036789444251671376
9,N,0.03718138542165215
10,N,0.03731743549326691
11,N,0.037148726779251504
