period,variable,value
1,GDP,-5.176247751018727
2,GDP,-2.2218485417448357
3,GDP,-0.94164786270315
4,GDP,-0.3937423937415752
5,GDP,-0.16366167570565177
6,GDP,-0.06986444229904036
7,GDP,-0.03346787364205065
8,GDP,-0.02059237652374923
9,GDP,-0.016935558785831157
10,GDP,-0.016616465276414517
11,GDP,-0.017316881316068816
12,GDP,-0.01818787096785943
13,GDP,-0.018962114889782403
14,GDP,-0.019586671496168735
15,GDP,-0.02007693902732731
16,GDP,-0.020462452019797576
17,GDP,-0.020769389089395136
18,GDP,-0.02101682221654061
19,GDP,-0.021217472508397086
20,GDP,-0.02137948228384531
21,GDP,-0.02150803680121674
22,GDP,-0.02160655600957003
23,GDP,-0.02167747936807609
24,GDP,-0.021722744042938592
25,GDP,-0.021744055557082618
26,GDP,-0.021743027457068846
27,GDP,-0.021721243098841065
28,GDP,-0.021680274054483348
29,GDP,-0.02162167647267747
30,GDP,-0.021546977977128366
31,GDP,-0.021457662127223224
32,GDP,-0.02135515406016032
33,GDP,-0.02124080892539135
34,GDP,-0.021115903590562736
35,GDP,-0.0209816315013324
36,GDP,-0.020839100297173233
37,GDP,-0.020689331685451284
38,GDP,-0.02053326307372789
39,GDP,-0.02037175050604079
40,GDP,-0.020205572514421514
1,pi,0.334863380105746
2,pi,0.12677892599068294
3,pi,0.026031050693543743
4,pi,-0.007760850384820992
5,pi,-0.015601606989855465
6,pi,-0.014475659610041434
7,pi,-0.011003360557804412
8,pi,-0.007534527780561815
9,pi,-0.0047363133003576596
10,pi,-0.0026653836943120045
11,pi,-0.0011943965774709536
12,pi,-0.00016962356392120938
13,pi,0.0005392742029011022
14,pi,0.0010299740617375633
15,pi,0.0013715028014669526
16,pi,0.0016111626433509337
17,pi,0.0017808634082875359
18,pi,0.0019019974276248879
19,pi,0.0019889132891541257
20,pi,0.0020512909403481673
21,pi,0.002095727681681993
22,pi,0.0021267830261564365
23,pi,0.002147662279551792
24,pi,0.0021606627378706667
25,pi,0.002167465348767157
26,pi,0.0021693262435786083
27,pi,0.0021672034773332237
28,pi,0.0021618417809892904
29,pi,0.0021538299951925463
30,pi,0.0021436406153850767
31,pi,0.0021316575187685107
32,pi,0.002118195794380172
33,pi,0.0021035162228703348
34,pi,0.00208783607212558
35,pi,0.0020713373093404442
36,pi,0.0020541729652374416
37,pi,0.002036472149232113
38,pi,0.002018344059294896
39,pi,0.001999881227766208
40,pi,0.0019811621757922777
1,Q,-0.6468451482026766
2,Q,-0.5714019339796639
3,Q,-0.36656396610723835
4,Q,-0.17221119430864765
5,Q,-0.02484538490621201
6,Q,0.07562501273108249
7,Q,0.13940717240072673
8,Q,0.177343963957715
9,Q,0.19814543357937883
10,Q,0.20806743695885838
11,Q,0.21133913046193029
12,Q,0.21070980242956464
13,Q,0.20791457658546209
14,Q,0.20401993361171983
15,Q,0.19966318338215583
16,Q,0.19521194228167635
17,Q,0.19086758902503614
18,Q,0.18673110875219043
19,Q,0.18284435138974645
20,Q,0.17921551326208401
21,Q,0.1758346351566334
22,Q,0.17268285637728767
23,Q,0.16973780657012777
24,Q,0.16697663658236908
25,Q,0.16437762616464063
26,Q,0.16192094932394105
27,Q,0.15958895372303084
28,Q,0.15736617043731346
29,Q,0.15523918352898808
30,Q,0.15319643544724573
31,Q,0.15122801165367356
32,Q,0.14932542819629155
33,Q,0.14748143425857682
34,Q,0.14568983489991008
35,Q,0.14394533536090906
36,Q,0.1422434062442622
37,Q,0.14058016786967475
38,Q,0.13895229169554146
39,Q,0.13735691663119204
40,Q,0.13579157817172155
