period,variable,value
1,GDP,-2.5464010667306773
2,GDP,-0.9538061431919421
3,GDP,-0.29056320061649393
4,GDP,-0.03014270719701648
5,GDP,0.05947182241471538
6,GDP,0.07956175928863125
7,GDP,0.07363533929978654
8,GDP,0.05984603721455559
9,GDP,0.045351933716248766
10,GDP,0.03264277209837958
11,GDP,0.022302929353218634
12,GDP,0.014199261292712654
13,GDP,0.007977538287942159
14,GDP,0.0032589084255045596
15,GDP,-0.00029112279208071243
16,GDP,-0.0029458548699285193
17,GDP,-0.004920289196741748
18,GDP,-0.006380199985922581
19,GDP,-0.007451997914260273
20,GDP,-0.0082314832183998
21,GDP,-0.008791009730314485
22,GDP,-0.009185122564772434
23,GDP,-0.009454903454034677
24,GDP,-0.009631281918530583
25,GDP,-0.009737542362443733
26,GDP,-0.009791215652825135
27,GDP,-0.00980550357879956
28,GDP,-0.00979035051379527
29,GDP,-0.00975324932778482
30,GDP,-0.009699847397201445
31,GDP,-0.009634402344078866
32,GDP,-0.009560124840578464
33,GDP,-0.009479436538020018
34,GDP,-0.009394164198581733
35,GDP,-0.009305685862047197
36,GDP,-0.00921504094068398
37,GDP,-0.009123013177859686
38,GDP,-0.009030193185626572
39,GDP,-0.008937025609288964
40,GDP,-0.00884384471482996
1,pi,0.04563740309902151
2,pi,0.01820193212312453
3,pi,0.007719300791712731
4,pi,0.0034419389657883164
5,pi,0.0017738560669742199
6,pi,0.0011771342353276318
7,pi,0.0009999249242839338
8,pi,0.0009732543125092855
9,pi,0.0009909613054012666
10,pi,0.0010144013283824827
11,pi,0.0010317924557088354
12,pi,0.001041273749572999
13,pi,0.0010441110100950456
14,pi,0.0010421515646392209
15,pi,0.0010369963407423533
16,pi,0.0010298241866718726
17,pi,0.0010214347729610765
18,pi,0.0010123431806193768
19,pi,0.0010028686809465733
20,pi,0.000993202838316581
21,pi,0.0009834571276253017
22,pi,0.000973694452925574
23,pi,0.0009639492209051535
24,pi,0.0009542397262222986
25,pi,0.0009445755651885602
26,pi,0.0009349619281297646
27,pi,0.000925401983486446
28,pi,0.0009158981268903042
29,pi,0.0009064525765959492
30,pi,0.000897067608222745
31,pi,0.0008877456027206584
32,pi,0.0008784890077120069
33,pi,0.0008693002675433877
34,pi,0.0008601817507528888
35,pi,0.000851135688272355
36,pi,0.0008421641271332001
37,pi,0.0008332688999636336
38,pi,0.0008244516084488435
39,pi,0.000815713618134402
40,pi,0.0008070560618663682
1,Q,-0.042440936242265075
2,Q,-0.03785813117836504
3,Q,-0.017045185885672293
4,Q,0.005176795089671665
5,Q,0.024027006213170575
6,Q,0.03860553940807177
7,Q,0.04935246937995481
8,Q,0.05704183998525028
9,Q,0.06241800159740577
10,Q,0.06609039134181498
11,Q,0.06852493032015086
12,Q,0.07006608640763505
13,Q,0.07096430934149171
14,Q,0.0714002898421655
15,Q,0.07150404624760962
16,Q,0.0713691589221437
17,Q,0.07106310563504956
18,Q,0.07063466795438103
19,Q,0.07011920966100683
20,Q,0.06954243489620181
21,Q,0.06892306845353799
22,Q,0.06827477356166949
23,Q,0.06760752965560085
24,Q,0.0669286265314311
25,Q,0.06624338483387804
