sector,pH_ss,Yi_ss,L_ss,M_ss,Vi_ss,std_Y_m,std_PH_m,std_L_m,y_d,p_d,l_d
1,0.7368941157724578,0.19913840014194872,0.04318176960915343,0.13396082531423226,0.023384700837254434,0.06281679933792694,0.04774876024292822,0.04871908256177704,0.40251267343461694,0.12755778523008562,0.12547528313692582
2,0.7412457193321509,0.15325546745886132,0.029332194295341573,0.10850852095831855,0.016372557087014156,0.08138590313735988,0.065638391770629,0.057173663217573674,0.06593079046603538,0.1667265432851105,0.04472775896592664
3,0.7451463432865255,0.7623739275241584,0.11511021362129646,0.42559036661936195,0.22636456267761526,0.06009552738797132,0.045737502524389066,0.05143035394971365,0.037661332268191294,0.052784529456403655,0.030172084868685698
4,0.7259523865756556,0.16123394086331735,0.029093050618825504,0.07769837850624217,0.055408028330838945,0.07974924943630829,0.06400663234417468,0.045797131010098587,0.06276071037538249,0.1266281936411397,0.02381368614369391
5,0.7174046894557501,0.1919194599597931,0.06618014139666918,0.10644565015235075,0.021249195153661755,0.08714630046803683,0.06964315986546904,0.040796657709664966,0.07500974078943079,0.035072829700725,0.045993141146305844
6,0.6930138848595431,0.13065539075068122,0.0535103456417631,0.0674561610708327,0.010942678124174668,0.07377530842967388,0.056252984032452574,0.03286869107143852,0.0745418417254239,0.0264697554562325,0.03224095216576264
7,0.7006025470450636,0.3167380855847157,0.10669223668482661,0.16083609860283518,0.051829703009989035,0.06971782785371756,0.0703095082335048,0.038827937712914706,0.053809896952713474,0.030682476820986463,0.027658613082678106
8,0.680328099099796,0.24211814122284947,0.09459231072122694,0.12642482329482127,0.022919504900055742,0.07703866521560924,0.08682922216378386,0.04304673696512067,0.029223511737153634,0.04722737845500467,0.04593886723133694
9,0.7576719344757766,0.19948888411511517,0.029866325801127493,0.16748964114290513,0.0031422410317077346,0.08312194341905602,0.07421886047806328,0.020663919616844013,0.019588167848392908,0.019445232992043114,0.028984767311891764
10,0.6490303091672007,0.4110825185073448,0.234749274079575,0.15591873043344234,0.023868137556160053,0.07188541711975045,0.07935046400769794,0.04674124930828192,0.059726729129815526,0.0166288379496875,0.029087751485216997
11,0.624557830346159,0.20974401253259697,0.15331080913290238,0.04912192357074261,0.00912446636691814,0.06877840866236376,0.07292404171911959,0.01822896579160264,0.16194340750807995,0.10068145458771487,0.022022358090045845
12,0.6151180707381884,0.06827832617332458,0.05226035061186035,0.012897695225079229,0.003640908545639411,0.10586458245015815,0.08140841248559985,0.06847848624666425,0.011641066166204889,0.02869227212293004,0.047218632187448144
