sector,pH_ss,Yi_ss,L_ss,M_ss,Vi_ss,std_Y_m,std_PH_m,std_L_m,y_d,p_d,l_d
1,0.7853275883195919,0.21101178344286053,0.03866470639705298,0.13552575444835768,0.04016630903057789,0.03188533179551061,0.0183601825043807,0.057527351047946755,0.398020268458774,0.12755778523020633,0.1254752831369702
2,0.7951039797054733,0.16005921048475533,0.026242258362598286,0.10818741196660395,0.02809887895763832,0.03264199439991664,0.058337474689026225,0.1093585030105292,0.06537619570240252,0.1667265432849996,0.04472775896515823
3,0.7320281198823407,0.8345985835095923,0.09508511193338978,0.4045157424982204,0.35869302165290573,0.02484891018724974,0.0389263212568685,0.11391045724596735,0.03803042408464101,0.05278452945638629,0.03017208486847912
4,0.7162641494794248,0.1838106535137626,0.02474151120480008,0.07425847934211906,0.09039106069133905,0.019759792938328507,0.025779596911934717,0.04335547288434824,0.063021741707141,0.12662819364124472,0.02381368614358223
5,0.7745609997151243,0.21297813797868967,0.06211843221575548,0.1156247899870944,0.038260541022236395,0.05670169107747332,0.06734214676825741,0.08804279846888523,0.0737025779099151,0.0350728297008308,0.045993141145947145
6,0.7888311602918858,0.1409821382744031,0.05158661248323708,0.07102636796159266,0.020236653936545484,0.03572323407911741,0.04140844974677844,0.056011162940812605,0.07525188341144529,0.025720034292135735,0.032240952165519414
7,0.7616997703597677,0.33380779385124654,0.09454672926860251,0.15784872854139986,0.08810655822022806,0.015879010549123513,0.014910438422367427,0.01578018996952968,0.05409199349101475,0.030682476821033478,0.027658613082464697
8,0.79546292528566,0.2476134881716541,0.08881385747952641,0.12162914892667546,0.04128059580393121,0.01976390876354275,0.025609843057135873,0.028186631837065875,0.02670396965678287,0.04696457772408393,0.04593886723146957
9,0.8471191617261018,0.215825003683307,0.02988060829611637,0.1808070073097329,0.006030633803162067,0.05756514045610877,0.06846121764110327,0.06836196462140527,0.019261766630448852,0.01944523299201208,0.028984767311945367
10,0.7857772975385587,0.4091712359106471,0.21873790173046884,0.15206230023078202,0.04266327024870408,0.024975784155185355,0.05688510373936928,0.07716065747762743,0.04860094117632613,0.017219798795357646,0.029087751484891424
11,0.7702303998345822,0.20982395495016415,0.14373222798492916,0.05109998130381566,0.016409852704595756,0.012030607692869405,0.01836562572367221,0.010212049853513145,0.15989910261644152,0.10068145458770679,0.02202235808998156
12,0.7629931564522091,0.06986557024448087,0.050023535123786586,0.01367755239537971,0.006685404004302549,0.010982354684555481,0.020784105056360472,0.00829042088585808,0.011432925264476358,0.028692272122975954,0.04721863218767159
