period,variable,value
1,GDP,-0.22995830659295347
2,GDP,-0.17671765984569646
3,GDP,-0.13839846970820827
4,GDP,-0.11006638581120652
5,GDP,-0.08871517276261545
6,GDP,-0.07231927293119801
7,GDP,-0.059499783951633196
8,GDP,-0.04930715337734863
9,GDP,-0.04107910984912047
10,GDP,-0.034347268322161485
11,GDP,-0.028775354277990883
12,GDP,-0.02411806271312461
13,GDP,-0.02019345292828665
14,GDP,-0.016864273055464927
15,GDP,-0.014025212553491345
16,GDP,-0.011594116815016072
17,GDP,-0.00950586947764306
18,GDP,-0.00770808510570608
19,GDP,-0.006158040767854463
20,GDP,-0.004820462971893676
21,GDP,-0.003665910679432334
22,GDP,-0.002669577787147915
23,GDP,-0.0018103938136040795
24,GDP,-0.0010703388502334703
25,GDP,-0.0004339141779038759
26,GDP,0.00011227271227139623
27,GDP,0.0005798380049132333
28,GDP,0.0009788873639902137
29,GDP,0.0013182328556462675
30,GDP,0.0016055720947200404
31,GDP,0.0018476378077118864
32,GDP,0.002050323919785343
33,GDP,0.0022187927686148296
34,GDP,0.002357566953452444
35,GDP,0.002470608525385366
36,GDP,0.0025613876315439318
37,GDP,0.002632942283604899
38,GDP,0.0026879305879022796
39,GDP,0.0027286765212702424
40,GDP,0.0027572101422128396
1,pi,-0.020184364258554008
2,pi,0.03667034111149272
3,pi,0.02845833911913522
4,pi,0.022661423643099775
5,pi,0.01848354554469449
6,pi,0.015381867891224565
7,pi,0.01300863275363142
8,pi,0.011139515001805654
9,pi,0.009628451444767098
10,pi,0.00837914720839289
11,pi,0.007327088147438391
12,pi,0.006428172581783873
13,pi,0.0056515145119836185
14,pi,0.004974876673657155
15,pi,0.004381762490465004
16,pi,0.0038595553755570436
17,pi,0.003398320140721687
18,pi,0.0029900237744603757
19,pi,0.002628022578407398
20,pi,0.002306719150283678
21,pi,0.002021328278764303
22,pi,0.0017677132213824798
23,pi,0.001542267950665198
24,pi,0.0013418298483007416
25,pi,0.0011636129362799107
26,pi,0.0010051552749846338
27,pi,0.0008642763972912352
28,pi,0.0007390420670660657
29,pi,0.000627734553344355
30,pi,0.0005288271888827278
31,pi,0.00044096235375397217
32,pi,0.0003629322667656587
33,pi,0.00029366212727545426
34,pi,0.00023219525737188634
35,pi,0.00017767996823958644
36,pi,0.00012935792671894646
37,pi,8.655383611139221e-5
38,pi,4.866627393081739e-5
39,pi,1.5159551587644519e-5
40,pi,-1.4443521145528348e-5
1,Q,-0.3168670747115137
2,Q,-0.36664806212338097
3,Q,-0.3813739607825919
4,Q,-0.3755842652226095
5,Q,-0.3584231241849022
6,Q,-0.3354997359394831
7,Q,-0.31020903581199233
8,Q,-0.284563089913536
9,Q,-0.25971416848357065
10,Q,-0.23628353941878447
11,Q,-0.2145678501070853
12,Q,-0.1946683925298078
13,Q,-0.17657180140658993
14,Q,-0.16020018209336023
15,Q,-0.14544201346004482
16,Q,-0.13217097801881983
17,Q,-0.12025722798421776
18,Q,-0.1095739288958596
19,Q,-0.10000087098012009
20,Q,-0.09142627511302948
21,Q,-0.08374750171876269
22,Q,-0.07687110683176424
23,Q,-0.07071252289220574
24,Q,-0.06519553670355807
25,Q,-0.06025167069075039
