period,variable,value
1,GDP,-0.3102512593977443
2,GDP,-0.29181558761280624
3,GDP,-0.2722552249716007
4,GDP,-0.25316069113998296
5,GDP,-0.23532524257573353
6,GDP,-0.21898895896516432
7,GDP,-0.204153778887093
8,GDP,-0.19073187507546133
9,GDP,-0.1786074350534291
10,GDP,-0.1676612089277188
11,GDP,-0.1577797390743854
12,GDP,-0.14885840516258939
13,GDP,-0.14080201997001313
14,GDP,-0.133524491428785
15,GDP,-0.1269481615387316
16,GDP,-0.12100306526712193
17,GDP,-0.11562620354225188
18,GDP,-0.11076086420779074
19,GDP,-0.10635600064408209
20,GDP,-0.102365668274092
21,GDP,-0.098748515644714
22,GDP,-0.0954673256570597
23,GDP,-0.09248860236144336
24,GDP,-0.08978219894111321
25,GDP,-0.08732098284182313
26,GDP,-0.0850805343647471
27,GDP,-0.08303887538999977
28,GDP,-0.08117622522348471
29,GDP,-0.07947478085720391
30,GDP,-0.07791851920273653
31,GDP,-0.0764930191010219
32,GDP,-0.07518530113101178
33,GDP,-0.0739836834373873
34,GDP,-0.07287765197547157
35,GDP,-0.0718577437316328
36,GDP,-0.07091544162163656
37,GDP,-0.07004307989915502
38,GDP,-0.0692337590234185
39,GDP,-0.06848126904009554
40,GDP,-0.06778002062408005
1,pi,0.022290643404306823
2,pi,0.013595363112846643
3,pi,0.009792560327066874
4,pi,0.00735080050412508
5,pi,0.006006494819704344
6,pi,0.005184912573003315
7,pi,0.004607279021587413
8,pi,0.00415345370021662
9,pi,0.0037717987958100388
10,pi,0.0034391149187152853
11,pi,0.0031439997635636266
12,pi,0.0028800427990530028
13,pi,0.002643042286761465
14,pi,0.0024298567375547445
15,pi,0.002237921114027757
16,pi,0.0020650348100694853
17,pi,0.001909261874478106
18,pi,0.0017688784543941117
19,pi,0.0016423407910489095
20,pi,0.0015282627254298603
21,pi,0.0014253980670502716
22,pi,0.0013326258131596432
23,pi,0.0012489373002612576
24,pi,0.001173424831001701
25,pi,0.0011052715185961022
26,pi,0.001043742180715786
27,pi,0.0009881751583663665
28,pi,0.0009379749589956787
29,pi,0.0008926056379017257
30,pi,0.0008515848426170722
31,pi,0.0008144784533340023
32,pi,0.0007808957594932611
33,pi,0.0007504851188026825
34,pi,0.000722930050392304
35,pi,0.0006979457186703909
36,pi,0.0006752757688011392
37,pi,0.0006546894786375822
38,pi,0.0006359791954625401
39,pi,0.0006189580290560253
40,pi,0.0006034577754561567
1,Q,0.05937825416598342
2,Q,0.05934680342596265
3,Q,0.06803633547837827
4,Q,0.08034964338446984
5,Q,0.09330048964192234
6,Q,0.10567499258319599
7,Q,0.11705488222377167
8,Q,0.12734524654587245
9,Q,0.1365758860610587
10,Q,0.1448205941904676
11,Q,0.15216495411019632
12,Q,0.15869383545253204
13,Q,0.16448684264499258
14,Q,0.16961694771017755
15,Q,0.1741503747502852
16,Q,0.1781469531657485
17,Q,0.18166062377817824
18,Q,0.18473997216182375
19,Q,0.18742874095299444
20,Q,0.18976630440046136
21,Q,0.1917881011008973
22,Q,0.19352602583135248
23,Q,0.1950087831986207
24,Q,0.19626220634712044
