period,variable,value
1,GDP,-0.8960711694274457
2,GDP,-0.37278545484696346
3,GDP,-0.15388866846531807
4,GDP,-0.06416895220239904
5,GDP,-0.027761820104097168
6,GDP,-0.013142620767126316
7,GDP,-0.007343485027345169
8,GDP,-0.005072361855201721
9,GDP,-0.004190413808287577
10,GDP,-0.0038441972236800672
11,GDP,-0.0036988907844857605
12,GDP,-0.0036260706852928874
13,GDP,-0.003577978995158906
14,GDP,-0.0035376321745200865
15,GDP,-0.0034994027312402315
16,GDP,-0.0034616538321865994
17,GDP,-0.003424044010605288
18,GDP,-0.003386592186433455
19,GDP,-0.00334938102836868
20,GDP,-0.0033124785994124643
21,GDP,-0.0032759274623358563
22,GDP,-0.003239750488139496
23,GDP,-0.0032039581527215652
24,GDP,-0.0031685538555762567
25,GDP,-0.003133537191701988
26,GDP,-0.0030989058000226383
27,GDP,-0.0030646563544285857
28,GDP,-0.0030307850761730334
29,GDP,-0.0029972879915338728
30,GDP,-0.0029641610583908185
31,GDP,-0.002931400227062243
32,GDP,-0.002899001468865428
33,GDP,-0.0028669607891259005
34,GDP,-0.0028352742328286444
35,GDP,-0.002803937886852869
36,GDP,-0.0027729478806544096
37,GDP,-0.0027423003862618554
38,GDP,-0.0027119916179809
39,GDP,-0.0026820178319822935
40,GDP,-0.002652375325848987
1,pi,0.2207676611675032
2,pi,0.014162618013972795
3,pi,-0.018708407651551035
4,pi,-0.017408493584560092
5,pi,-0.011674863998120349
6,pi,-0.006913771823966692
7,pi,-0.0037649785376207925
8,pi,-0.0018772795637588468
9,pi,-0.0008096087005910827
10,pi,-0.00022980134510221752
11,pi,7.51541986996974e-5
12,pi,0.00023099859630717427
13,pi,0.00030818605478297775
14,pi,0.00034478028035053005
15,pi,0.00036079517294995093
16,pi,0.0003665347282190841
17,pi,0.00036721525741366135
18,pi,0.0003654413005047597
19,pi,0.00036249841995183123
20,pi,0.00035901493995723856
21,pi,0.0003552953166128683
22,pi,0.00035148590712265945
23,pi,0.00034765650893833197
24,pi,0.0003438401015937423
25,pi,0.000340052065734386
26,pi,0.0003362994149282285
27,pi,0.00033258520426304527
28,pi,0.0003289106249131912
29,pi,0.00032527599483623534
30,pi,0.00032168122551049953
31,pi,0.00031812604105887354
32,pi,0.0003146100808039014
33,pi,0.0003111329471306536
34,pi,0.00030769422776412414
35,pi,0.0003042935061076785
36,pi,0.0003009303660221894
37,pi,0.0002976043940208465
38,pi,0.000294315180264053
39,pi,0.0002910623189975117
40,pi,0.00028784540873195107
