period,variable,value
1,GDP,-1.352563530049303
2,GDP,-0.14686791720693446
3,GDP,0.07790029887217531
4,GDP,0.0788993928084477
5,GDP,0.04830572149524182
6,GDP,0.024930794185150696
7,GDP,0.011436314582269298
8,GDP,0.004444089406575653
9,GDP,0.0010178451969834672
10,GDP,-0.0006035904359865835
11,GDP,-0.0013500415589106443
12,GDP,-0.0016830140849255562
13,GDP,-0.0018237728930336021
14,GDP,-0.001876186930395785
15,GDP,-0.0018883584348399817
16,GDP,-0.0018823618929704419
17,GDP,-0.0018682632574933541
18,GDP,-0.0018506312292915679
19,GDP,-0.0018315317532007888
20,GDP,-0.0018118958619409147
21,GDP,-0.001792141490969097
22,GDP,-0.0017724551573428825
23,GDP,-0.0017529192163389321
24,GDP,-0.0017335692300632847
25,GDP,-0.0017144197828794375
26,GDP,-0.00169547607902823
27,GDP,-0.0016767391444754305
28,GDP,-0.0016582081560936768
29,GDP,-0.001639881482540105
30,GDP,-0.0016217571482953492
31,GDP,-0.001603833039890663
32,GDP,-0.0015861069971570187
33,GDP,-0.0015685768533336701
34,GDP,-0.0015512404525079386
35,GDP,-0.0015340956570519238
36,GDP,-0.001517140350671936
37,GDP,-0.0015003724395498772
38,GDP,-0.001483789852664829
39,GDP,-0.0014673905417688295
40,GDP,-0.0014511724812210209
1,pi,0.3719913001975827
2,pi,-0.04096642311531716
3,pi,-0.050522234477115534
4,pi,-0.0290875631519784
5,pi,-0.014993752027435497
6,pi,-0.007431111540943692
7,pi,-0.0035671471820690743
8,pi,-0.0016324691266315836
9,pi,-0.0006773297850001176
10,pi,-0.0002118593280895542
11,pi,1.196426471509503e-5
12,pi,0.00011793492603572954
13,pi,0.00016704162717756188
14,pi,0.0001889748293437927
15,pi,0.00019803505248350652
16,pi,0.00020104639732982144
17,pi,0.00020123931483541775
18,pi,0.00020013264405320934
19,pi,0.00019843632438960784
20,pi,0.00019648052048360298
21,pi,0.00019441808063159436
22,pi,0.00019231945002336036
23,pi,0.00019021692939212676
24,pi,0.00018812522076517836
25,pi,0.00018605092939563496
26,pi,0.00018399694436920823
27,pi,0.0001819644528809741
28,pi,0.00017995386444542372
29,pi,0.00017796523422517502
30,pi,0.0001759984566844269
31,pi,0.00017405335410202694
32,pi,0.0001721297170143462
33,pi,0.00017022732269883853
34,pi,0.00016834594362955083
35,pi,0.00016648535135176855
36,pi,0.00016464531826156776
37,pi,0.00016282561842473125
38,pi,0.00016102602795319606
39,pi,0.00015924632517611971
40,pi,0.00015748629071443574
1,Q,-0.680262910284918
2,Q,-0.40276606007926885
3,Q,-0.20208623522894975
4,Q,-0.09415580597164408
5,Q,-0.03957374355351941
6,Q,-0.012604549293367977
7,Q,0.0005143455261742913
8,Q,0.006793453681669923
9,Q,0.009733972010943247
10,Q,0.011061657370279986
11,Q,0.011617644246072138
12,Q,0.011807763887386222
13,Q,0.011826050069211537
14,Q,0.011764532514193893
15,Q,0.01166655630677839
16,Q,0.011552411905758035
17,Q,0.011431545543596227
18,Q,0.01130833183512375
19,Q,0.011184785032959622
20,Q,0.011061825395855561
21,Q,0.010939867919312939
22,Q,0.010819094958081348
23,Q,0.010699582052099997
24,Q,0.01058135583978532
25,Q,0.010464420652421152
26,Q,0.010348770703580068
27,Q,0.010234395667520641
28,Q,0.010121283228891729
29,Q,0.01000942024683708
30,Q,0.009898793285849618
31,Q,0.009789388857406612
32,Q,0.009681193529549626
33,Q,0.009574193976162241
34,Q,0.009468376998696737
35,Q,0.009363729535301873
36,Q,0.00926023866418252
37,Q,0.009157891604315668
38,Q,0.009056675714954991
39,Q,0.008956578494581986
40,Q,0.008857587579607478
1,TB,-43.5630358126666
2,TB,3.098101257477915
3,TB,8.62084182209262
4,TB,6.358822133595723
5,TB,3.853899029462896
6,TB,2.2510979628572776
7,TB,1.3737877246674568
8,TB,0.9255712194688893
9,TB,0.7039543949629027
10,TB,0.5954407219426557
11,TB,0.541596933855083
12,TB,0.5136677748513853
13,TB,0.4978776690594704
14,TB,0.48773924534025975
15,TB,0.4802321391821445
16,TB,0.47396119730346364
17,TB,0.4682855136907678
18,TB,0.4629117500523406
19,TB,0.45770590579414433
