NK-SOE Chile — Moment fit (Exercise: Baseline (all shocks))
==================================================================================
Moment                                       Data      Model       Diff     W*Diff^2
----------------------------------------------------------------------------------
std(Y_1)                                  0.40251    0.06282   +0.33970     0.712232
std(Y_2)                                  0.06593    0.08139   -0.01546     0.054950
std(Y_3)                                  0.03766    0.06010   -0.02243     0.354838
std(Y_4)                                  0.06276    0.07975   -0.01699     0.073272
std(Y_5)                                  0.07501    0.08715   -0.01214     0.026179
std(Y_6)                                  0.07454    0.07378   +0.00077     0.000106
std(Y_7)                                  0.05381    0.06972   -0.01591     0.087398
std(Y_8)                                  0.02922    0.07704   -0.04782     2.677111
std(Y_9)                                  0.01959    0.08312   -0.06353    10.520144
std(Y_10)                                 0.05973    0.07189   -0.01216     0.041442
std(Y_11)                                 0.16194    0.06878   +0.09316     0.330963
std(Y_12)                                 0.01164    0.10586   -0.09422    65.513847
std(PH_1)                                 0.12756    0.04775   +0.07981     0.391462
std(PH_2)                                 0.16673    0.06564   +0.10109     0.367613
std(PH_3)                                 0.05278    0.04574   +0.00705     0.017824
std(PH_4)                                 0.12663    0.06401   +0.06262     0.244561
std(PH_5)                                 0.03507    0.06964   -0.03457     0.971551
std(PH_6)                                 0.02647    0.05625   -0.02978     1.266029
std(PH_7)                                 0.03068    0.07031   -0.03963     1.668024
std(PH_8)                                 0.04723    0.08683   -0.03960     0.703142
std(PH_9)                                 0.01945    0.07422   -0.05477     7.934448
std(PH_10)                                0.01663    0.07935   -0.06272    14.226918
std(PH_11)                                0.10068    0.07292   +0.02776     0.076008
std(PH_12)                                0.02869    0.08141   -0.05272     3.375649
std(L_1)                                  0.12548    0.04872   +0.07676     0.374206
std(L_2)                                  0.04473    0.05717   -0.01245     0.077428
std(L_3)                                  0.03017    0.05143   -0.02126     0.496415
std(L_4)                                  0.02381    0.04580   -0.02198     0.852194
std(L_5)                                  0.04599    0.04080   +0.00520     0.012765
std(L_6)                                  0.03224    0.03287   -0.00063     0.000379
std(L_7)                                  0.02766    0.03883   -0.01117     0.163077
std(L_8)                                  0.04594    0.04305   +0.00289     0.003963
std(L_9)                                  0.02898    0.02066   +0.00832     0.082413
std(L_10)                                 0.02909    0.04674   -0.01765     0.368334
std(L_11)                                 0.02202    0.01823   +0.00379     0.029671
std(L_12)                                 0.04722    0.06848   -0.02126     0.202719
std(GDP)                                  0.04107    0.07510   -0.03402     0.686195
std(pi)                                   0.02179    0.01184   +0.00995     0.208414
corr(GDP, pi)                            -0.02003   -0.68311   +0.66308    21.920433
mean goods expenditure share              0.57000    0.57000   +0.00000     0.000000
std(Q)                                    0.04348    0.03926   +0.00422     0.009428
autocorr(Q)                               0.71643    0.67253   +0.04390     0.003754
corr(GDP, Q)                              0.13814    0.96046   -0.82232    17.717961
rank corr: output (model vs data)         1.00000   -0.35664   +1.35664     0.920241
rank corr: prices (model vs data)         1.00000   -0.48252   +1.48252     1.098929
rank corr: labor  (model vs data)         1.00000    0.56643   +0.43357     0.093990
----------------------------------------------------------------------------------
TOTAL LOSS                                                                156.958618
