period,variable,value
1,GDP,-0.1567096578344365
2,GDP,-0.10555250069315106
3,GDP,-0.08042301669442913
4,GDP,-0.06662838858689718
5,GDP,-0.057414557997384444
6,GDP,-0.05028789921010228
7,GDP,-0.044305915315805106
8,GDP,-0.039087491541220945
9,GDP,-0.03445802726960528
10,GDP,-0.03032182953276594
11,GDP,-0.026615543029222873
12,GDP,-0.023290722183968802
13,GDP,-0.02030704526254343
14,GDP,-0.017629494322806808
15,GDP,-0.01522705206864573
16,GDP,-0.013072000469594057
17,GDP,-0.011139472133547636
18,GDP,-0.009407118147809437
19,GDP,-0.007854837481834551
20,GDP,-0.0064645447423935225
21,GDP,-0.005219965664150683
22,GDP,-0.004106454849633599
23,GDP,-0.003110832446443701
24,GDP,-0.0022212374332349866
25,GDP,-0.001426995681191964
26,GDP,-0.0007185012462724436
27,GDP,-8.710954378174866e-5
28,GDP,0.00047495879196820146
29,GDP,0.0009747044342502438
30,GDP,0.0014184272387579014
31,GDP,0.0018117963317831856
32,GDP,0.0021599131901677473
33,GDP,0.002467368413631618
34,GDP,0.002738292820078901
35,GDP,0.002976403431472063
36,GDP,0.0031850448611467526
37,GDP,0.003367226562378613
38,GDP,0.0035256563520498557
39,GDP,0.0036627705818894547
40,GDP,0.0037807612925202906
1,pi,0.03864804396410376
2,pi,0.05281676004103539
3,pi,0.02808150672338187
4,pi,0.01933719196144658
5,pi,0.015271533090540622
6,pi,0.012893766257787946
7,pi,0.011224914389542743
8,pi,0.009905492624175411
9,pi,0.008791118171209436
10,pi,0.00781824548002898
11,pi,0.006955432687805254
12,pi,0.006184633448525058
13,pi,0.005493751821857306
14,pi,0.004873595111213858
15,pi,0.004316586876466084
16,pi,0.0038161968793812852
17,pi,0.003366668027879472
18,pi,0.0029628692218715454
19,pi,0.0026002036516427434
20,pi,0.002274543183494942
21,pi,0.001982176365692559
22,pi,0.001719764592912025
23,pi,0.001484303900442403
24,pi,0.0012730911062507377
25,pi,0.0010836935630291718
26,pi,0.0009139220308515357
27,pi,0.0007618063037479113
28,pi,0.0006255732914388117
29,pi,0.0005036273006634784
30,pi,0.00039453229179354946
31,pi,0.0002969959113076768
32,pi,0.00020985512170749985
33,pi,0.00013206326876068748
34,pi,6.267844217193676e-5
35,pi,8.530002633608483e-7
36,pi,-5.41758577719326e-5
37,pi,-0.00010309457681685395
38,pi,-0.00014652088226600155
39,pi,-0.00018501065280495977
40,pi,-0.00021906410590090506
1,Q,-0.5320924739001934
2,Q,-0.5592379377243711
3,Q,-0.533385680853205
4,Q,-0.4940225407722828
5,Q,-0.45272452182269673
6,Q,-0.4132684503320466
7,Q,-0.3768202000104821
8,Q,-0.3436091099419862
9,Q,-0.3135247483064063
10,Q,-0.2863416532704386
11,Q,-0.26180586805352035
12,Q,-0.23966793787793697
13,Q,-0.21969473185488156
14,Q,-0.2016728503709562
15,Q,-0.18540873558949875
16,Q,-0.1707275536718806
17,Q,-0.15747168456221372
18,Q,-0.14549915281668122
19,Q,-0.1346821274627824
20,Q,-0.12490553490190193
21,Q,-0.11606579488928148
22,Q,-0.10806967627016303
23,Q,-0.10083326430014372
24,Q,-0.09428103000982183
25,Q,-0.08834499210196799
26,Q,-0.08296396242631862
27,Q,-0.07808286680368964
28,Q,-0.0736521337211482
29,Q,-0.06962714413619997
30,Q,-0.06596773629031973
31,Q,-0.06263776003599554
32,Q,-0.05960467572830111
33,Q,-0.05683919322566276
34,Q,-0.05431494698944488
35,Q,-0.05200820367274423
36,Q,-0.04989759894961295
37,Q,-0.04796390066074296
38,Q,-0.046189795644009345
39,Q,-0.04455969788141229
40,Q,-0.043059575830795255
1,TB,1.1212927504866261
2,TB,3.95176747760571
3,TB,4.5224875899448405
4,TB,4.3125576579453
5,TB,3.8625493600380385
6,TB,3.36139737808615
7,TB,2.8748854485194886
8,TB,2.4244132231063618
9,TB,2.0151599931991324
10,TB,1.6464271712748795
11,TB,1.31550823880532
12,TB,1.0191495496656018
13,TB,0.7540968836147749
14,TB,0.5172902113502956
15,TB,0.3059222744527168
16,TB,0.1174448661519993
17,TB,-0.050444200580027784
18,TB,-0.1998204090175311
19,TB,-0.3325530278612547
20,TB,-0.450324830005683
21,TB,-0.5546503684799937
22,TB,-0.6468926444827492
23,TB,-0.7282782000152638
24,TB,-0.7999107392829261
25,TB,-0.8627834037432485
26,TB,-0.9177898261633816
27,TB,-0.9657340819283959
28,TB,-1.0073396462779407
29,TB,-1.0432574562227213
30,TB,-1.0740731664076326
31,TB,-1.1003136794221806
32,TB,-1.1224530230738592
33,TB,-1.1409176399143472
34,TB,-1.1560911477892348
35,TB,-1.1683186243083818
36,TB,-1.177910462845393
37,TB,-1.1851458429140211
38,TB,-1.1902758534844962
39,TB,-1.1935263039463182
40,TB,-1.1951002539533375
1,C,-0.18668087449180676
2,C,-0.20070364929437923
3,C,-0.18836917919383617
4,C,-0.1693278221548437
5,C,-0.14934444679154069
6,C,-0.13029778574046452
7,C,-0.11276597887429746
8,C,-0.09686083163685075
9,C,-0.08252511182358001
10,C,-0.0696444991882676
11,C,-0.05809068014673943
12,C,-0.04773776943548686
13,C,-0.038468182689699634
14,C,-0.030174317830199013
15,C,-0.022758595154733195
16,C,-0.01613288680331186
17,C,-0.010217751989230084
18,C,-0.0049416440574997595
19,C,-0.00024015303537645375
20,C,0.003944694497741711
21,C,0.00766507331781604
22,C,0.010967936984345375
23,C,0.013895538941344009
24,C,0.01648590211714678
25,C,0.018773241827923805
26,C,0.020788346505836195
27,C,0.022558920404849515
28,C,0.02410989205820383
29,C,0.02546369189989068
30,C,0.02664050212815048
31,C,0.027658481584253117
32,C,0.028533968143864673
33,C,0.02928166086919373
34,C,0.029914783945578186
35,C,0.030445234223942966
36,C,0.03088371400848129
37,C,0.0312398505650086
38,C,0.031522303677910216
39,C,0.03173886245081981
40,C,0.03189653242665634
1,N,0.2823165740024841
2,N,0.22126728872283305
3,N,0.18472285576183947
4,N,0.15806495808489512
5,N,0.13629628796747106
6,N,0.11755544961396287
7,N,0.1010434232379345
8,N,0.08635099193028768
9,N,0.0732241691115659
10,N,0.06147783147422375
11,N,0.05096226803439364
12,N,0.04154941766416357
13,N,0.033126695356576565
14,N,0.025593850528421787
15,N,0.018861093783711865
16,N,0.012847792711849697
17,N,0.007481452011401223
18,N,0.0026968579084918082
19,N,-0.001564666646038322
20,N,-0.005355922143643959
21,N,-0.008724422628263404
22,N,-0.011712925224030064
23,N,-0.014359906123142805
24,N,-0.016699988771671805
25,N,-0.01876432917725796
26,N,-0.020580962676445366
27,N,-0.022175116030360525
28,N,-0.023569488318275912
29,N,-0.02478450374798492
30,N,-0.025838539189402345
31,N,-0.026748128957451336
32,N,-0.02752814911814412
33,N,-0.02819198336476051
34,N,-0.028751672306618844
35,N,-0.029218047828872887
36,N,-0.029600854016045387
37,N,-0.02990885598281437
38,N,-0.030149937821261713
39,N,-0.03033119075290237
40,N,-0.030458992464996684
1,w,-0.09106655870259178
2,w,-0.18029736494553883
3,w,-0.19218007501435283
4,w,-0.18074445394614627
5,w,-0.16253320726814968
6,w,-0.14316783186323603
7,w,-0.12460424819569356
8,w,-0.1074754263342351
9,w,-0.0919208766956311
10,w,-0.07789701723997393
11,w,-0.0652968513444589
12,w,-0.05399658810893929
13,w,-0.04387356667849456
14,w,-0.03481276248224208
15,w,-0.026708740955455154
16,w,-0.0194658204106148
17,w,-0.012997561918055492
18,w,-0.007226038499712704
19,w,-0.0020810645398588973
20,w,0.0025005447683046985
21,w,0.006575659548570967
22,w,0.010195460952299366
23,w,0.013406007717484741
24,w,0.01624874749358084
25,w,0.018760977620977927
26,w,0.02097626007221334
27,w,0.022924794994971485
28,w,0.024633756937826715
29,w,0.026127597466759994
30,w,0.027428317524101603
31,w,0.028555712552200296
32,w,0.029527593104172578
33,w,0.030359983392703894
34,w,0.031067299983070194
35,w,0.031662512616013744
36,w,0.032157288947553
37,w,0.032562124814088156
38,w,0.032886461470312746
39,w,0.033138791102680004
40,w,0.03332675179088951
1,r,0.024770221372971916
2,r,0.052537996105018754
3,r,0.05721722112939212
4,r,0.05505054360511839
5,r,0.05081502997015556
6,r,0.046131448174098026
7,r,0.041572540402928175
8,r,0.03733191349301855
9,r,0.03346024087056581
10,r,0.029954153535981392
11,r,0.026790845276207315
12,r,0.023941713283334345
13,r,0.021377688939307755
14,r,0.019071232155002636
15,r,0.01699698254236872
16,r,0.015131875262374233
17,r,0.013455050796797046
18,r,0.011947692863566273
19,r,0.010592848737252579
20,r,0.009375253339510416
21,r,0.008281164927105436
22,r,0.007298214667901501
23,r,0.006415270173958719
24,r,0.005622312215289737
25,r,0.004910323560688573
26,r,0.004271188846573098
