c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18
2.06507e-318,-0.0,-0.0,-0.0,-8.131802860862696e-8,-0.0,-0.0,3.3469479317345573e-7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
5.8334e-320,0.0,0.0,0.0,-1.1340593102174395e-9,0.0,0.0,5.7684846214191035e-8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,3.3298382129994152e-18,-0.0,-0.0,-1.301964406500584e-16,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-1.548134223e-314,-0.0,-0.0,-0.0,-0.00025328729088023157,-0.0,-0.0,0.00506446045976486,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-1.0788756e-314,-0.0,-0.0,-0.0,-0.0011602820211365937,-0.0,-0.0,0.0224868766337157,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-7.34645086e-315,-0.0,-0.0,-0.0,-0.00036476686308811447,-0.0,-0.0,0.009986328679115537,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-4.714227196e-315,-0.0,-0.0,-0.0,-0.00038698565150007693,-0.0,-0.0,0.00932278339609813,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3.334537179e-314,-0.0,-0.0,-0.0,-0.00014309129177799028,-0.0,-0.0,0.006286265530997621,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-4.006811584e-314,-0.0,-0.0,-0.0,-0.00024389430889533225,-0.0,-0.0,0.003036518022145541,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-2.3044980186e-314,-0.0,-0.0,-0.0,-0.0003814702449470576,-0.0,-0.0,-0.026722578961680062,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3.492841423e-314,-0.0,-0.0,-0.0,-0.00013342251121101724,-0.0,-0.0,0.006472783540015113,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-3.7170605327e-314,-0.0,-0.0,-0.0,-0.0002552165354118479,-0.0,-0.0,0.0030317426054286387,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-1.661790676e-314,-0.0,-0.0,-0.0,-0.00012637961601709782,-0.0,-0.0,-0.0042305330151951644,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-1.7771328615e-314,0.0,0.0,0.0,0.00011945358030123534,0.0,0.0,0.003998024012131314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.058516387e-315,-0.0,-0.0,-0.0,0.0004413972816406236,-0.0,-0.0,-0.014609520657890458,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-1.081662785e-315,0.0,0.0,0.0,7.157434287394609e-5,0.0,0.0,-0.009683192431292802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.75192202e-314,0.0,0.0,0.0,-3.7700076653669985e-5,0.0,0.0,-0.013340845545699217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.548437287e-314,0.0,0.0,0.0,0.0002164347264657673,0.0,0.0,-0.004834817722916936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.48740156e-315,0.0,0.0,0.0,4.65236134220056e-5,0.0,0.0,-0.006294065469585899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.4455992696e-314,0.0,0.0,0.0,-3.6276739197093635e-19,0.0,0.0,-3.9016460349398975e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-9.8697478974e-314,0.0,0.0,0.0,7.82034459056796e-19,0.0,0.0,2.2761598657330563e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0190470483e-314,-0.0,-0.0,-0.0,-3.0687805332626016e-10,-0.0,-0.0,-9.338025754888331e-9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-3.38282124e-314,-0.0,-0.0,-0.0,-0.0015411247648602303,-0.0,-0.0,-0.004262317031787126,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-6.203272945e-315,0.0,0.0,0.0,-0.0005167316838719303,0.0,0.0,0.009459269208055817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.303336e-317,0.0,0.0,0.0,-1.1036744150844826e-6,0.0,0.0,-5.9774753690424775e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.496e-320,-0.0,-0.0,-0.0,4.579328579262378e-9,-0.0,-0.0,-8.38290029342319e-8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-4.20745195e-315,0.0,0.0,0.0,-0.0009692730208512641,0.0,0.0,0.009370509964379636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2672496007e-314,-0.0,-0.0,-0.0,-8.516356621127582e-5,-0.0,-0.0,-0.047849863587713266,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-4.2727e-320,-0.0,-0.0,-0.0,-3.562067171734378e-9,-0.0,-0.0,6.520705695708945e-8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-6.203272945e-315,-0.0,-0.0,-0.0,-0.0005167316839415434,-0.0,-0.0,0.009459269209113644,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-1.6472435077e-314,-0.0,-0.0,-0.0,2.1281075917264298e-5,-0.0,-0.0,0.024139595911247234,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-1.241915205e-314,-0.0,-0.0,-0.0,0.0001540438307201733,-0.0,-0.0,0.0015176206110827626,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
1.40656342e-315,-0.0,-0.0,-0.0,-0.0004958071407816849,-0.0,-0.0,0.006839229101076186,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-6.03e-321,-0.0,-0.0,-0.0,-5.001020405902987e-10,-0.0,-0.0,9.154847661347983e-9,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-1.842474804e-315,0.0,0.0,0.0,-0.0021470341122056223,0.0,0.0,-0.055322767101906374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.4044574023e-314,-0.0,-0.0,-0.0,-0.00034348550557345385,-0.0,-0.0,0.034125919463075124,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3.0474036614e-314,0.0,0.0,0.0,-0.0018806621978339727,0.0,0.0,-0.05853375154479542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-3.5e-322,-0.0,-0.0,-0.0,-2.8968551150850542e-11,-0.0,-0.0,5.307332272683722e-10,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-8.0429546e-316,-0.0,-0.0,-0.0,5.238982708924907e-6,-0.0,-0.0,-6.354322259066e-5,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
3.31208073e-314,-0.0,-0.0,-0.0,0.0002611329666943198,-0.0,-0.0,-0.0031474418621034272,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-6.20329961e-315,-0.0,-0.0,-0.0,0.009412321031139584,-0.0,-0.0,0.00945930978653646,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-5.6865434e-317,-0.0,-0.0,-0.0,-0.0015264351998927285,-0.0,-0.0,-0.010153160218550353,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-1.78511351e-315,-0.0,-0.0,-0.0,-0.0006205576183141611,-0.0,-0.0,-0.045170362809620966,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-9.12696297e-315,-0.0,-0.0,-0.0,0.00022927267873822958,-0.0,-0.0,0.002113094025836453,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-1.0539290137e-314,0.0,0.0,0.0,0.00034205000390364454,0.0,0.0,0.003321399253870541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-8.080392823e-315,-0.0,-0.0,-0.0,0.0004953059346260479,-0.0,-0.0,-0.020509848461282582,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-9.226893073e-315,0.0,0.0,0.0,0.00019358499440484577,0.0,0.0,0.006242736652240526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.219604904e-314,0.0,0.0,0.0,8.354030587828973e-5,0.0,0.0,-0.0015634982960892002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.1668231007e-314,-0.0,-0.0,-0.0,7.706691388401909e-5,-0.0,-0.0,0.003864029995216001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-1.19676505e-314,-0.0,-0.0,-0.0,0.0009011953296798672,-0.0,-0.0,0.0038320360108290248,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-1.4196836063e-314,-0.0,-0.0,-0.0,-0.00017823592229504663,-0.0,-0.0,0.006459673880192893,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-1.362249815e-314,0.0,0.0,0.0,4.961514946955149e-6,0.0,0.0,0.002115383529506977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.49502081e-314,-0.0,-0.0,-0.0,-7.37963892838662e-5,-0.0,-0.0,0.005121811064414371,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-1.671999145e-314,0.0,0.0,0.0,-0.00013087357095122246,0.0,0.0,0.003369813391888535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.7113525677e-314,-0.0,-0.0,-0.0,-0.0001468175753915567,-0.0,-0.0,0.004952746724349535,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-1.126160667e-314,-0.0,-0.0,-0.0,0.00020095250837196812,-0.0,-0.0,0.0035848244735505056,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-1.0600884076e-314,-0.0,-0.0,-0.0,0.00034316504083431985,-0.0,-0.0,0.0033500486538443953,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-1.42296896e-314,-0.0,-0.0,-0.0,-0.00019435148930607016,-0.0,-0.0,-0.006147416896522444,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-9.226902287e-315,0.0,0.0,0.0,0.0001935846481565634,0.0,0.0,0.006242747291230819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-1.2196049044e-314,-0.0,-0.0,-0.0,8.354030587815085e-5,-0.0,-0.0,-0.0015634982960866617,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
