period,variable,value
1,chi,3.365452212632639e-6
2,chi,3.365452212601259e-7
3,chi,3.365452212461191e-8
4,chi,3.365452211835914e-9
5,chi,3.365452209044548e-10
6,chi,3.365452196583245e-11
7,chi,3.3654521409529596e-12
8,chi,3.3654518926050026e-13
9,chi,3.365450783909389e-14
10,chi,3.365445834328999e-15
11,chi,3.365423737387739e-16
12,chi,3.3653250845047735e-17
13,chi,3.3648846186970246e-18
14,chi,3.362917823907432e-19
15,chi,3.354133962508416e-20
16,chi,3.3148916695909684e-21
17,chi,3.139472042580818e-22
18,chi,2.354494065208037e-23
19,chi,-1.1647451508632764e-24
20,chi,-1.6994781657226397e-24
21,chi,-8.861848424085195e-25
22,chi,-4.16001542783703e-25
23,chi,-1.9386224848460551e-25
24,chi,-9.22481686905088e-26
25,chi,-4.566299187782174e-26
26,chi,-2.396188639345154e-26
27,chi,-1.3557825717156704e-26
28,chi,-8.340995925601436e-27
29,chi,-5.554381489099613e-27
30,chi,-3.94421838238061e-27
31,chi,-2.932481642674763e-27
32,chi,-2.2464807755967075e-27
33,chi,-1.752763531650967e-27
34,chi,-1.3823802413767433e-27
35,chi,-1.0970513696183366e-27
36,chi,-8.736889940426293e-28
37,chi,-6.971868872146968e-28
38,chi,-5.569618825644399e-28
39,chi,-4.45217891361329e-28
40,chi,-3.5601734429820424e-28
1,xi,5.800376859352929e-7
2,xi,4.640301487500217e-7
3,xi,3.712241190008155e-7
4,xi,2.9697929520100885e-7
5,xi,2.3758343616096634e-7
6,xi,1.9006674892884428e-7
7,xi,1.5205339914310729e-7
8,xi,1.2164271931450012e-7
9,xi,9.731417545160651e-8
10,xi,7.785134036128812e-8
11,xi,6.228107228903183e-8
12,xi,4.982485783122608e-8
13,xi,3.985988626498116e-8
14,xi,3.188790901198508e-8
15,xi,2.5510327209588145e-8
16,xi,2.0408261767670563e-8
17,xi,1.632660941413648e-8
18,xi,1.3061287531309204e-8
19,xi,1.0449030025047377e-8
20,xi,8.359224020037914e-9
21,xi,6.6873792160303375e-9
22,xi,5.349903372824277e-9
23,xi,4.279922698259426e-9
24,xi,3.423938158607545e-9
25,xi,2.739150526886039e-9
26,xi,2.1913204215088337e-9
27,xi,1.753056337207069e-9
28,xi,1.4024450697656568e-9
29,xi,1.121956055812527e-9
30,xi,8.975648446500226e-10
31,xi,7.180518757200189e-10
32,xi,5.744415005760158e-10
33,xi,4.595532004608132e-10
34,xi,3.67642560368651e-10
35,xi,2.9411404829492116e-10
36,xi,2.3529123863593715e-10
37,xi,1.8823299090874997e-10
38,xi,1.5058639272700013e-10
39,xi,1.2046911418160026e-10
40,xi,9.63752913452803e-11
1,Lab_costs,-0.0
2,Lab_costs,0.0
3,Lab_costs,0.0
4,Lab_costs,0.0
5,Lab_costs,0.0
6,Lab_costs,0.0
7,Lab_costs,0.0
8,Lab_costs,0.0
9,Lab_costs,0.0
10,Lab_costs,0.0
11,Lab_costs,0.0
12,Lab_costs,0.0
13,Lab_costs,0.0
14,Lab_costs,0.0
15,Lab_costs,0.0
16,Lab_costs,0.0
17,Lab_costs,0.0
18,Lab_costs,0.0
19,Lab_costs,0.0
20,Lab_costs,0.0
21,Lab_costs,0.0
22,Lab_costs,0.0
23,Lab_costs,0.0
24,Lab_costs,0.0
25,Lab_costs,0.0
26,Lab_costs,0.0
27,Lab_costs,0.0
28,Lab_costs,0.0
29,Lab_costs,0.0
30,Lab_costs,0.0
31,Lab_costs,0.0
32,Lab_costs,0.0
33,Lab_costs,0.0
34,Lab_costs,0.0
35,Lab_costs,0.0
36,Lab_costs,0.0
37,Lab_costs,0.0
38,Lab_costs,0.0
39,Lab_costs,0.0
40,Lab_costs,0.0
1,Price_costs,-1.309162580953422e-15
2,Price_costs,7.110761968158995e-17
3,Price_costs,2.7734181109749697e-16
4,Price_costs,2.1867195427956825e-16
5,Price_costs,1.346225242045697e-16
6,Price_costs,7.44327945664056e-17
7,Price_costs,3.8571713943871045e-17
8,Price_costs,1.89664456464668e-17
9,Price_costs,8.768065181129532e-18
10,Price_costs,3.632683028816728e-18
11,Price_costs,1.1066625110861459e-18
12,Price_costs,-1.1254989090218813e-19
13,Price_costs,-6.904090124603583e-19
14,Price_costs,-9.582013788637861e-19
15,Price_costs,-1.0778284575028889e-18
16,Price_costs,-1.12732610599591e-18
17,Price_costs,-1.1439075484770658e-18
18,Price_costs,-1.1451684782538158e-18
19,Price_costs,-1.139370999424807e-18
20,Price_costs,-1.1303718496003552e-18
21,Price_costs,-1.1199620604953072e-18
22,Price_costs,-1.1089693643109855e-18
23,Price_costs,-1.0977744104890048e-18
24,Price_costs,-1.0865512265018695e-18
25,Price_costs,-1.0753787201085456e-18
26,Price_costs,-1.0642921744319552e-18
27,Price_costs,-1.0533069415475086e-18
28,Price_costs,-1.0424293055309335e-18
29,Price_costs,-1.0316614453440206e-18
30,Price_costs,-1.021003693815849e-18
31,Price_costs,-1.0104555617272747e-18
32,Price_costs,-1.000016199919269e-18
33,Price_costs,-9.896846066528541e-19
34,Price_costs,-9.794597200024473e-19
35,Price_costs,-9.693404586390124e-19
36,Price_costs,-9.593257395955648e-19
37,Price_costs,-9.494144858522586e-19
38,Price_costs,-9.396056294681407e-19
39,Price_costs,-9.298981127939266e-19
40,Price_costs,-9.202908888753932e-19
1,w,0.07440538758784553
2,w,0.1110767160033626
3,w,0.0836012133910687
4,w,0.05547949758290552
5,w,0.036835495951091264
6,w,0.026088152656436252
7,w,0.02028250935199618
8,w,0.017239380083888742
9,w,0.01565075842024013
10,w,0.01480048288882418
11,w,0.014316187928716258
12,w,0.014010513399063588
13,w,0.013791280117729801
14,w,0.013613862822710078
15,w,0.013456914411593215
16,w,0.013310313991432496
17,w,0.01316929405457087
18,w,0.013031617800318801
19,w,0.012896236597341057
20,w,0.012762656631386775
21,w,0.012630642046861804
22,w,0.012500076530127678
23,w,0.01237089904248508
24,w,0.012243074083815846
25,w,0.012116577972118039
26,w,0.011991392526984142
27,w,0.011867502166571713
28,w,0.011744892574856733
29,w,0.011623550089983227
30,w,0.011503461423306011
31,w,0.01138461352994668
32,w,0.011266993548733523
33,w,0.011150588773915017
34,w,0.011035386641432976
35,w,0.010921374721877432
36,w,0.010808540716516874
37,w,0.01069687245475122
38,w,0.010586357892228965
39,w,0.010476985109279833
40,w,0.010368742309501522
1,VA,0.13759761500057469
2,VA,0.09854628404781415
3,VA,0.058297830904092136
4,VA,0.031893346781089314
5,VA,0.016900871010681665
6,VA,0.008960737409075204
7,VA,0.004922463125777854
8,VA,0.0029205989894075008
9,VA,0.0019440878749035623
10,VA,0.00147151441168891
11,VA,0.0012423609747452518
12,VA,0.001129278643222739
13,VA,0.001071001897345451
14,VA,0.0010384143189762986
15,VA,0.0010178117170564478
16,VA,0.001002795172991407
17,VA,0.000990397079017813
18,VA,0.0009792493861467619
19,VA,0.0009687248384425184
20,VA,0.0009585372292080487
21,VA,0.0009485564797121943
22,VA,0.0009387235785425056
23,VA,0.0009290116675737516
24,VA,0.000919408337492947
25,VA,0.0009099076206913487
26,VA,0.000900506394399501
27,VA,0.0008912027780412726
28,VA,0.0008819954264263159
29,VA,0.000872883222200549
30,VA,0.0008638651444734511
31,VA,0.0008549402141710015
32,VA,0.0008461074722043865
33,VA,0.0008373659713122067
34,VA,0.0008287147733755868
35,VA,0.0008201529487803296
36,VA,0.0008116795764489346
37,VA,0.000803293744023384
38,VA,0.0007949945480259352
39,VA,0.0007867810939567615
40,VA,0.0007786524963317166
1,C,0.11668511136856333
2,C,0.09007943078938042
3,C,0.05914083915010257
4,C,0.03842199860000682
5,C,0.026481831206743033
6,C,0.02005367482339729
7,C,0.01670330898858081
8,C,0.014969734227193526
9,C,0.014054729090847044
10,C,0.01354435028606438
