NK-SOE Chile — Moment fit (Exercise: Exercise 2: TFP shock to Manufacturing, source: Dynare (QZ))
==================================================================================
Moment                                       Data      Model       Diff     W*Diff^2
----------------------------------------------------------------------------------
std(Y_1)                                  0.39802    0.00000   +0.39802     1.000000
std(Y_2)                                  0.06538    0.00000   +0.06538     1.000000
std(Y_3)                                  0.03803    0.00000   +0.03803     1.000000
std(Y_4)                                  0.06302    0.00000   +0.06302     1.000000
std(Y_5)                                  0.07370    0.00000   +0.07370     1.000000
std(Y_6)                                  0.07525    0.00000   +0.07525     1.000000
std(Y_7)                                  0.05409    0.00000   +0.05409     1.000000
std(Y_8)                                  0.02670    0.00000   +0.02670     1.000000
std(Y_9)                                  0.01926    0.00000   +0.01926     1.000000
std(Y_10)                                 0.04860    0.00000   +0.04860     1.000000
std(Y_11)                                 0.15990    0.00000   +0.15990     1.000000
std(Y_12)                                 0.01143    0.00000   +0.01143     1.000000
std(PH_1)                                 0.12756    0.00000   +0.12756     1.000000
std(PH_2)                                 0.16673    0.00000   +0.16673     1.000000
std(PH_3)                                 0.05278    0.00000   +0.05278     1.000000
std(PH_4)                                 0.12663    0.00000   +0.12663     1.000000
std(PH_5)                                 0.03507    0.00000   +0.03507     1.000000
std(PH_6)                                 0.02572    0.00000   +0.02572     1.000000
std(PH_7)                                 0.03068    0.00000   +0.03068     1.000000
std(PH_8)                                 0.04696    0.00000   +0.04696     1.000000
std(PH_9)                                 0.01945    0.00000   +0.01945     1.000000
std(PH_10)                                0.01722    0.00000   +0.01722     1.000000
std(PH_11)                                0.10068    0.00000   +0.10068     1.000000
std(PH_12)                                0.02869    0.00000   +0.02869     1.000000
std(L_1)                                  0.12548    0.00000   +0.12548     1.000000
std(L_2)                                  0.04473    0.00000   +0.04473     1.000000
std(L_3)                                  0.03017    0.00000   +0.03017     1.000000
std(L_4)                                  0.02381    0.00000   +0.02381     1.000000
std(L_5)                                  0.04599    0.00000   +0.04599     1.000000
std(L_6)                                  0.03224    0.00000   +0.03224     1.000000
std(L_7)                                  0.02766    0.00000   +0.02766     1.000000
std(L_8)                                  0.04594    0.00000   +0.04594     1.000000
std(L_9)                                  0.02898    0.00000   +0.02898     1.000000
std(L_10)                                 0.02909    0.00000   +0.02909     1.000000
std(L_11)                                 0.02202    0.00000   +0.02202     1.000000
std(L_12)                                 0.04722    0.00000   +0.04722     1.000000
std(GDP)                                  0.04146    0.00000   +0.04146     1.000000
std(pi)                                   0.02179    0.00000   +0.02179     1.000000
corr(GDP, pi)                            -0.02336    0.00000   -0.02336     0.000109
std(TB/GDP)                               0.03464    0.00000   +0.03464     1.000000
std(Q)                                    0.04348    0.00000   +0.04348     1.000000
autocorr(Q)                               0.71643        NaN   +0.00000     0.000000
corr(GDP, Q)                              0.13653    0.00000   +0.13653     0.018641
rank corr: output (model vs data)         1.00000    0.00000   +1.00000     5.000000
rank corr: prices (model vs data)         1.00000    0.00000   +1.00000     5.000000
rank corr: labor  (model vs data)         1.00000    0.00000   +1.00000     5.000000
----------------------------------------------------------------------------------
TOTAL LOSS                                                                 55.018750
