period,variable,value
1,GDP,-0.4391969863870577
2,GDP,-0.38326711795173124
3,GDP,-0.33666399311352685
4,GDP,-0.2978800111214353
5,GDP,-0.26514974365890825
6,GDP,-0.23720452862815739
7,GDP,-0.21311555991257944
8,GDP,-0.19218929789470884
9,GDP,-0.17389726151675555
10,GDP,-0.15782851861838793
11,GDP,-0.14365724012124714
12,GDP,-0.13112031057367846
13,GDP,-0.12000169677091567
14,GDP,-0.11012139176385986
15,GDP,-0.10132748229739365
16,GDP,-0.09349036823715236
17,GDP,-0.08649847990333179
18,GDP,-0.08025504983658374
19,GDP,-0.0746756360175816
20,GDP,-0.06968618782313568
21,GDP,-0.06522150963408864
22,GDP,-0.061224020251953386
23,GDP,-0.05764273587595838
24,GDP,-0.05443242480094885
25,GDP,-0.051552896184627335
26,GDP,-0.04896839518084234
27,GDP,-0.04664708377464142
28,GDP,-0.04456059168353034
29,GDP,-0.04268362531878561
30,GDP,-0.04099362544862389
31,GDP,-0.03947046615917698
32,GDP,-0.03809618916888009
33,GDP,-0.03685476865609804
34,GDP,-0.03573190260625493
35,GDP,-0.03471482734247084
36,GDP,-0.03379215242193856
37,GDP,-0.03295371349428098
38,GDP,-0.03219044105340998
39,GDP,-0.03149424328952083
40,GDP,-0.03085790147642034
1,pi,-0.0004927906058352674
2,pi,0.02999236481214873
3,pi,0.02331757658439178
4,pi,0.018757298170912762
5,pi,0.01543714028003765
6,pi,0.012953358801288927
7,pi,0.011043828186830374
8,pi,0.009537049374439782
9,pi,0.008319678224511433
10,pi,0.007315828226373613
11,pi,0.006473861279563493
12,pi,0.005757942823376655
13,pi,0.005142630121963283
14,pi,0.004609393098806564
15,pi,0.004144367804580178
16,pi,0.0037368972499370458
17,pi,0.0033785761960969645
18,pi,0.003062619399640283
19,pi,0.0027834382442984557
20,pi,0.0025363523159793945
21,pi,0.0023173889640020983
22,pi,0.0021231407551756823
23,pi,0.0019506614721082755
24,pi,0.001797388160231008
25,pi,0.0016610811052549998
26,pi,0.001539776424201849
27,pi,0.0014317477510205126
28,pi,0.001335474656037111
29,pi,0.0012496161885438898
30,pi,0.0011729884209931872
31,pi,0.0011045451952660145
32,pi,0.0010433614860471344
33,pi,0.000988618941528795
34,pi,0.0009395932617904984
35,pi,0.0008956431458091582
36,pi,0.0008562005891153072
37,pi,0.0008207623520482768
38,pi,0.0007888824475317635
39,pi,0.0007601655200012948
40,pi,0.0007342610053498681
1,Q,-0.19240897560312917
2,Q,-0.22345928140827082
3,Q,-0.22842575345689395
4,Q,-0.21870210414208
5,Q,-0.2010987991649241
6,Q,-0.1797858480730509
7,Q,-0.1572710689116964
8,Q,-0.13502054482157802
9,Q,-0.11385169430421953
10,Q,-0.09418186884738418
11,Q,-0.07618519151646062
12,Q,-0.05989115022877174
13,Q,-0.04524625170968259
14,Q,-0.03215227947680434
15,Q,-0.020489762709968384
16,Q,-0.010132123459079892
17,Q,-0.0009539730856534482
18,Q,0.007164240851061091
19,Q,0.014333843387577571
20,Q,0.02065691597003095
21,Q,0.0262261007327138
22,Q,0.031124877747442617
23,Q,0.035428099078791395
24,Q,0.03920264663404814
25,Q,0.04250813331303812
26,Q,0.04539760000364769
27,Q,0.04791818163865414
28,Q,0.05011172835065423
29,Q,0.05201537561291495
30,Q,0.05366206196658557
31,Q,0.05508099567408565
32,Q,0.05629807314524733
33,Q,0.05733625272712055
34,Q,0.058215887728143685
35,Q,0.058955022550798146
36,Q,0.059569655652174
37,Q,0.06007397281288518
38,Q,0.060480553917029084
39,Q,0.06080055615699893
40,Q,0.061043876293214484
