variable,ss_value
chi,1.0
xi,1.0
Lab_costs,0.0
Price_costs,-6.779655042998203e-29
w,0.6879824257800239
VA,1.6320625974011373
C,0.8791997849011725
Ctot,0.8951476615741485
Ctotg,0.44066243466354055
Ctots,0.4544852269106079
M,2.068614635496354
C_g,0.43683222838572927
C_s,0.45354876144050815
p_g,1.1472227656788856
p_s,0.8335507412788967
N,0.8900249692986745
pi,1.0
pi_g,1.0
pi_s,1.0
r,1.0141987829614607
om_g,-0.5621189181535413
om_s,-0.8439700702945289
vi,0.0
Y,3.7006029739692075
PV,0.4788597258854738
r_star,1.0141987829614605
Rworld,1.0141987829614605
pi_e,1.0
Bstar,3.03251017604469
Pipstar,1.0
Q,0.478859725885426
TB,0.020618718806971435
PX,0.7852003991574065
X,0.7809327763487356
Ystar,1.0
V,0.7796198959665589
PVstar,1.0
GDP,0.8998185037081439
IMP,1.237460557937072
mkupV,1.0000000000001
CFs,0.008971184675311609
CFg,0.4488694772950777
POstar,1.0
PO,0.47885972588542597
VOil,0.14109102020705425
VNon,0.6385288757595045
PH_1,0.7958192694734311
PH_2,0.8060019870615651
PH_3,0.741573279623844
PH_4,0.7245839252963516
PH_5,0.7839887125003864
PH_6,0.798450048681327
PH_7,0.7711595410096824
PH_8,0.8062706697391339
PH_9,0.857824419465097
PH_10,0.7941563936325942
PH_11,0.7767520157835318
PH_12,0.7691453246501203
P_1,0.9743212902551736
P_2,0.8107171831089756
P_3,1.1980139719431968
P_4,0.7245842615919615
P_5,0.7839887125003473
P_6,0.8115684723153798
P_7,0.9289340619969436
P_8,0.8062706697391295
P_9,0.8578244194650543
P_10,0.8098063694531143
P_11,0.7768835835008013
P_12,0.7691453246501627
L_1,0.04443702304182769
L_2,0.10424031358737214
L_3,0.13707091761929327
L_4,0.024047365311244916
L_5,0.028873999083181154
L_6,0.03018762622335553
L_7,0.09713954715278883
L_8,0.06134515649235771
L_9,0.019550875136773692
L_10,0.24467356749620534
L_11,0.09687235883338688
L_12,0.0015862193208874536
M_1,0.16792195206959704
M_2,0.46603446486220695
M_3,0.6285332315706177
M_4,0.07822314565338917
M_5,0.05757533362345179
M_6,0.04539706137574335
M_7,0.17568970268105097
M_8,0.0934606271593468
M_9,0.13048919932737588
M_10,0.18745427719505106
M_11,0.03729186286491924
M_12,0.0004695181853216176
Y_1,0.2473070914324416
Y_2,0.6545227001115923
Y_3,1.161363048616283
Y_4,0.16970015954117035
Y_5,0.09994839539992734
Y_6,0.0844931925542363
Y_7,0.34168272094634555
Y_8,0.17614606672778768
Y_9,0.15289463222323368
Y_10,0.4678133438602122
Y_11,0.14251486737982305
Y_12,0.002216755176154924
PM_1,0.7674423816318218
PM_2,0.7731373967833901
PM_3,0.767947570795566
PM_4,0.7728928137749731
PM_5,0.7614949060706473
PM_6,0.7800307781957471
PM_7,0.7719671453752193
PM_8,0.7991541747875252
PM_9,0.7899388023065456
PM_10,0.7881842650772583
PM_11,0.7707989672206024
PM_12,0.7709743544556737
PL_1,0.6879824257800239
PL_2,0.6879824257800239
PL_3,0.6879824257800239
PL_4,0.6879824257800239
PL_5,0.6879824257800239
PL_6,0.6879824257800239
PL_7,0.6879824257800239
PL_8,0.6879824257800239
PL_9,0.6879824257800239
PL_10,0.6879824257800239
PL_11,0.6879824257800239
PL_12,0.6879824257800239
MC_1,0.716237342526088
MC_2,0.7254017883554086
MC_3,0.6674159516614596
MC_4,0.6521255327667165
MC_5,0.7055898412503477
MC_6,0.7186050438131941
MC_7,0.6940435869087143
MC_8,0.7256436027652204
MC_9,0.7720419775185873
MC_10,0.7147407542693347
MC_11,0.6990768142051785
MC_12,0.6922307921851083
A_1,5.866973222512269e-35
A_2,9.49114759642698e-35
A_3,1.0692331584343163e-34
A_4,1.1490210524006802e-34
A_5,3.790436931164132e-35
A_6,2.8117344272980046e-35
A_7,4.7053367999532044e-35
A_8,1.8151278059516872e-35
A_9,2.726928136843462e-35
A_10,1.5708651300315479e-35
A_11,3.1357421454792826e-35
A_12,2.450253647379945e-35
V_1,0.036938284233354594
V_2,0.08931164097403793
V_3,0.4137521831084231
V_4,0.07029935727190179
V_5,0.014230563428600634
V_6,0.009475784800760886
V_7,0.07243397941636599
V_8,0.02281550190284497
V_9,0.0031573611106991807
V_10,0.03818578053639436
V_11,0.008849829820758886
V_12,0.0001696293624165161
CHg_1,0.04335702951310337
CFg_1,0.00482110232415551
CHs_1,-3.486114944597675e-21
CFs_1,0.0
Cg_1,0.03778321567747617
Cs_1,-4.1151126188166314e-48
CHg_2,1.1842494161847978e-8
CFg_2,1.524295993975586e-11
CHs_2,1.4142268331420976e-38
CFs_2,0.0
Cg_2,1.1782620703415884e-8
Cs_2,0.0
CHg_3,0.3015872337566569
CFg_3,0.4440483734379481
CHs_3,-3.1554743346350084e-38
CFs_3,0.0
Cg_3,0.36417431892861013
Cs_3,0.0
CHg_4,0.03870489305127634
CFg_4,1.5177311408941562e-9
CHs_4,-1.2575525301472696e-39
CFs_4,0.0
Cg_4,0.038704876090508766
Cs_4,0.0
CHg_5,1.2184324743628422e-8
CFg_5,-5.230322249869069e-44
CHs_5,-4.61416779887026e-21
CFs_5,0.0
Cg_5,1.2184324743629029e-8
Cs_5,-4.746210591433135e-48
CHg_6,-8.512480219718155e-40
CFg_6,-5.230322249869069e-44
CHs_6,0.056713658168967854
CFs_6,0.00023937538816844764
Cg_6,0.0
Cs_6,0.05593816407725821
CHg_7,7.820064008669239e-39
CFg_7,-5.230322249869069e-44
CHs_7,0.09227557739441677
CFs_7,0.008614542147608921
Cg_7,0.0
Cs_7,0.0810438033726913
CHg_8,-9.975793627175275e-39
CFg_8,-5.230322249869069e-44
CHs_8,0.0569474693727388
CFs_8,0.0
Cg_8,0.0
Cs_8,0.0569474693727391
CHg_9,8.885271438077573e-40
CFg_9,-5.230322249869069e-44
CHs_9,0.10298955286710178
CFs_9,0.0
Cg_9,0.0
Cs_9,0.1029895528671069
CHg_10,-1.0154377750074806e-37
CFg_10,-5.230322249869069e-44
CHs_10,0.021952240282178223
CFs_10,0.00011407434315033907
Cg_10,0.0
Cs_10,0.02159545570835709
CHg_11,-2.6833906786840762e-39
CFg_11,-5.230322249869069e-44
CHs_11,0.13473459301684892
CFs_11,3.1927963839028137e-6
Cg_11,0.0
Cs_11,0.13471374327617455
CHg_12,-2.9256379571138712e-40
CFg_12,-5.230322249869069e-44
CHs_12,0.0012570382362807955
CFs_12,0.0
Cg_12,0.0
Cs_12,0.0012570382362807261
PIV_1,0.47885972588546605
VOil_1,0.006039409472153577
VNon_1,0.030898874761201015
PIV_2,0.4788597258854634
VOil_2,0.01932703910678211
VNon_2,0.06998460186725582
PIV_3,0.4788597258854647
VOil_3,0.07819916260749325
VNon_3,0.33555302050092983
PIV_4,0.4788597258854698
VOil_4,0.006123074018382757
VNon_4,0.06417628325351904
PIV_5,0.4788597258854719
VOil_5,0.0005934144949726578
VNon_5,0.013637148933627975
PIV_6,0.47885972588547
VOil_6,0.0007514297347003522
VNon_6,0.008724355066060533
PIV_7,0.4788597258854561
VOil_7,0.0270468479140714
VNon_7,0.04538713150229459
PIV_8,0.47885972588547365
VOil_8,9.810665818223533e-5
VNon_8,0.022717395244662732
PIV_9,0.4788597258854717
VOil_9,0.0001417655138703959
VNon_9,0.003015595596828785
PIV_10,0.4788597258854708
VOil_10,0.002417159907953808
VNon_10,0.03576862062844055
PIV_11,0.478859725885472
VOil_11,0.0003460283459916791
VNon_11,0.008503801474767208
PIV_12,0.47885972588547177
VOil_12,7.582432500018413e-6
VNon_12,0.0001620469299164977
C_f,0.8791997849011992
C_g_f,0.43683222838574737
C_s_f,0.45354876144051526
CFs_f,0.008971184675312638
CFg_f,0.44886947729512927
PV_f,0.47885972588543346
p_g_f,1.147222765678873
p_s_f,0.8335507412789088
r_f,1.0141987829614605
N_f,0.8900249692986629
Lab_costs_f,0.0
w_f,0.6879824257800571
Y_f,3.7006029739692554
Ctot_f,0.8951476615741731
Ctots_f,0.45448522691061505
Ctotg_f,0.4406624346635581
VA_f,1.6320625974011604
GDP_f,0.8998185037081712
TB_f,0.02061871880697204
M_f,2.068614635496377
r_star_f,1.0141987829614605
pi_e_f,1.0
Q_f,0.47885972588543346
Bstar_f,3.0325101760447035
PX_f,0.7852003991574086
X_f,0.7809327763487406
IMP_f,1.2374605579371722
V_f,0.7796198959666066
Y_g_f,2.3328413951014486
Y_s_f,1.3677615788678068
PO_f,0.47885972588543346
VOil_f,0.1410910202070603
VNon_f,0.6385288757595464
P_f_1,0.9743212902552558
PM_f_1,0.7674423816318263
PH_f_1,0.7958192694734358
Cg_f_1,0.03778321567747413
Cs_f_1,0.0
CHg_f_1,0.043357029513104425
CFg_f_1,0.004821102324156063
CHs_f_1,2.2996942384336814e-39
CFs_f_1,1.634475703084084e-45
L_f_1,0.04443702304182696
Y_f_1,0.24730709143244478
M_f_1,0.16792195206959926
V_f_1,0.03693828423335698
MC_f_1,0.7162373425260923
PL_f_1,0.6879824257800571
PIV_f_1,0.47885972588543346
VOil_f_1,0.006039409472153868
VNon_f_1,0.03089887476120312
P_f_2,0.8107171831090413
PM_f_2,0.7731373967833955
PH_f_2,0.8060019870615704
Cg_f_2,1.178262070341529e-8
Cs_f_2,0.0
CHg_f_2,1.184249416184826e-8
CFg_f_2,1.5242959939757612e-11
CHs_f_2,1.4142163724975976e-38
CFs_f_2,1.634475703084084e-45
L_f_2,0.1042403135873695
Y_f_2,0.6545227001115949
M_f_2,0.46603446486220856
V_f_2,0.08931164097404261
MC_f_2,0.7254017883554134
PL_f_2,0.6879824257800571
PIV_f_2,0.47885972588543346
VOil_f_2,0.01932703910678282
VNon_f_2,0.06998460186725977
P_f_3,1.1980139719431746
PM_f_3,0.7679475707955672
PH_f_3,0.7415732796238368
Cg_f_3,0.364174318928628
Cs_f_3,0.0
CHg_f_3,0.301587233756669
CFg_f_3,0.44404837343799913
CHs_f_3,-3.1554534133460095e-38
CFs_f_3,1.634475703084084e-45
L_f_3,0.1370709176192906
Y_f_3,1.1613630486163073
M_f_3,0.6285332315706258
V_f_3,0.41375218310844786
MC_f_3,0.6674159516614531
PL_f_3,0.6879824257800571
PIV_f_3,0.4788597258854335
VOil_f_3,0.07819916260749665
VNon_f_3,0.33555302050095115
P_f_4,0.7245842615919516
PM_f_4,0.7728928137749765
PH_f_4,0.7245839252963415
Cg_f_4,0.03870487609051048
Cs_f_4,0.0
CHg_f_4,0.03870489305127807
CFg_f_4,1.51773114089433e-9
CHs_f_4,-1.2575786817585188e-39
CFs_f_4,1.634475703084084e-45
L_f_4,0.024047365311244264
Y_f_4,0.16970015954117312
M_f_4,0.07822314565338943
V_f_4,0.07029935727190598
MC_f_4,0.6521255327667074
PL_f_4,0.6879824257800571
PIV_f_4,0.47885972588543346
VOil_f_4,0.0061230740183830104
VNon_f_4,0.06417628325352297
P_f_5,0.7839887125004109
PM_f_5,0.761494906070648
PH_f_5,0.7839887125003914
Cg_f_5,1.2184324743628415e-8
Cs_f_5,0.0
CHg_f_5,1.218432474362872e-8
CFg_f_5,0.0
