period,variable,value
1,GDP,-0.7555184851986307
2,GDP,-0.3281043340519599
3,GDP,-0.14357112053060908
4,GDP,-0.06519285149812419
5,GDP,-0.032736825814675956
6,GDP,-0.019844111227197047
7,GDP,-0.015094099839645457
8,GDP,-0.013611880098972825
9,GDP,-0.013363271714297936
10,GDP,-0.013529106730621656
11,GDP,-0.013798374276275737
12,GDP,-0.014065152503091677
13,GDP,-0.014301464396570993
14,GDP,-0.014505774660641882
15,GDP,-0.01468334286977079
16,GDP,-0.01483954968625242
17,GDP,-0.014978208572930946
18,GDP,-0.015101589068937112
19,GDP,-0.015210880765092107
20,GDP,-0.015306653932352051
21,GDP,-0.015389197407302721
22,GDP,-0.015458730213538023
23,GDP,-0.015515516315266195
24,GDP,-0.015559914537976928
25,GDP,-0.015592389228493517
26,GDP,-0.015613499563777607
27,GDP,-0.015623879057425795
28,GDP,-0.01562421220266249
29,GDP,-0.015615212096239763
30,GDP,-0.015597600924760271
31,GDP,-0.015572094013785696
32,GDP,-0.015539387472101254
33,GDP,-0.015500149118724377
34,GDP,-0.015455012230918764
35,GDP,-0.01540457161476546
36,GDP,-0.015349381523711797
37,GDP,-0.015289955003302907
38,GDP,-0.015226764303465087
39,GDP,-0.015160242062961548
40,GDP,-0.015090783028730405
1,pi,0.10578793388433069
2,pi,0.04565334322832268
3,pi,0.011206086077114494
4,pi,-0.0014524849712925058
5,pi,-0.005125105430210508
6,pi,-0.005392637019811136
7,pi,-0.004562353711423216
8,pi,-0.003533870308147058
9,pi,-0.002617695900221841
10,pi,-0.0018894417868166727
11,pi,-0.0013396001680220536
12,pi,-0.0009343689582775239
13,pi,-0.0006385238835853708
14,pi,-0.0004226398167228854
15,pi,-0.00026425140515854714
16,pi,-0.0001469598181809886
17,pi,-5.907495786513699e-5
18,pi,7.639068762205908e-6
19,pi,5.896082473452994e-5
20,pi,9.895024922967342e-5
21,pi,0.0001304757287233128
22,pi,0.00015558202768714406
23,pi,0.00017574389787841467
24,pi,0.00019203972149650595
25,pi,0.00020527011589586524
26,pi,0.00021603902293769467
27,pi,0.00022480936300442702
28,pi,0.00023194147937580725
29,pi,0.0002377199312945284
30,pi,0.00024237237517086142
31,pi,0.00024608304502668976
32,pi,0.00024900251889817244
33,pi,0.00025125490671254485
34,pi,0.0002529432272485231
35,pi,0.0002541534962328353
36,pi,0.0002549578834686028
37,pi,0.000255417186800415
38,pi,0.0002555827965296581
39,pi,0.0002554982735650157
40,pi,0.0002552006301644275
1,Q,-0.24104377615424696
2,Q,-0.22030785634168312
3,Q,-0.15283159331504143
4,Q,-0.08604624669519631
5,Q,-0.03367421707893385
6,Q,0.003192205006466526
7,Q,0.02737352351194149
8,Q,0.042284457901478854
9,Q,0.050841446509175076
10,Q,0.05523649719307833
11,Q,0.05701066389841653
12,Q,0.057202315407973076
13,Q,0.05648923206196591
14,Q,0.055301606730761066
15,Q,0.0539046379067388
16,Q,0.05245610140723645
17,Q,0.05104527536659817
18,Q,0.049718686849477334
19,Q,0.04849684366538126
20,Q,0.04738493508661847
21,Q,0.046379564258667585
22,Q,0.04547290526421027
