sector,name,share,alphaV,direct_mc,network_mc,total_mc,amp_ratio,mc_irf,y_irf,ph_irf,yi_ss
1,Agropecuario-silvicola y Pesca,0.4644583077058255,0.11267980737410566,-0.0,6.474406040407798,6.474406040407798,6.474406040407798e10,0.643273968321327,7.12278011126765,-0.09275126714579933,0.25015414447295137
2,Mineria,0.23759931286235775,0.10202911974240136,0.0,4.494893840823223,4.494893840823223,4.494893840823222e10,0.2598212710240099,1.82826787161173,-0.3306186311917239,0.664725902653913
3,Industria manufacturera,0.454177121085401,0.2823842734252001,10.0,5.706128237698964,15.706128237698964,1.5706128237698964,10.346260226009962,3.0815254605409077,1.7079093429731376,1.170668248653697
4,Electricidad gas agua y gestion de desechos,0.14003387916431395,0.33372064900528253,-0.0,2.5488166391088045,2.5488166391088045,2.5488166391088043e10,-0.07410891810935862,3.488269092795804,-0.39093296084644075,0.17150125936299945
5,Construccion,0.5624620815178424,0.10854391091259312,0.0,6.55686497750707,6.55686497750707,6.5568649775070694e10,0.8865722306803182,1.2299171066786496,-0.3942930734156182,0.10087541731671101
6,Comercio hoteles y restaurantes,0.27242295237055636,0.08441042852410598,0.0,3.654003738428764,3.654003738428764,3.6540037384287636e10,0.6308312846974028,1.1164107781551151,-0.3022653777507993,0.0855245523855807
7,Transporte comunicaciones y servicios de informacion,0.2675752121367961,0.16349121658596374,0.0,3.539989614521421,3.539989614521421,3.539989614521421e10,0.44890981662030927,3.3825475817485455,-0.3961475630637927,0.34557506354478135
8,Intermediacion financiera,0.04080932784636488,0.09682701332741028,0.0,1.3764111193816562,1.3764111193816562,1.376411119381656e10,0.31099232266650495,2.1923393238406734,-0.4393429989236584,0.17845285172020878
9,Servicios inmobiliarios y de vivienda,0.011159824631327222,0.014781863793062849,0.0,4.633484467727499,4.633484467727499,4.633484467727499e10,-0.14166496863608463,1.0385649520915061,-0.4560950823327728,0.15451230044787004
10,Servicios empresariales,0.14509507346585998,0.061669567542453944,0.0,1.8406527246574735,1.8406527246574735,1.8406527246574734e10,0.8018257261515809,4.383016065479906,-0.41717710544789677,0.474000062492515
11,Servicios personales,0.4331054275343969,0.04764892847446154,0.0,2.333474499290152,2.333474499290152,2.333474499290152e10,1.302650570092257,-0.35681862608317255,-0.45066191809751405,0.14501856290884896
12,Administracion publica,0.25307125307125306,0.05912259364749133,0.0,1.3477319071202232,1.3477319071202232,1.347731907120223e10,1.260710736450623,3.0992066296346343,-0.45885208920863,0.002251025386643745
