period,variable,value
1,GDP,-4.39148932061594
2,GDP,-1.9193791793256063
3,GDP,-0.8539841758472348
4,GDP,-0.4022482190924585
5,GDP,-0.21571494142201644
6,GDP,-0.14206319514000337
7,GDP,-0.1153335772053602
8,GDP,-0.10736379021305115
9,GDP,-0.10638738981806953
10,GDP,-0.10765642182925908
11,GDP,-0.10936685264216647
12,GDP,-0.11091013705661511
13,GDP,-0.11213716662926199
14,GDP,-0.11305767654798343
15,GDP,-0.11372362630420287
16,GDP,-0.11418812995938281
17,GDP,-0.11449396758529402
18,GDP,-0.11467269697921463
19,GDP,-0.11474686561025994
20,GDP,-0.11473258872065006
21,GDP,-0.11464165956491965
22,GDP,-0.11448306202689183
23,GDP,-0.11426397930214324
24,GDP,-0.11399043474726372
25,GDP,-0.11366768387797187
26,GDP,-0.11330044626533751
27,GDP,-0.11289303849378964
28,GDP,-0.11244944829685968
29,GDP,-0.11197337522169205
30,GDP,-0.11146825331770369
31,GDP,-0.11093726499015984
32,GDP,-0.11038335117663103
33,GDP,-0.1098092205751828
34,GDP,-0.10921735921639596
35,GDP,-0.10861004085462467
36,GDP,-0.10798933821617063
37,GDP,-0.10735713493006403
38,GDP,-0.10671513788518276
39,GDP,-0.10606488974679701
40,GDP,-0.10540778139100672
1,pi,0.4923171149349012
2,pi,0.18743720568432243
3,pi,0.038216595315915244
4,pi,-0.013121292480681836
5,pi,-0.025699300467088515
6,pi,-0.024627198815288597
7,pi,-0.019794980172193947
8,pi,-0.014779914853956536
9,pi,-0.010646057225418615
10,pi,-0.007528715198311054
11,pi,-0.005271154830891
12,pi,-0.003664140191142748
13,pi,-0.0025245589833127443
14,pi,-0.001712574089039724
15,pi,-0.0011278871364718383
16,pi,-0.000700827780959492
17,pi,-0.00038376330453497235
18,pi,-0.00014431971929761606
19,pi,3.9528709129256534e-5
20,pi,0.000182861766988235
21,pi,0.00029611277512743605
22,pi,0.000386601407184665
23,pi,0.00045954854130778565
24,pi,0.0005187469431400188
25,pi,0.0005670053941010689
26,pi,0.0006064443522263489
27,pi,0.0006386944022423614
28,pi,0.0006650309244775276
29,pi,0.0006864667216438293
30,pi,0.0007038167366433789
31,pi,0.0007177440679993834
32,pi,0.0007287933044186811
33,pi,0.0007374151405290192
34,pi,0.0007439849017227755
35,pi,0.0007488167388168121
36,pi,0.0007521746866359537
37,pi,0.0007542814079233523
38,pi,0.0007553251967085849
39,pi,0.0007554656494842891
40,pi,0.0007548383000087969
1,Q,-0.9605051928265839
2,Q,-0.8401537445112136
3,Q,-0.531006134385549
4,Q,-0.23774912572410595
5,Q,-0.01463854611555284
6,Q,0.1382442674146995
7,Q,0.23595344749497185
8,Q,0.2946118049045535
9,Q,0.3272489868981143
10,Q,0.34327724598152926
11,Q,0.34909657445708275
12,Q,0.34889222805171044
13,Q,0.3453216680744632
14,Q,0.3400284213734595
15,Q,0.33400084328270524
16,Q,0.3278127433372097
17,Q,0.3217806032603788
18,Q,0.3160643690763627
19,Q,0.3107310815150695
20,Q,0.3057944783822488
21,Q,0.301239273994265
22,Q,0.29703577881330545
23,Q,0.2931484948552969
24,Q,0.28954099698931746
25,Q,0.28617855524889935
26,Q,0.28302940710937624
27,Q,0.2800652424864115
28,Q,0.2772612462384477
29,Q,0.274595906610035
30,Q,0.27205071336305403
31,Q,0.26960981717102406
32,Q,0.26725969004470884
33,Q,0.26498880743247644
34,Q,0.26278736135987574
35,Q,0.26064700750760933
36,Q,0.2585606455833163
37,Q,0.25652223054582995
38,Q,0.25452661146668887
39,Q,0.25256939462003614
40,Q,0.25064682751124123
1,TB,-152.94361157755642
2,TB,-47.789477050534316
3,TB,-7.998577910541305
4,TB,5.358919005469071
5,TB,8.635079636358
6,TB,8.47681327897257
7,TB,7.442508720836809
8,TB,6.4189468697282965
9,TB,5.643190975349064
10,TB,5.122801491542188
11,TB,4.800766740567866
12,TB,4.614873790693225
13,TB,4.515256952209242
14,TB,4.4666179616823944
15,TB,4.445707983117017
16,TB,4.438018075052306
17,TB,4.434947325031224
18,TB,4.431704726270975
19,TB,4.425863611138236
20,TB,4.41640949554186
21,TB,4.403133177865515
22,TB,4.38625469912664
23,TB,4.366197005571403
24,TB,4.343454403118266
25,TB,4.318519765181019
26,TB,4.2918473526157195
27,TB,4.263836647114424
28,TB,4.234828138424662
29,TB,4.2051055403204955
30,TB,4.174901135567074
31,TB,4.144402333347698
32,TB,4.113758370662977
33,TB,4.08308660062265
34,TB,4.052478112348807
35,TB,4.022002599913013
