period,variable,value
1,GDP,-1.7228680456966585
2,GDP,-0.5505910659337939
3,GDP,-0.08485288404790994
4,GDP,0.0797929336301154
5,GDP,0.12076629652236763
6,GDP,0.11459868027712782
7,GDP,0.09344998964979871
8,GDP,0.07017191554882105
9,GDP,0.04937162367621461
10,GDP,0.03225706000630872
11,GDP,0.01872973613062805
12,GDP,0.008266330599362607
13,GDP,0.00027277307540377006
14,GDP,-0.005787293272091148
15,GDP,-0.010357374789306182
16,GDP,-0.013789109487113099
17,GDP,-0.01635521801202344
18,GDP,-0.018264681532188975
19,GDP,-0.01967657610515511
20,GDP,-0.02071155304181293
21,GDP,-0.02146095152680093
22,GDP,-0.021993865342821207
23,GDP,-0.02236255342154518
24,GDP,-0.02260655284153502
25,GDP,-0.02275579297700278
26,GDP,-0.02283294823192221
27,GDP,-0.022855213543873973
28,GDP,-0.022835643634189707
29,GDP,-0.02278416310121735
30,GDP,-0.022708328371741342
31,GDP,-0.022613902651185073
32,GDP,-0.02250528995598556
33,GDP,-0.022385862940858058
34,GDP,-0.02225821066233422
35,GDP,-0.022124325964878608
36,GDP,-0.02198574731671401
37,GDP,-0.02184366626518997
38,GDP,-0.02169900892874975
39,GDP,-0.02155249787029844
40,GDP,-0.021404699136487577
1,pi,0.04677365371027673
2,pi,0.022058844217633416
3,pi,0.009223364865802466
4,pi,0.003669431740529987
5,pi,0.0013421725388931072
6,pi,0.0004045945449958415
7,pi,5.474237980306812e-5
8,pi,-5.370402623477476e-5
9,pi,-6.787702134734464e-5
10,pi,-4.8724342932215885e-5
11,pi,-2.0476117628250627e-5
12,pi,7.91338430311263e-6
13,pi,3.36088492270669e-5
14,pi,5.607184213285917e-5
15,pi,7.552269922531755e-5
16,pi,9.235894110804846e-5
17,pi,0.00010696036109791037
18,pi,0.0001196412485914574
19,pi,0.0001306524050838695
20,pi,0.00014019562857887701
21,pi,0.0001484378778273789
22,pi,0.00015552182293648403
23,pi,0.00016157279543943585
24,pi,0.00016670303755864747
25,pi,0.00017101417816354442
26,pi,0.00017459864894335452
27,pi,0.00017754052210205973
28,pi,0.00017991606664266737
29,pi,0.00018179419208729931
30,pi,0.00018323686623952223
31,pi,0.00018429954429850567
32,pi,0.00018503161917582657
33,pi,0.00018547688906322938
34,pi,0.00018567403258600772
35,pi,0.0001856570806532171
36,pi,0.00018545587516217358
37,pi,0.00018509650671747358
38,pi,0.000184601725751985
39,pi,0.0001839913235120871
40,pi,0.00018328248112564212
1,Q,-0.07975727504810015
2,Q,-0.07593264626821086
3,Q,-0.05178331164699547
4,Q,-0.02505647444518703
5,Q,-0.001865901717625379
6,Q,0.01641462385303597
7,Q,0.03012983770013659
8,Q,0.040112973685907556
9,Q,0.04721931220703786
10,Q,0.05217558843859542
11,Q,0.05555308988109283
12,Q,0.05778395757959026
13,Q,0.05918841717806395
14,Q,0.060001056630669625
15,Q,0.060392592309845144
16,Q,0.06048674686575804
17,Q,0.06037291433692421
18,Q,0.060115503667796576
19,Q,0.05976077227546904
20,Q,0.059341803752183495
21,Q,0.05888212836518384
22,Q,0.05839835605393563
23,Q,0.05790209214497622
24,Q,0.057401331970710755
25,Q,0.05690147648353751
26,Q,0.05640607178349495
27,Q,0.05591734721180671
28,Q,0.055436606276065385
29,Q,0.05496450994825981
30,Q,0.05450128121595531
31,Q,0.0540468520255948
32,Q,0.05360096811826483
33,Q,0.05316326313892643
34,Q,0.05273331038240536
35,Q,0.05231065832342347
36,Q,0.051894854447394875
37,Q,0.05148546069709271
38,Q,0.05108206296384461
39,Q,0.05068427639764098
40,Q,0.05029174782765
1,TB,-69.52753608601118
2,TB,-18.53718889416878
3,TB,1.2162849197563954
4,TB,7.788717365427512
5,TB,9.046095902378621
6,TB,8.354355297548175
7,TB,7.10811196854652
8,TB,5.849724948463981
9,TB,4.761644989581977
10,TB,3.880887827069672
11,TB,3.19085231049888
12,TB,2.659406904326687
13,TB,2.253742776514839
14,TB,1.9454103751712357
15,TB,1.7113837843730302
16,TB,1.5336551338007984
17,TB,1.398397561719692
18,TB,1.2951023936178288
19,TB,1.2158288144764569
20,TB,1.1545960665094293
21,TB,1.1069080719463236
22,TB,1.069388510622064
23,TB,1.0395035547476497
24,TB,1.015352407062532
25,TB,0.9955095619052565
26,TB,0.9789062214042185
27,TB,0.964741228188622
28,TB,0.9524141983341329
29,TB,0.941475332304239
30,TB,0.9315877483955162
31,TB,0.9224992165283166
32,TB,0.9140209482892255
33,TB,0.906011683753551
34,TB,0.8983657544556362
35,TB,0.8910041311657975
36,TB,0.8838677122167334
37,TB,0.8769122935498771
38,TB,0.8701048008396727
39,TB,0.8634204685569332
40,TB,0.8568407293114175
1,C,-0.13273415166650288
2,C,-0.12877502501711738
3,C,-0.11536678520038152
4,C,-0.10099436639387363
5,C,-0.08854774723522221
6,C,-0.07863751150777305
7,C,-0.07105565898523429
8,C,-0.06536833922012243
9,C,-0.0611391183787811
10,C,-0.057999803246838795
11,C,-0.05566186669646126
12,C,-0.05390736401418626
13,C,-0.05257487485964124
14,C,-0.05154614442272543
15,C,-0.05073508335427688
16,C,-0.05007926116220029
17,C,-0.04953353096800188
18,C,-0.049065328718444406
19,C,-0.04865123553784866
20,C,-0.04827447333487575
21,C,-0.04792308272956469
22,C,-0.04758859745664757
23,C,-0.04726507946455847
24,C,-0.046948416135620036
25,C,-0.04663580822227019
26,C,-0.04632539676595828
27,C,-0.04601599146105685
28,C,-0.045706873167225784
29,C,-0.045397650672809396
30,C,-0.045088157170930385
31,C,-0.044778375802863785
32,C,-0.044468386459854244
33,C,-0.04415832810757958
34,C,-0.04384837241664575
35,C,-0.043538705598467904
36,C,-0.04322951616730108
37,C,-0.042920986954709014
38,C,-0.04261329014960616
39,C,-0.04230658446693271
40,C,-0.04200101379161019
1,N,3.097203062381661
2,N,1.2572343719828099
3,N,0.47381315570161747
4,N,0.15200644518677972
5,N,0.028895471085000603
6,N,-0.010933281496543015
7,N,-0.01757262479197518
8,N,-0.012337673634440577
9,N,-0.003974831022770724
10,N,0.004177472978318658
11,N,0.011046515206255578
12,N,0.016462023632147483
13,N,0.020576385034965054
14,N,0.023626865207074896
15,N,0.02584489829828265
16,N,0.027426946457526313
17,N,0.028529862631448202
18,N,0.029275006211238446
19,N,0.02975465969679416
20,N,0.030038288853671928
21,N,0.03017785869894017
22,N,0.030212080893409047
23,N,0.03016970429711067
24,N,0.03007202207764533
25,N,0.029934764142836114
26,N,0.02976951796698269
27,N,0.029584791967298206
28,N,0.02938680978572324
29,N,0.029180102759296368
30,N,0.02896795136363843
31,N,0.028752713776361006
32,N,0.028536070140203963
33,N,0.028319203909082213
34,N,0.028102936264677216
35,N,0.02788782555266366
36,N,0.027674240667033934
37,N,0.027462415052267836
38,N,0.027252486304153088
39,N,0.027044525087110367
40,N,0.026838556141445206
1,w,2.8317346845111375
2,w,0.9996915973176596
3,w,0.2430985063624115
4,w,-0.0499539423674419
5,w,-0.148164530125971
6,w,-0.1681675913923577
7,w,-0.1596395194904275
8,w,-0.143027355074262
9,w,-0.12620433426752237
10,w,-0.11177227261312984
11,w,-0.10022666961530531
12,w,-0.09130178382304763
13,w,-0.08452229762684384
14,w,-0.07941437037430396
15,w,-0.0755743421155595
16,w,-0.07268085576523475
17,w,-0.07048674018329897
18,w,-0.06880549031894242
19,w,-0.06749797334741868
20,w,-0.06646115835022356
21,w,-0.06561915518709899
22,w,-0.06491631518840121
23,w,-0.06431201027359089
24,w,-0.06377671990247043
25,w,-0.06328911423808936
26,w,-0.0628338869569177
27,w,-0.06240014845388597
28,w,-0.061980236479098214
29,w,-0.06156883711738446
30,w,-0.061162336241573
31,w,-0.06075834199606939
32,w,-0.06035533410903864
33,w,-0.05995240717531531
34,w,-0.059549083486899725
35,w,-0.059145177258986145
36,w,-0.058740696763359114
37,w,-0.05833577435108689
38,w,-0.05793061692931638
39,w,-0.05752547137995451
40,w,-0.057120600839757577
1,r,0.02997692277799261
2,r,0.03612082021651144
3,r,0.03248677783370245
4,r,0.0262938941885488
5,r,0.020269877557070215
6,r,0.015251779410409358
7,r,0.011345233934660056
8,r,0.008407984366089822
9,r,0.006242181531540934
10,r,0.004663866250092267
11,r,0.003522590603146181
12,r,0.0027022134253008295
13,r,0.002115669920908097
14,r,0.001698703374456164
15,r,0.0014042851117920061
16,r,0.0011981474895436865
17,r,0.0010553799561974272
18,r,0.0009578993201282677
19,r,0.0008925936569109357
20,r,0.0008499688242656853
21,r,0.0008231638403556858
22,r,0.000807234805637376
23,r,0.000798633702156977
24,r,0.0007948285456398597
25,r,0.0007940261770745375
26,r,0.000794969722577559
27,r,0.000796790491592559
28,r,0.000798899651015578
29,r,0.000800909019409868
30,r,0.0008025732148523427
31,r,0.0008037474798449688
32,r,0.0008043570234318682
33,r,0.0008043748251989839
34,r,0.0008038056529062861
35,r,0.0008026746370597846
36,r,0.0008010191805310139
37,r,0.0007988833016814161
38,r,0.00079631374594116
39,r,0.0007933573756440623
40,r,0.0007900594773350829
1,Y_1,1.5487776879350204
2,Y_1,0.5841068012779185
3,Y_1,0.18956980991431582
4,Y_1,0.03721082205756936
5,Y_1,-0.014951965527437805
6,Y_1,-0.027579549203082608
7,Y_1,-0.02599691203955037
8,Y_1,-0.02036833547709607
9,Y_1,-0.014482575602310487
10,Y_1,-0.009535111758768079
11,Y_1,-0.0057280516655293535
12,Y_1,-0.0029277937510765488
13,Y_1,-0.0009222107938875633
14,Y_1,0.0004881740298805152
15,Y_1,0.001464969776564358
16,Y_1,0.002130905469130424
17,Y_1,0.0025762258108989015
18,Y_1,0.002866170584150427
19,Y_1,0.0030474684682761225
20,Y_1,0.0031534097469087725
21,Y_1,0.0032076225082952456
22,Y_1,0.0032268185016515604
23,Y_1,0.0032227678612535933
24,Y_1,0.003203713044729122
25,Y_1,0.003175380368746665
26,Y_1,0.003141704257182639
27,Y_1,0.0031053464937428115
28,Y_1,0.0030680689267162534
29,Y_1,0.0030310011053044585
30,Y_1,0.0029948323547063557
31,Y_1,0.0029599493637476066
32,Y_1,0.0029265344042022435
33,Y_1,0.0028946350772227447
34,Y_1,0.0028642134694721972
35,Y_1,0.002835180439870666
36,Y_1,0.0028074191982124627
37,Y_1,0.0027808012060398703
38,Y_1,0.002755196606801555
39,Y_1,0.002730480790947257
40,Y_1,0.002706538261403139
1,PH_1,0.0920855946211223
2,PH_1,0.08564191065700646
3,PH_1,0.0572599771255134
4,PH_1,0.030553875300376614
5,PH_1,0.01110526250184847
6,PH_1,-0.0014422343789544019
7,PH_1,-0.008888802468698394
8,PH_1,-0.012974155477057336
9,PH_1,-0.015001568711711691
10,PH_1,-0.015843477094384394
11,PH_1,-0.01604529687481036
12,PH_1,-0.01593063365074483
13,PH_1,-0.015682190388432583
14,PH_1,-0.015397267044859197
15,PH_1,-0.015123456790825125
16,PH_1,-0.01488062099671532
17,PH_1,-0.014673950312707813
18,PH_1,-0.014501473874274745
19,PH_1,-0.014358219178979878
20,PH_1,-0.014238406989438552
21,PH_1,-0.014136525637598218
22,PH_1,-0.014047787195489556
23,PH_1,-0.01396825766759631
24,PH_1,-0.013894826900983096
25,PH_1,-0.013825109375212735
26,PH_1,-0.013757323970625386
27,PH_1,-0.013690176483780823
28,PH_1,-0.013622755294770153
29,PH_1,-0.013554443533609737
30,PH_1,-0.013484847588722744
31,PH_1,-0.013413740246082393
32,PH_1,-0.013341016223848706
33,PH_1,-0.013266657857487337
34,PH_1,-0.013190708911040006
35,PH_1,-0.013113254791486032
36,PH_1,-0.013034407749977073
37,PH_1,-0.012954295932183694
38,PH_1,-0.012873055377844512
39,PH_1,-0.012790824265543439
40,PH_1,-0.012707738856420691
1,MC_1,0.5180742175957768
2,MC_1,0.20469809540829628
3,MC_1,0.06952786903878612
4,MC_1,0.01266791266937618
5,MC_1,-0.010058039319139277
6,MC_1,-0.018192712081467267
7,MC_1,-0.02031253060487531
8,MC_1,-0.020127720635659818
9,MC_1,-0.019201748371471077
10,MC_1,-0.01816089457580559
11,MC_1,-0.017229999271244443
12,MC_1,-0.016467952480753802
