moment,data,model,diff,W_diag,wdiff2
std(Y_1),0.398020268458774,0.0,0.398020268458774,6.312328957779776,1.0
std(Y_2),0.06537619570240252,0.0,0.06537619570240252,233.97028818390126,1.0
std(Y_3),0.03803042408464101,0.0,0.03803042408464101,691.4131948614763,0.9999999999999999
std(Y_4),0.063021741707141,0.0,0.063021741707141,251.77882192138182,1.0
std(Y_5),0.0737025779099151,0.0,0.0737025779099151,184.09188426079177,1.0
std(Y_6),0.07525188341144529,0.0,0.07525188341144529,176.58965255256743,1.0
std(Y_7),0.05409199349101475,0.0,0.05409199349101475,341.77006876489776,1.0
std(Y_8),0.02670396965678287,0.0,0.02670396965678287,1402.3239402050299,1.0
std(Y_9),0.019261766630448852,0.0,0.019261766630448852,2695.3040659002913,0.9999999999999999
std(Y_10),0.04860094117632613,0.0,0.04860094117632613,423.3607976379851,1.0
std(Y_11),0.15989910261644152,0.0,0.15989910261644152,39.111812941412495,1.0
std(Y_12),0.011432925264476358,0.0,0.011432925264476358,7650.419871959727,1.0
std(PH_1),0.12755778523020633,0.0,0.12755778523020633,61.45908071434015,1.0
std(PH_2),0.1667265432849996,0.0,0.1667265432849996,35.9741472335003,1.0
std(PH_3),0.05278452945638629,0.0,0.05278452945638629,358.91093573962274,1.0
std(PH_4),0.12662819364124472,0.0,0.12662819364124472,62.3647486931108,1.0
std(PH_5),0.0350728297008308,0.0,0.0350728297008308,812.9398013519037,1.0
std(PH_6),0.025720034292135735,0.0,0.025720034292135735,1511.6697183809129,1.0
std(PH_7),0.030682476821033478,0.0,0.030682476821033478,1062.2314860812992,1.0
std(PH_8),0.04696457772408393,0.0,0.04696457772408393,453.37665760019553,1.0
std(PH_9),0.01944523299201208,0.0,0.01944523299201208,2644.6834505105417,1.0
std(PH_10),0.017219798795357646,0.0,0.017219798795357646,3372.437072217365,1.0
std(PH_11),0.10068145458770679,0.0,0.10068145458770679,98.65089672308807,1.0
std(PH_12),0.028692272122975954,0.0,0.028692272122975954,1214.703038282663,1.0
std(L_1),0.1254752831369702,0.0,0.1254752831369702,63.516071848168394,1.0
std(L_2),0.04472775896515823,0.0,0.04472775896515823,499.8569354353323,1.0
std(L_3),0.03017208486847912,0.0,0.03017208486847912,1098.4729294706035,1.0
std(L_4),0.02381368614358223,0.0,0.02381368614358223,1763.3834036815012,1.0
std(L_5),0.045993141145947145,0.0,0.045993141145947145,472.7307550833694,1.0
std(L_6),0.032240952165519414,0.0,0.032240952165519414,962.0203999592617,1.0
std(L_7),0.027658613082464697,0.0,0.027658613082464697,1307.1914603035746,1.0
std(L_8),0.04593886723146957,0.0,0.04593886723146957,473.8484188902485,1.0
std(L_9),0.028984767311945367,0.0,0.028984767311945367,1190.3107711070484,1.0
std(L_10),0.029087751484891424,0.0,0.029087751484891424,1181.8971837145505,1.0
std(L_11),0.02202235808998156,0.0,0.02202235808998156,2061.922604602955,1.0
std(L_12),0.04721863218767159,0.0,0.04721863218767159,448.5110994319742,1.0
std(GDP),0.04145914509434682,0.0,0.04145914509434682,581.7807068631764,1.0
std(pi),0.021788302660737544,0.0,0.021788302660737544,2106.4599249815565,1.0
"corr(GDP, pi)",-0.02336002507526018,0.0,-0.02336002507526018,0.2,0.00010913815430335687
std(TB/GDP),0.0346411221304825,0.0,0.0346411221304825,833.3282344346677,1.0
std(Q),0.04347780999155187,0.0,0.04347780999155187,529.0109718362467,0.9999999999999999
autocorr(Q),0.7164306143949916,NaN,NaN,2.0,NaN
"corr(GDP, Q)",0.13653298292575478,0.0,0.13653298292575478,1.0,0.018641255426604445
rank corr: output (model vs data),1.0,0.0,1.0,5.0,5.0
rank corr: prices (model vs data),1.0,0.0,1.0,5.0,5.0
rank corr: labor  (model vs data),1.0,0.0,1.0,5.0,5.0
