period,variable,value
1,GDP,-0.43892315032324525
2,GDP,-0.38196400557567506
3,GDP,-0.33543402727218247
4,GDP,-0.2967824099788235
5,GDP,-0.2642057521764918
6,GDP,-0.23641414352261186
7,GDP,-0.21246760265315065
8,GDP,-0.19166738782824402
9,GDP,-0.17348327530941288
10,GDP,-0.1575045200130324
11,GDP,-0.14340648880866072
12,GDP,-0.13092772542049672
13,GDP,-0.11985400345963744
14,GDP,-0.11000709481900592
15,GDP,-0.1012367457328701
16,GDP,-0.09341485470253186
17,GDP,-0.08643117714351614
18,GDP,-0.08019010046556317
19,GDP,-0.07460817889830981
20,GDP,-0.06961221478376713
21,GDP,-0.06513773861828175
22,GDP,-0.06112778454190259
23,GDP,-0.0575318882735424
24,GDP,-0.05430525531652651
25,GDP,-0.05140806168780457
26,GDP,-0.048804859505453865
27,GDP,-0.0464640668765931
28,GDP,-0.044357526586817575
29,GDP,-0.042460121729927476
30,GDP,-0.04074943906077645
31,GDP,-0.039205472798085235
32,GDP,-0.037810363050861204
33,GDP,-0.03654816413271024
34,GDP,-0.03540463886158759
35,GDP,-0.034367075588058564
36,GDP,-0.03342412520236346
37,GDP,-0.03256565577485491
38,GDP,-0.03178262281115351
39,GDP,-0.031066953371119636
40,GDP,-0.030411442522966767
1,pi,0.0001859484129884109
2,pi,0.029665265720783943
3,pi,0.023479143104126424
4,pi,0.018916666321250497
5,pi,0.015584063244285991
6,pi,0.013082844032162071
7,pi,0.011154013935534154
8,pi,0.009627886480454304
9,pi,0.00839211662347645
10,pi,0.00737131997021895
11,pi,0.00651406185214288
12,pi,0.005784536321014932
13,pi,0.005157231366419555
14,pi,0.004613497077893807
15,pi,0.004139327785706415
16,pi,0.0037239198464183586
17,pi,0.003358726063351895
18,pi,0.0030368290272421005
19,pi,0.002752520076549297
20,pi,0.0025010115495111506
21,pi,0.0022782360719133007
22,pi,0.002080703223813901
23,pi,0.0019053945049063994
24,pi,0.0017496842644952508
25,pi,0.0016112785718596808
26,pi,0.001488166761978089
27,pi,0.0013785821633485484
28,pi,0.0012809696570363594
29,pi,0.0011939584568133787
30,pi,0.0011163389841863632
31,pi,0.0010470430314373036
32,pi,0.0009851266192384116
33,pi,0.0009297551004000083
34,pi,0.0008801901617651968
35,pi,0.000835778447481155
36,pi,0.0007959415786714831
37,pi,0.000760167383235856
38,pi,0.0007280021792167982
39,pi,0.000699043978577722
40,pi,0.0006729364971036425
1,Q,-0.19119842908013399
2,Q,-0.22138598129966977
3,Q,-0.22626919701632087
4,Q,-0.21654984271229427
5,Q,-0.19901822882090475
6,Q,-0.17782700911246868
7,Q,-0.15546961923024716
8,Q,-0.13340055821310384
9,Q,-0.11242812548092143
10,Q,-0.09296263660529204
11,Q,-0.07517289005755899
12,Q,-0.0590844264477045
13,Q,-0.04464089635024951
14,Q,-0.031742080614523716
15,Q,-0.020267165911212828
16,Q,-0.010088737011592155
17,Q,-0.0010809504109869316
18,Q,0.00687591535066883
19,Q,0.013893143911410057
20,Q,0.020072623490296492
21,Q,0.02550669643449742
22,Q,0.030278471251968673
23,Q,0.03446238322457796
24,Q,0.03812487237908162
25,Q,0.04132509973065552
26,Q,0.044115655453111614
27,Q,0.04654323306195201
28,Q,0.04864925633073855
29,Q,0.050470453365690573
30,Q,0.05203937686105415
31,Q,0.05338487220689344
32,Q,0.0545324965567334
33,Q,0.05550489265088719
34,Q,0.05632212142693698
35,Q,0.0570019574173189
36,Q,0.05756015075159162
37,Q,0.05801065932001859
38,Q,0.05836585435991734
39,Q,0.0586367024235066
40,Q,0.05883292639126402
1,TB,-10.650063977079373
2,TB,-7.534379650641481
3,TB,-5.414140150315395
4,TB,-3.9498597719873514
5,TB,-2.9182089243737224
6,TB,-2.17439751916198
7,TB,-1.624220472299794
8,TB,-1.206117150757007
9,TB,-0.879641253917546
10,TB,-0.618038830243026
11,TB,-0.4034622434937224
12,TB,-0.2238778129498484
13,TB,-0.07106336931010111
14,TB,0.060691602045119655
15,TB,0.1754320546747225
16,TB,0.27608980547566836
17,TB,0.3648454710524601
18,TB,0.44336654263854003
19,TB,0.5129647111162625
20,TB,0.5747004006756343
21,TB,0.6294526863723041
22,TB,0.6779664410930185
23,TB,0.7208844526722874
24,TB,0.75876958340692
25,TB,0.7921203048517593
26,TB,0.8213818039060771
27,TB,0.8469541110134817
28,TB,0.869198211459145
29,TB,0.88844077786296
30,TB,0.904977948574981
31,TB,0.9190784353191449
32,TB,0.9309861496045746
33,TB,0.9409224750576136
34,TB,0.9490882713400756
35,TB,0.9556656677197496
36,TB,0.9608196860140988
37,TB,0.964699720455563
38,TB,0.9674408939715933
39,TB,0.9691653050598709
40,TB,0.9699831759484436
1,C,-0.19945471002857512
2,C,-0.21422779178399076
3,C,-0.21632980172322133
4,C,-0.21111158475605882
5,C,-0.20196490252301472
6,C,-0.19096516612592826
7,C,-0.17935961831401262
8,C,-0.1678768314451039
9,C,-0.15692268116688451
10,C,-0.14670421505532766
11,C,-0.13730774398027829
12,C,-0.1287478901979521
13,C,-0.12099822709485149
14,C,-0.11401026801763078
15,C,-0.10772509648151468
16,C,-0.10208036284328693
17,C,-0.09701437623408224
18,C,-0.09246838726836361
19,C,-0.08838775459439109
20,C,-0.08472243268051009
21,C,-0.08142705589627158
22,C,-0.07846079096086217
23,C,-0.07578706457873427
24,C,-0.07337323181617242
25,C,-0.07119022474858933
26,C,-0.06921220456450894
27,C,-0.06741623011048382
28,C,-0.06578194955127424
29,C,-0.06429131797038548
30,C,-0.06292834143771225
31,C,-0.06167884674550898
32,C,-0.060530275294237344
33,C,-0.059471499263471506
34,C,-0.058492658082889094
35,C,-0.05758501323178575
36,C,-0.0567408194844443
37,C,-0.05595321084697911
38,C,-0.05521609957680807
39,C,-0.05452408682534367
40,C,-0.053872383590069794
1,N,0.1734247401148166
2,N,0.13180559386456983
3,N,0.10554899915934628
4,N,0.08880302682873538
5,N,0.07805126753313113
6,N,0.07106065547842315
7,N,0.06641630835030574
8,N,0.06322471043360586
9,N,0.06092427025276974
10,N,0.059164393720351614
11,N,0.05772829598252542
12,N,0.056483747158311295
13,N,0.05535166537775468
14,N,0.05428611642799691
15,N,0.053261605003583595
16,N,0.0522650268746169
17,N,0.051290599183580185
18,N,0.05033669182015257
19,N,0.04940387019461613
20,N,0.04849370765120073
21,N,0.04760808456556254
22,N,0.046748792975075545
23,N,0.04591733090672674
24,N,0.0451148125015595
25,N,0.04434194696927992
26,N,0.04359905670823251
27,N,0.0428861160337925
28,N,0.04220279907928143
29,N,0.04154852998590008
30,N,0.04092253139443741
31,N,0.040323869079781534
32,N,0.03975149170916397
33,N,0.03920426540203635
34,N,0.03868100318237861
35,N,0.03818048964601973
36,N,0.03770150128295149
37,N,0.03724282294087663
38,N,0.0368032609193243
39,N,0.0363816531616089
40,N,0.03597687697623527
1,w,-0.22548475566894027
2,w,-0.29667764809594976
3,w,-0.3271384948719008
4,w,-0.33344658151512596
5,w,-0.3259026305380563
6,w,-0.3108910136731777
7,w,-0.2923213895580858
8,w,-0.2725445884224655
9,w,-0.25293404739161235
10,w,-0.23425450347354076
11,w,-0.21689538267382757
12,w,-0.20101816191719443
13,w,-0.18664906268539774
14,w,-0.17373703350011374
15,w,-0.1621897218373843
16,w,-0.15189551696647857
17,w,-0.1427368044960513
18,w,-0.13459770096714935
19,w,-0.127368344465529
20,w,-0.12094705790345037
21,w,-0.11524121810970514
22,w,-0.11016735606497245
23,w,-0.10565081778297265
24,w,-0.10162519086170678
25,w,-0.09803162274035111
26,w,-0.0948181067042171
27,w,-0.09193878016648965
28,w,-0.089353260013027
29,w,-0.08702602754471801
30,w,-0.08492586805836441
31,w,-0.08302536562739007
32,w,-0.08130045106425202
33,w,-0.07972999965662018
34,w,-0.07829547461615013
35,w,-0.07698061197369947
36,w,-0.0757711427152434
37,w,-0.07465454816308595
38,w,-0.07361984489496341
39,w,-0.07265739581460605
40,w,-0.07175874431417864
1,r,0.00011957682707180244
2,r,0.019097391874678574
3,r,0.029176494114663807
4,r,0.03371111591462087
5,r,0.034931028230033905
6,r,0.03423087338112945
7,r,0.03247669928161528
8,r,0.030200630929436978
9,r,0.02772444014713384
10,r,0.025237925309050155
11,r,0.02284857370340113
12,r,0.020612978772554247
13,r,0.018556669818707107
14,r,0.01668658652652198
15,r,0.014998888688321735
16,r,0.013483811090118975
17,r,0.012128650110286169
18,r,0.010919572181660677
19,r,0.009842682214162644
20,r,0.00888462981464452
21,r,0.008032929257567987
22,r,0.007276104405105514
23,r,0.006603728635045169
24,r,0.006006403714833443
25,r,0.005475704993420278
26,r,0.005004109791608912
27,r,0.004584919243825599
28,r,0.004212179671821473
29,r,0.00388060695797569
30,r,0.003585515762514632
31,r,0.00332275443233355
32,r,0.003088645848393314
33,r,0.002879934107062287
34,r,0.0026937367349679337
35,r,0.002527502037667093
36,r,0.002378971142188918
37,r,0.002246144288518121
38,r,0.002127250940439056
39,r,0.0020207233125207843
40,r,0.001925172941620875
1,Y_1,0.00926443924628681
2,Y_1,-0.08624703255483676
3,Y_1,-0.13704624675770707
4,Y_1,-0.1601532820788714
5,Y_1,-0.16665640177926583
6,Y_1,-0.1635086219829806
7,Y_1,-0.15503741345217903
8,Y_1,-0.14390696835723346
9,Y_1,-0.1317311220765031
10,Y_1,-0.11946338243486651
11,Y_1,-0.10764478437080809
12,Y_1,-0.09656109155506397
13,Y_1,-0.08634222806809931
14,Y_1,-0.07702492496858063
15,Y_1,-0.06859197106241718
16,Y_1,-0.06099660844310643
17,Y_1,-0.054177518155982145
18,Y_1,-0.04806786558962218
19,Y_1,-0.04260061416204155
20,Y_1,-0.03771151115702975
21,Y_1,-0.03334063621438344
22,Y_1,-0.029433075662472913
23,Y_1,-0.025939077349496478
24,Y_1,-0.022813907933232246
25,Y_1,-0.02001755029894511
26,Y_1,-0.017514325371689742
27,Y_1,-0.015272488881649114
28,Y_1,-0.013263832480916733
29,Y_1,-0.011463305431430053
30,Y_1,-0.009848664970950181
31,Y_1,-0.008400158556008976
32,Y_1,-0.0071002382905970655
33,Y_1,-0.005933306220855955
34,Y_1,-0.004885488328326343
35,Y_1,-0.003944434682496666
36,Y_1,-0.0030991431249552492
37,Y_1,-0.0023398039315309835
38,Y_1,-0.0016576630602418863
39,Y_1,-0.001044901795517606
40,Y_1,-0.0004945308152697275
1,PH_1,0.06918254982558093
2,PH_1,0.08405090709304534
3,PH_1,0.08914537740508605
4,PH_1,0.08850352950861994
5,PH_1,0.08455613217394106
6,PH_1,0.07883597401318704
7,PH_1,0.07229584594685581
8,PH_1,0.06551603756817702
9,PH_1,0.05883928615438857
10,PH_1,0.052458220021278375
11,PH_1,0.046471777783472036
12,PH_1,0.040921422943832476
13,PH_1,0.035814239139877996
14,PH_1,0.031137535250944884
15,PH_1,0.0268679778287657
16,PH_1,0.02297721293730001
17,PH_1,0.019435249816566903
18,PH_1,0.016212428985501903
19,PH_1,0.013280504632475236
20,PH_1,0.010613180997038636
21,PH_1,0.008186319251670897
22,PH_1,0.005977951803047729
23,PH_1,0.003968189694564062
24,PH_1,0.002139075952378992
25,PH_1,0.00047441679085669124
26,PH_1,-0.001040390639844951
27,PH_1,-0.002418523562732511
28,PH_1,-0.0036718866461762038
29,PH_1,-0.004811250631672482
30,PH_1,-0.005846376116022518
31,PH_1,-0.006786123092647671
32,PH_1,-0.0076385473686631285
33,PH_1,-0.008410985187790371
34,PH_1,-0.009110127427931675
35,PH_1,-0.00974208468374939
