variable,ss_value
chi,1.0
xi,1.0
Lab_costs,0.0
Price_costs,0.0
w,0.614323027127053
VA,1.66399984313671
C,0.813112720599659
Ctot,0.838246503400184
Ctotg,0.389926490122494
Ctots,0.44832001327769
M,1.82860491920068
C_g,0.385195915138582
C_s,0.446808720213548
p_g,1.2032169411118
p_s,0.782523827401459
N,0.929170223670335
pi,1.0
pi_g,1.0
pi_s,1.0
r,1.01419878296146
om_g,-0.5621189181535413
om_s,-0.8439700702945289
vi,0.0
Y,3.49260476233739
PV,0.542408391545944
r_star,1.01419878296146
Rworld,1.01419878296146
pi_e,1.0
Bstar,2.47598112662447
Pipstar,1.0
Q,0.542408391545944
TB,0.019068865279378566
PX,0.760830879351253
X,0.8443431058175241
Ystar,1.0
V,0.775352309242031
PVstar,1.0
GDP,0.8321815858790376
IMP,1.14919579436694
mkupV,1.0
CFs,0.00732595713865351
CFg,0.366517527986258
POstar,1.0
PO,0.542408391545944
VOil,0.0
VNon,0.775352309242031
PH_1,0.766409997257022
PH_2,0.774129630350594
PH_3,0.736827896651368
PH_4,0.720236501816438
PH_5,0.752188145683209
PH_6,0.751364798518583
PH_7,0.738543186509961
PH_8,0.750927316586965
PH_9,0.811666966239877
PH_10,0.732203314437905
PH_11,0.713163770937125
PH_12,0.70540927301192
P_1,0.947913415064876
P_2,0.778756533447162
P_3,1.2688482243263
P_4,0.720236838532723
P_5,0.752188145683233
P_6,0.764067234031223
P_7,0.897864144890538
P_8,0.750927316586991
P_9,0.811666966239876
P_10,0.747112659213925
P_11,0.713286756649817
P_12,0.705409273011932
L_1,0.0475072493039499
L_2,0.125814262801706
L_3,0.145298528647066
L_4,0.0249652560080329
L_5,0.0295362224047906
L_6,0.0322989805283306
L_7,0.0992473586463472
L_8,0.0620064977951643
L_9,0.0218818009124249
L_10,0.236835255131052
L_11,0.102210021460305
L_12,0.00156879003116509
M_1,0.146927843069246
M_2,0.460325795362258
M_3,0.538416027341886
M_4,0.0661205273772368
M_5,0.0478881642889521
M_6,0.0398479099750896
M_7,0.147736480479377
M_8,0.0785339648723749
M_9,0.118945820877922
M_10,0.151086415952846
M_11,0.0323933045573565
M_12,0.000382665046131695
Y_1,0.228991030006752
Y_2,0.680128056944189
Y_3,1.07587605606766
Y_4,0.156698230396939
Y_5,0.0900972613006765
Y_6,0.0808224228854598
Y_7,0.312477334718724
Y_8,0.16040532563783
Y_9,0.143450435356114
Y_10,0.41907832922525
Y_11,0.142483343195207
Y_12,0.00209693660258833
PM_1,0.740305130237821
PM_2,0.742923873660742
PM_3,0.746889517809412
PM_4,0.74537631915533
PM_5,0.740848387975657
PM_6,0.744809179556578
PM_7,0.739559328331953
PM_8,0.746670884756776
PM_9,0.752938321157377
PM_10,0.741015630951939
PM_11,0.738883456222139
PM_12,0.738484612157622
PL_1,0.614323027127053
PL_2,0.614323027127053
PL_3,0.614323027127053
PL_4,0.614323027127053
PL_5,0.614323027127053
PL_6,0.614323027127053
PL_7,0.614323027127053
PL_8,0.614323027127053
PL_9,0.614323027127053
PL_10,0.614323027127053
PL_11,0.614323027127053
PL_12,0.614323027127053
MC_1,0.689768997531319
MC_2,0.696716667315534
MC_3,0.663145106986231
MC_4,0.648212851634794
MC_5,0.676969331114888
MC_6,0.676228318666724
MC_7,0.664688867858965
MC_8,0.675834584928269
MC_9,0.730500269615889
MC_10,0.658982982994114
MC_11,0.641847393843412
MC_12,0.634868345710728
A_1,0.0
A_2,0.0
A_3,0.0
A_4,0.0
A_5,0.0
A_6,0.0
A_7,0.0
A_8,0.0
A_9,0.0
A_10,0.0
A_11,0.0
A_12,0.0
V_1,0.0368627777911249
V_2,0.100623316703847
V_3,0.409404475978297
V_4,0.0681265267771676
V_5,0.0135883440571467
V_6,0.0094639290091035
V_7,0.0690814824371283
V_8,0.0215269940379449
V_9,0.00329865996917453
V_10,0.0345030443567136
V_11,0.00871615549024515
V_12,0.000156602634137916
CHg_1,0.0416362466694041
CFg_1,0.00393692839099834
CHs_1,0.0
CFs_1,0.0
Cg_1,0.035916633471796
Cs_1,0.0
CHg_2,1.14032521860297e-8
CFg_2,1.2447610961653e-11
CHs_2,0.0
CFs_2,0.0
Cg_2,1.13441707501327e-8
Cs_2,0.0
CHg_3,0.280696122548355
CFg_3,0.362580598343454
CHs_3,0.0
CFs_3,0.0
Cg_3,0.317998232564791
Cs_3,0.0
CHg_4,0.0360116168992248
CFg_4,1.23935776819065e-9
CHs_4,0.0
CFs_4,0.0
Cg_4,0.0360116009968727
Cs_4,0.0
CHg_5,1.17448634878204e-8
CFg_5,0.0
CHs_5,0.0
CFs_5,0.0
Cg_5,1.174486348782e-8
Cs_5,0.0
CHg_6,0.0
CFg_6,0.0
CHs_6,0.0557375081362813
CFs_6,0.000195481163290213
Cg_6,0.0
Cs_6,0.0549496566847767
CHg_7,0.0
CFg_7,0.0
CHs_7,0.0891075087299383
CFs_7,0.00703471013950107
Cg_7,0.0
Cs_7,0.0775456171708693
CHg_8,0.0
CFg_8,0.0
CHs_8,0.0565484326299447
CFs_8,0.0
Cg_8,0.0
Cs_8,0.0565484326299427
CHg_9,0.0
CFg_9,0.0
CHs_9,0.100664627323672
CFs_9,0.0
Cg_9,0.0
Cs_9,0.100664627323672
CHg_10,0.0
CFg_10,0.0
CHs_10,0.0220199383802084
CFs_10,9.31584366290444e-5
Cg_10,0.0
Cs_10,0.0216481431334533
CHg_11,0.0
CFg_11,0.0
CHs_11,0.1357173637995
CFs_11,2.60739923318016e-6
Cg_11,0.0
Cs_11,0.135695946015776
CHg_12,0.0
CFg_12,0.0
CHs_12,0.00126759031919998
CFs_12,0.0
Cg_12,0.0
Cs_12,0.00126759031919996
PIV_1,0.542408391545944
VOil_1,0.0
VNon_1,0.0368627777911249
PIV_2,0.542408391545944
VOil_2,0.0
VNon_2,0.100623316703847
PIV_3,0.542408391545944
VOil_3,0.0
VNon_3,0.409404475978297
PIV_4,0.542408391545944
VOil_4,0.0
VNon_4,0.0681265267771676
PIV_5,0.542408391545944
VOil_5,0.0
VNon_5,0.0135883440571467
PIV_6,0.542408391545944
VOil_6,0.0
VNon_6,0.0094639290091035
PIV_7,0.542408391545944
VOil_7,0.0
VNon_7,0.0690814824371283
PIV_8,0.542408391545944
VOil_8,0.0
VNon_8,0.0215269940379449
PIV_9,0.542408391545944
VOil_9,0.0
VNon_9,0.00329865996917453
PIV_10,0.542408391545944
VOil_10,0.0
VNon_10,0.0345030443567136
PIV_11,0.542408391545944
VOil_11,0.0
VNon_11,0.00871615549024515
PIV_12,0.542408391545944
VOil_12,0.0
VNon_12,0.000156602634137916
C_f,0.813112720599659
C_g_f,0.385195915138582
C_s_f,0.446808720213548
CFs_f,0.00732595713865351
CFg_f,0.366517527986258
PV_f,0.542408391545944
p_g_f,1.2032169411118
p_s_f,0.782523827401459
r_f,1.01419878296146
N_f,0.929170223670335
Lab_costs_f,0.0
w_f,0.614323027127053
Y_f,3.49260476233739
Ctot_f,0.838246503400184
Ctots_f,0.44832001327769
Ctotg_f,0.389926490122494
VA_f,1.66399984313671
GDP_f,0.8321815858790376
TB_f,0.019068865279378566
M_f,1.82860491920068
r_star_f,1.01419878296146
pi_e_f,1.0
Q_f,0.542408391545944
Bstar_f,2.47598112662447
PX_f,0.760830879351253
X_f,0.8443431058175241
IMP_f,1.14919579436694
V_f,0.775352309242031
Y_g_f,2.231790634716216
Y_s_f,1.2608141276211733
PO_f,0.542408391545944
VOil_f,0.0
VNon_f,0.775352309242031
P_f_1,0.947913415064876
PM_f_1,0.740305130237821
PH_f_1,0.766409997257022
Cg_f_1,0.035916633471796
Cs_f_1,0.0
CHg_f_1,0.0416362466694041
CFg_f_1,0.00393692839099834
CHs_f_1,0.0
CFs_f_1,0.0
L_f_1,0.0475072493039499
Y_f_1,0.228991030006752
M_f_1,0.146927843069246
V_f_1,0.0368627777911249
MC_f_1,0.689768997531319
PL_f_1,0.614323027127053
PIV_f_1,0.542408391545944
VOil_f_1,0.0
VNon_f_1,0.0368627777911249
P_f_2,0.778756533447162
PM_f_2,0.742923873660742
PH_f_2,0.774129630350594
Cg_f_2,1.13441707501327e-8
Cs_f_2,0.0
CHg_f_2,1.14032521860297e-8
CFg_f_2,1.2447610961653e-11
CHs_f_2,0.0
CFs_f_2,0.0
L_f_2,0.125814262801706
Y_f_2,0.680128056944189
M_f_2,0.460325795362258
V_f_2,0.100623316703847
MC_f_2,0.696716667315534
PL_f_2,0.614323027127053
PIV_f_2,0.542408391545944
VOil_f_2,0.0
VNon_f_2,0.100623316703847
P_f_3,1.2688482243263
PM_f_3,0.746889517809412
PH_f_3,0.736827896651368
Cg_f_3,0.317998232564791
Cs_f_3,0.0
CHg_f_3,0.280696122548355
CFg_f_3,0.362580598343454
CHs_f_3,0.0
CFs_f_3,0.0
L_f_3,0.145298528647066
Y_f_3,1.07587605606766
M_f_3,0.538416027341886
V_f_3,0.409404475978297
MC_f_3,0.663145106986231
PL_f_3,0.614323027127053
PIV_f_3,0.542408391545944
VOil_f_3,0.0
VNon_f_3,0.409404475978297
P_f_4,0.720236838532723
PM_f_4,0.74537631915533
PH_f_4,0.720236501816438
Cg_f_4,0.0360116009968727
Cs_f_4,0.0
CHg_f_4,0.0360116168992248
CFg_f_4,1.23935776819065e-9
CHs_f_4,0.0
CFs_f_4,0.0
L_f_4,0.0249652560080329
Y_f_4,0.156698230396939
M_f_4,0.0661205273772368
V_f_4,0.0681265267771676
MC_f_4,0.648212851634794
PL_f_4,0.614323027127053
PIV_f_4,0.542408391545944
VOil_f_4,0.0
VNon_f_4,0.0681265267771676
P_f_5,0.752188145683233
PM_f_5,0.740848387975657
PH_f_5,0.752188145683209
Cg_f_5,1.174486348782e-8
Cs_f_5,0.0
CHg_f_5,1.17448634878204e-8
CFg_f_5,0.0
CHs_f_5,0.0
CFs_f_5,0.0
L_f_5,0.0295362224047906
Y_f_5,0.0900972613006765
M_f_5,0.0478881642889521
V_f_5,0.0135883440571467
MC_f_5,0.676969331114888
PL_f_5,0.614323027127053
PIV_f_5,0.542408391545944
VOil_f_5,0.0
VNon_f_5,0.0135883440571467
P_f_6,0.764067234031223
PM_f_6,0.744809179556578
PH_f_6,0.751364798518583
Cg_f_6,0.0
Cs_f_6,0.0549496566847767
CHg_f_6,0.0
CFg_f_6,0.0
CHs_f_6,0.0557375081362813
CFs_f_6,0.000195481163290213
L_f_6,0.0322989805283306
Y_f_6,0.0808224228854598
M_f_6,0.0398479099750896
V_f_6,0.0094639290091035
MC_f_6,0.676228318666724
PL_f_6,0.614323027127053
PIV_f_6,0.542408391545944
VOil_f_6,0.0
VNon_f_6,0.0094639290091035
P_f_7,0.897864144890538
PM_f_7,0.739559328331953
PH_f_7,0.738543186509961
Cg_f_7,0.0
Cs_f_7,0.0775456171708693
CHg_f_7,0.0
CFg_f_7,0.0
CHs_f_7,0.0891075087299383
CFs_f_7,0.00703471013950107
L_f_7,0.0992473586463472
Y_f_7,0.312477334718724
M_f_7,0.147736480479377
V_f_7,0.0690814824371283
MC_f_7,0.664688867858965
PL_f_7,0.614323027127053
