sector,name,share,alphaV,direct_mc,network_mc,total_mc,amp_ratio,mc_irf,y_irf,ph_irf,yi_ss
1,Agropecuario-silvicola y Pesca,0.13891573675423952,0.11267980737410566,10.0,1.96962193729391,11.96962193729391,1.196962193729391,6.965064673071448,0.5614121030567164,1.5855453844773149,0.22899103000675242
2,Mineria,0.0,0.10202911974240136,0.0,0.6107529775353434,0.6107529775353434,6.107529775353434e9,0.04430382045977904,0.14666810227244284,-0.05104662506617188,0.6801280569441893
3,Industria manufacturera,0.20198866276368369,0.2823842734252001,-0.0,2.1064253899397727,2.1064253899397727,2.1064253899397728e10,0.1982605218534751,0.9568561267534756,0.012557577453317705,1.0758760560676572
4,Electricidad gas agua y gestion de desechos,0.005081874647092038,0.33372064900528253,0.0,0.37777229970988474,0.37777229970988474,3.7777229970988474e9,0.008905416900106612,0.5510108295109354,-0.056995129049436495,0.1566982303969391
5,Construccion,0.0006618498703877337,0.10854391091259312,0.0,0.8862847274185454,0.8862847274185454,8.862847274185453e9,0.1350039364141461,0.47078757685328443,-0.059798749218755096,0.09009726130067654
6,Comercio hoteles y restaurantes,0.012844303751409963,0.08441042852410598,0.0,0.5759323558636156,0.5759323558636156,5.759323558636155e9,0.17643601430935582,0.29961713688978053,-0.0353866958985711,0.08082242288545982
7,Transporte comunicaciones y servicios de informacion,0.0,0.16349121658596374,0.0,0.47809859502951363,0.47809859502951363,4.780985950295136e9,0.1135993776408828,0.89525480382366,-0.057109248734773854,0.3124773347187241
8,Intermediacion financiera,8.573388203017832e-5,0.09682701332741028,0.0,0.18742600199812914,0.18742600199812914,1.8742600199812913e9,0.1464825097919608,0.7883666539876821,-0.06029178324912874,0.16040532563783022
9,Servicios inmobiliarios y de vivienda,0.0,0.014781863793062849,0.0,0.6276075566199556,0.6276075566199556,6.276075566199555e9,0.01752123731230971,0.3276509870351514,-0.06612992147464639,0.14345043535611382
10,Servicios empresariales,0.0006482281763180639,0.061669567542453944,0.0,0.25250003994047154,0.25250003994047154,2.5250003994047155e9,0.2609487926113393,1.7775352392584687,-0.055085678932683145,0.4190783292252502
11,Servicios personales,0.005233392420021947,0.04764892847446154,0.0,0.3311275368156488,0.3311275368156488,3.311275368156488e9,0.3646734088491763,-0.029608149561579315,-0.06396820227929002,0.14248334319520675
12,Administracion publica,0.004668304668304668,0.05912259364749133,0.0,0.19495078463080098,0.19495078463080098,1.9495078463080099e9,0.38187055717461726,1.7318256576477824,-0.06588357205159145,0.0020969366025883323
