period,variable,value
1,GDP,-0.9257904441090044
2,GDP,-0.4011183352894276
3,GDP,-0.17243315413083343
4,GDP,-0.07381526730088318
5,GDP,-0.03187518234401516
6,GDP,-0.014379629009132684
7,GDP,-0.007275487963775436
8,GDP,-0.00450028300750873
9,GDP,-0.0034781007365187215
10,GDP,-0.003138219759882035
11,GDP,-0.003049650417574699
12,GDP,-0.003047040425859257
13,GDP,-0.003071480478064948
14,GDP,-0.0031043517651651578
15,GDP,-0.0031408469687064606
16,GDP,-0.003180015213800067
17,GDP,-0.0032214349457459464
18,GDP,-0.003264379153503741
19,GDP,-0.0033078068187865394
20,GDP,-0.003350550604941013
21,GDP,-0.0033914906709943586
22,GDP,-0.0034296646739091535
23,GDP,-0.0034643182700424264
24,GDP,-0.0034949138280870773
25,GDP,-0.0035211143506918207
26,GDP,-0.0035427551964160287
27,GDP,-0.0035598117812617614
28,GDP,-0.003572368043174489
29,GDP,-0.0035805881362166864
30,GDP,-0.0035846923632929157
31,GDP,-0.0035849375042158577
32,GDP,-0.003581601241188009
33,GDP,-0.003574970175532345
34,GDP,-0.0035653308659213596
35,GDP,-0.003552963334018279
36,GDP,-0.003538136538049415
37,GDP,-0.0035211053845791377
38,GDP,-0.0035021089203512126
39,GDP,-0.003481369412629201
40,GDP,-0.0034590920849802737
1,pi,0.07264411953806274
2,pi,0.029994812857251824
3,pi,0.00693756731168641
4,pi,-0.0011882125947403027
5,pi,-0.0033670589487613087
6,pi,-0.003369779018711703
7,pi,-0.00272065525107674
8,pi,-0.001993472320627752
9,pi,-0.0013731935357203604
10,pi,-0.0008950693030045866
11,pi,-0.0005434585060237454
12,pi,-0.0002906000252649658
13,pi,-0.00011034174066614481
14,pi,1.8113758376480518e-5
15,pi,0.00011011626229654196
16,pi,0.0001765690710484564
17,pi,0.00022506230324947007
18,pi,0.0002608298267301456
19,pi,0.0002874724784727612
20,pi,0.0003074752129249933
21,pi,0.0003225656038264099
22,pi,0.00033395791490017614
23,pi,0.0003425175695908146
24,pi,0.0003488714308846549
25,pi,0.0003534816702921163
26,pi,0.000356695358394632
27,pi,0.00035877792818628023
28,pi,0.0003599359344452982
29,pi,0.00036033269625465196
30,pi,0.000360099188184448
31,pi,0.0003593417389420919
32,pi,0.0003581475660320565
33,pi,0.00035658882727286254
34,pi,0.00035472564219376433
35,pi,0.0003526083869157674
36,pi,0.00035027946788420696
37,pi,0.0003477747149669458
38,pi,0.00034512449136850175
39,pi,0.00034235458899434923
40,pi,0.000339486958430227
1,Q,-0.15471328221554442
2,Q,-0.14032328469012217
3,Q,-0.09525494137898917
4,Q,-0.051323074731736446
5,Q,-0.01733608965686283
6,Q,0.006262519956215804
7,Q,0.021513634445452106
8,Q,0.030755883609759834
9,Q,0.03593692770360867
10,Q,0.03849339459140356
11,Q,0.0394188538253726
12,Q,0.03937265625631326
13,Q,0.03877896151904205
14,Q,0.037903196749143366
15,Q,0.036906700027548756
16,Q,0.03588407999287898
17,Q,0.034888032179503356
18,Q,0.033945481771083516
19,Q,0.03306790707106938
20,Q,0.032257839093287534
21,Q,0.031512887682563495
22,Q,0.03082818858374732
23,Q,0.030197854739815552
24,Q,0.029615807606972168
25,Q,0.029076228087396926
26,Q,0.028573778350986095
27,Q,0.028103689074870042
28,Q,0.02766177048351981
29,Q,0.027244382731715193
30,Q,0.026848386861190142
31,Q,0.026471088679870153
32,Q,0.026110182463930022
33,Q,0.02576369808978061
34,Q,0.025429953252603756
35,Q,0.025107511305893577
36,Q,0.02479514463921371
37,Q,0.02449180319704351
