period,variable,value
1,GDP,-2.5462178824324626
2,GDP,-0.9532764849636562
3,GDP,-0.2900563808709135
4,GDP,-0.029720108567776234
5,GDP,0.05979794618879846
6,GDP,0.07980004986407238
7,GDP,0.07380170246942981
8,GDP,0.05995733761082193
9,GDP,0.04542333425276769
10,GDP,0.03268684678216738
11,GDP,0.02232959933601735
12,GDP,0.014216076705379976
13,GDP,0.007990071775446252
14,GDP,0.003271151249767104
15,GDP,-0.0002764078399300534
16,GDP,-0.002926838211830825
17,GDP,-0.004895836670928056
18,GDP,-0.0063496861687916935
19,GDP,-0.007415162299282753
20,GDP,-0.008188321061221734
21,GDP,-0.008741690276621989
22,GDP,-0.009129928544725623
23,GDP,-0.009394186881597965
24,GDP,-0.009565432260876765
25,GDP,-0.009666964008064736
26,GDP,-0.009716312308905867
27,GDP,-0.00972666778657217
28,GDP,-0.009707956907723601
29,GDP,-0.009667650603025508
30,GDP,-0.009611372209880365
31,GDP,-0.009543354567394881
32,GDP,-0.009466783750358925
33,GDP,-0.009384057615082509
34,GDP,-0.0092969803207336
35,GDP,-0.00920690872249295
36,GDP,-0.00911486257719709
37,GDP,-0.009021607532292301
38,GDP,-0.008927717639224321
39,GDP,-0.008833622458168783
40,GDP,-0.008739642563630242
1,pi,0.0453249483484973
2,pi,0.018072656455530144
3,pi,0.0076581923056374184
4,pi,0.003413517522381718
5,pi,0.0017685781154437822
6,pi,0.0011884657001764568
7,pi,0.0010233527818440636
8,pi,0.0010056066489802782
9,pi,0.0010299603915873102
10,pi,0.001058375183550836
11,pi,0.00107948885694041
12,pi,0.0010917388842484376
13,pi,0.0010966086372263943
14,pi,0.0010961077156310575
15,pi,0.0010919603901918518
16,pi,0.0010854406767338278
17,pi,0.0010774225140842504
18,pi,0.0010684794322537265
19,pi,0.001058976986030424
20,pi,0.0010491435550529225
21,pi,0.0010391199951412002
22,pi,0.0010289927159162786
23,pi,0.0010188149639150312
24,pi,0.0010086201548861746
25,pi,0.0009984300336136347
26,pi,0.0009882595570123377
27,pi,0.000978119747651343
28,pi,0.0009680193169653565
29,pi,0.0009579655596351204
30,pi,0.0009479648277459074
31,pi,0.0009380227708999837
32,pi,0.0009281444520777919
33,pi,0.0009183344021894907
34,pi,0.0009085966480377298
35,pi,0.0008989347317798652
36,pi,0.0008893517304453021
37,pi,0.0008798502788109228
38,pi,0.0008704325962110125
39,pi,0.0008611005165853369
40,pi,0.0008518555206000432
1,Q,-0.04324766556921979
2,Q,-0.03871667605042598
3,Q,-0.0180262858138499
4,Q,0.004071902883927118
5,Q,0.022809441181966927
6,Q,0.037290324736686725
7,Q,0.04795478856861869
8,Q,0.05557556380482768
9,Q,0.06089525925130712
10,Q,0.06452158607505838
11,Q,0.06691891738589832
12,Q,0.06843038849996609
13,Q,0.06930531976719718
14,Q,0.06972344785224964
15,Q,0.06981398320867802
16,Q,0.06966981904435575
17,Q,0.06935784602474793
18,Q,0.06892634229916277
19,Q,0.0684102389822311
20,Q,0.06783486795857893
21,Q,0.06721863374281888
22,Q,0.06657492424324082
23,Q,0.06591348257857209
24,Q,0.06524139610540806
25,Q,0.06456381244454866
26,Q,0.0638844598948659
27,Q,0.06320602700756756
28,Q,0.06253044027728055
29,Q,0.06185906780359961
30,Q,0.06119286894483971
31,Q,0.06053250443069832
32,Q,0.05987841743774396
33,Q,0.05923089328841535
34,Q,0.058590103382883035
35,Q,0.05795613748536084
36,Q,0.05732902740221291
37,Q,0.056708764295592844
38,Q,0.056095311293225536
39,Q,0.05548861262504706
40,Q,0.0548886001995886
1,TB,-104.21146111797745
2,TB,-34.92815014960835
3,TB,-6.526360910524424
4,TB,4.281367326144887
5,TB,7.715501172719691
6,TB,8.21192474991208
7,TB,7.658280413696609
8,TB,6.82932806479428
9,TB,6.020977426041051
10,TB,5.328480612839875
11,TB,4.767114756654923
12,TB,4.323510113181505
13,TB,3.9767074529964583
14,TB,3.706200413461094
15,TB,3.4945289927456775
16,TB,3.327703557768263
17,TB,3.1948524956336506
18,TB,3.087664150171463
19,TB,2.9998405175603535
20,TB,2.926632589764427
21,TB,2.864468630762617
22,TB,2.8106657932817134
23,TB,2.7632100146114507
24,TB,2.720589505052529
25,TB,2.6816693768146305
26,TB,2.645597479956873
27,TB,2.6117337592560044
28,TB,2.579597279879572
29,TB,2.5488265044335945
30,TB,2.519149502002274
31,TB,2.4903616004699227
32,TB,2.4623086179724507
33,TB,2.434874277464637
34,TB,2.407970758804099
35,TB,2.3815316049391555
36,TB,2.355506394980676
37,TB,2.3298567438025195
38,TB,2.304553297807725
39,TB,2.2795734789188713
40,TB,2.25489979064419
1,C,-0.1619963685871889
2,C,-0.15650836272661875
3,C,-0.14380451319112633
4,C,-0.13082238407682864
5,C,-0.11974121714255638
6,C,-0.11091200403878661
7,C,-0.1040671312548307
8,C,-0.09879584019215065
9,C,-0.09471350518062112
10,C,-0.09150846682529708
11,C,-0.08894363318766482
12,C,-0.08684415454846156
13,C,-0.08508306243957926
14,C,-0.08356880319450898
15,C,-0.08223550657611808
16,C,-0.0810357560419455
17,C,-0.07993534919923914
18,C,-0.07890954626420879
19,C,-0.0779403971235207
20,C,-0.07701483820520089
21,C,-0.07612333499870229
22,C,-0.07525891064717051
23,C,-0.07441644806062107
24,C,-0.07359218642268985
25,C,-0.07278335643489035
26,C,-0.07198791504224616
27,C,-0.07120435183591899
28,C,-0.07043154734206665
29,C,-0.0696686690356628
30,C,-0.06891509489225824
31,C,-0.06817035711186183
32,C,-0.06743410066332196
33,C,-0.06670605274387985
34,C,-0.06598600029279757
35,C,-0.06527377345582243
36,C,-0.06456923344988999
37,C,-0.0638722636821929
38,C,-0.06318276327526622
39,C,-0.06250064236917234
40,C,-0.06182581873415989
1,N,2.613954578638316
2,N,1.1298274273177642
3,N,0.48939328188639863
4,N,0.21951158712614055
5,N,0.11064639173480482
6,N,0.07046193576621299
7,N,0.05860368434204186
8,N,0.05768209319543939
9,N,0.060388146502529286
10,N,0.06378994057818375
11,N,0.06682085250943394
12,N,0.06918262126121572
13,N,0.07087314768311564
14,N,0.07198829023362105
