sector,name,share,alphaV,direct_mc,network_mc,total_mc,amp_ratio,mc_irf,y_irf,ph_irf,yi_ss
1,Agropecuario-silvicola y Pesca,0.1635,0.11267980737410566,0.1755913596636833,0.5040313639667203,0.6796227236304037,3.870479304517662,0.27438619613121884,0.30721696694745987,0.12718186544317142,0.22899103000675242
2,Mineria,0.2164,0.10202911974240136,0.2104363135051029,0.47159932895292683,0.6820356424580297,3.241054887808092,0.29617522547841557,-0.0077812035726260486,0.09309486939739885,0.6801280569441893
3,Industria manufacturera,0.189,0.2823842734252001,0.5086764120199131,0.46933427233582303,0.9780106843557361,1.922657825772055,0.5603533267603393,0.1392544743553901,0.2029382575009817,1.0758760560676572
4,Electricidad gas agua y gestion de desechos,0.0871,0.33372064900528253,0.27703875278226364,0.3204667260097789,0.5975054787920425,2.1567577560589406,0.2517359191173038,0.2859231555467278,0.06861428936856288,0.1566982303969391
5,Construccion,0.0417,0.10854391091259312,0.043140066406151964,0.4564998312892545,0.49963989769540645,11.581806411502315,0.13044178374273305,0.036393212338361236,0.03958360205600637,0.09009726130067654
6,Comercio hoteles y restaurantes,0.0793,0.08441042852410598,0.06379822284154178,0.3678121520378867,0.4316103748794285,6.765241344597271,0.14703168459208024,0.03496586619621785,0.056839454537644316,0.08082242288545982
7,Transporte comunicaciones y servicios de informacion,0.3734,0.16349121658596374,0.5818459664864736,0.42176157183202057,1.0036075383184941,1.7248680855843408,0.6850676981051946,0.3323712647364198,0.10873292764354868,0.3124773347187241
8,Intermediacion financiera,0.0043,0.09682701332741028,0.003968298021565033,0.1733095370432991,0.17727783506486414,44.67351849621128,0.04395817249402667,0.12182506566618556,0.026440070995927198,0.16040532563783022
9,Servicios inmobiliarios y de vivienda,0.0449,0.014781863793062849,0.006325790810859775,0.3867248300327092,0.39305062084356895,62.13462199363295,0.054899160670553,0.014784476305780107,0.030393335088647045,0.14345043535611382
10,Servicios empresariales,0.0633,0.061669567542453944,0.03720607882396314,0.1971935128583463,0.23439959168230942,6.300034808595331,0.1229883555823114,0.4099122679191364,0.03341800104780868,0.4190783292252502
11,Servicios personales,0.0391,0.04764892847446154,0.0177569832469028,0.17558218430912967,0.19333916755603248,10.888063860157946,0.13134951161866285,-0.13552990098071702,0.02951586450533914,0.14248334319520675
12,Administracion publica,0.0447,0.05912259364749133,0.02518838308875075,0.13787480560065313,0.1630631886894039,6.473745778554109,0.1313296475664412,0.1574882633396536,0.026957999181085962,0.0020969366025883323
