period,variable,value
1,GDP,-0.22989302320157023
2,GDP,-0.17757445825730497
3,GDP,-0.13933705591210652
4,GDP,-0.11100271503381332
5,GDP,-0.08960040116472766
6,GDP,-0.07312782372945235
7,GDP,-0.06022108579436876
8,GDP,-0.04993999685014764
9,GDP,-0.04162784607971414
10,GDP,-0.034819289214317636
11,GDP,-0.02917945535150477
12,GDP,-0.024463407639365217
13,GDP,-0.020488943814753125
14,GDP,-0.01711819088864141
15,GDP,-0.014245034672102695
16,GDP,-0.01178644793154907
17,GDP,-0.009676443332013795
18,GDP,-0.007861808022575106
19,GDP,-0.00629905812495937
20,GDP,-0.004952236231486234
21,GDP,-0.0037912971422817327
22,GDP,-0.0027909082635410626
23,GDP,-0.00192954542995814
24,GDP,-0.0011888015427776585
25,GDP,-0.0005528502868842447
26,GDP,-8.024208617467698e-6
27,GDP,0.00045752182826475475
28,GDP,0.0008540826338248376
29,GDP,0.001190625240453652
30,GDP,0.0014749730822037638
31,GDP,0.0017139600047258233
32,GDP,0.0019135602431059504
33,GDP,0.0020789990126411926
34,GDP,0.002214847268975562
35,GDP,0.002325103393133883
36,GDP,0.002413263962608738
37,GDP,0.002482385324477535
38,GDP,0.0025351373498727135
39,GDP,0.0025738504919410534
40,GDP,0.002600557070832989
1,pi,-0.020247398912891453
2,pi,0.03672998053109587
3,pi,0.028589339940396686
4,pi,0.02280784131675068
5,pi,0.018638511926196668
6,pi,0.015540246497634597
7,pi,0.013166640397165075
8,pi,0.011294419575240619
9,pi,0.009778331892436954
10,pi,0.00852270409645974
11,pi,0.007463495054900258
12,pi,0.006556960112640843
13,pi,0.005772480153282192
14,pi,0.005088014988739966
15,pi,0.004487211227957733
16,pi,0.003957553990069619
17,pi,0.0034891779710735315
18,pi,0.0030740957277938484
19,pi,0.002705690645717349
20,pi,0.0023783784527220643
21,pi,0.0020873766347941076
22,pi,0.0018285434499075385
23,pi,0.0015982622991048408
24,pi,0.0013933560688396075
25,pi,0.00121102163736142
26,pi,0.0010487782556373006
27,pi,0.0009044257345346536
28,pi,0.0007760097755970802
29,pi,0.0006617926751121615
30,pi,0.0005602282004219708
31,pi,0.00046993980307685626
32,pi,0.00038970157060496606
33,pi,0.00031842147458064973
34,pi,0.0002551265770067947
35,pi,0.00019894992844400212
36,pi,0.00014911894157106404
37,pi,0.0001049450603495423
38,pi,6.581457236725811e-5
39,pi,3.118043321710618e-5
40,pi,5.549888200557624e-7
1,Q,-0.3174562279933729
2,Q,-0.3674779180757862
3,Q,-0.3824254533430118
4,Q,-0.3768194809687044
5,Q,-0.3597998722685979
6,Q,-0.33697589078476753
7,Q,-0.31174527917012884
8,Q,-0.28612446220905297
9,Q,-0.26127077742108373
10,Q,-0.2378107015421245
11,Q,-0.2160458731424312
12,Q,-0.19608214889252562
13,Q,-0.17791019758893492
14,Q,-0.16145559394884063
15,Q,-0.14660973195322202
16,Q,-0.13324869192730676
17,Q,-0.12124455758099699
18,Q,-0.11047201633901756
19,Q,-0.10081202782724291
20,Q,-0.0921536841660778
21,Q,-0.08439496862897204
22,Q,-0.0774428560721446
23,Q,-0.07121303249642383
24,Q,-0.06562940633732063
25,Q,-0.06062351800403139
26,Q,-0.0561339125512788
27,Q,-0.05210551417589774
28,Q,-0.048489024803447585
29,Q,-0.04524035878003113
30,Q,-0.0423201193413326
31,Q,-0.039693118658071146
32,Q,-0.03732794094443328
33,Q,-0.0351965467863423
34,Q,-0.03327391613319444
35,Q,-0.03153772706711762
36,Q,-0.029968067369906867
37,Q,-0.028547175955529958
38,Q,-0.027259211365809038
39,Q,-0.026090044700840514
40,Q,-0.025027074550211147
1,TB,-4.938267176828555
2,TB,-1.595298916369273
3,TB,0.38826225277913823
4,TB,1.5037286799669136
5,TB,2.075339996697816
6,TB,2.3098322782797642
7,TB,2.3389652147515325
8,TB,2.2465832394132597
9,TB,2.085863957182524
10,TB,1.8903323798877794
11,TB,1.680908337988295
12,TB,1.4704253390094515
13,TB,1.2665344398308205
14,TB,1.0735743205451724
15,TB,0.8937779614761916
16,TB,0.7280524737183197
17,TB,0.576483505731095
18,TB,0.43866141120377916
19,TB,0.31389173577764845
20,TB,0.20133041983746286
21,TB,0.10006989447285358
22,TB,0.009193095016189817
23,TB,-0.07219349450902915
24,TB,-0.14494048449368124
25,TB,-0.20984512285224782
26,TB,-0.2676465808327606
27,TB,-0.3190248946575266
28,TB,-0.364602182181835
29,TB,-0.40494522155174745
30,TB,-0.44056879006835237
31,TB,-0.471939369276623
32,TB,-0.49947896143844517
33,TB,-0.5235688558529874
34,TB,-0.5445532460384199
35,TB,-0.5627426406116436
36,TB,-0.5784170384982471
37,TB,-0.5918288573795281
38,TB,-0.6032056160847451
39,TB,-0.612752379037207
40,TB,-0.6206539752785186
1,C,-0.11947378537195737
2,C,-0.14432646819359793
3,C,-0.15171019246143289
4,C,-0.14887093280282823
5,C,-0.14037194652844226
6,C,-0.12901229643153167
7,C,-0.11648608734889904
8,C,-0.10379737338941862
9,C,-0.0915211474591493
10,C,-0.07996737034990557
11,C,-0.0692839232298867
12,C,-0.05952109248293392
13,C,-0.05067183308794036
14,C,-0.04269678806185183
15,C,-0.03553972180258559
16,C,-0.029136933219083703
17,C,-0.023422896047972663
18,C,-0.018333542595365956
19,C,-0.01380808307230923
20,C,-0.009789922174140979
21,C,-0.006227026056171306
22,C,-0.0030719613078700908
23,C,-0.00028174451884325537
24,C,0.002182411344941119
25,C,0.004355400569140341
26,C,0.006268545952372366
27,C,0.007949918422541
28,C,0.009424643939498236
29,C,0.010715191736633042
30,C,0.011841641121582525
31,C,0.012821925988602798
32,C,0.013672057347389051
33,C,0.014406324834005304
34,C,0.015037478522361786
35,C,0.015576892515823053
36,C,0.01603471184206108
37,C,0.01641998414721986
38,C,0.016740777617669993
39,C,0.017004286467966027
40,C,0.017216925233922806
1,N,0.38334682385410646
2,N,0.3122738948018284
3,N,0.2598106298878895
4,N,0.21953708776045988
5,N,0.1877292563171355
6,N,0.16194301902348537
7,N,0.14055556382921403
8,N,0.1224737315377718
9,N,0.1069480871871233
10,N,0.09345403611292827
11,N,0.08161552656400035
12,N,0.07115585745061202
13,N,0.06186578003041658
14,N,0.05358266670262911
15,N,0.046176787974744865
16,N,0.03954217519387071
17,N,0.03359045777483919
18,N,0.028246642490711737
19,N,0.023446170824547995
20,N,0.01913282543418105
21,N,0.015257207153875414
22,N,0.011775600470797854
23,N,0.008649107600955424
24,N,0.005842971541565145
25,N,0.0033260346715637064
26,N,0.0010702966255548465
27,N,-0.0009494535187980498
28,N,-0.002755948174196753
29,N,-0.004369707678939803
30,N,-0.0058092711853689185
31,N,-0.007091398597415551
32,N,-0.008231248513915542
33,N,-0.009242535977223652
34,N,-0.010137672997239732
35,N,-0.010927894216762553
