param,estimate,std_err,t_stat
ilabcosts,1.0,0.0,Inf
epsY,0.8,0.0,Inf
epsM,0.2,0.0,Inf
log(kappaV),13.815510557964274,0.0,Inf
rho_om,0.5,0.0,Inf
rho_A,0.5,0.0,Inf
isigma_tfp_1,0.02139239044725735,0.0,Inf
isigma_tfp_2,0.02961954770300888,0.0,Inf
isigma_tfp_3,0.01788121138834289,0.0,Inf
isigma_tfp_4,0.037833691506720564,0.0,Inf
isigma_tfp_5,0.02833476794107319,0.0,Inf
isigma_tfp_6,0.04249891552539903,0.0,Inf
isigma_tfp_7,0.03623701778764308,0.0,Inf
isigma_tfp_8,0.02272561009985338,0.0,Inf
isigma_tfp_9,0.01045288420554318,0.0,Inf
isigma_tfp_10,0.02441270526237594,0.0,Inf
isigma_tfp_11,0.07370417221200415,0.0,Inf
isigma_tfp_12,0.006207311457502961,0.0,Inf
sigma_om_1,0.01827630155847019,0.0,Inf
sigma_om_2,0.026899461662567008,0.0,Inf
sigma_om_3,0.01568115488091929,0.0,Inf
sigma_om_4,0.03579939932061343,0.0,Inf
sigma_om_5,0.04763187757785889,0.0,Inf
sigma_om_6,0.04364781937337647,0.0,Inf
sigma_om_7,0.039837210287160335,0.0,Inf
sigma_om_8,0.015659030556688245,0.0,Inf
sigma_om_9,0.012050888911190235,0.0,Inf
sigma_om_10,0.026825620374942134,0.0,Inf
sigma_om_11,0.018516031263662337,0.0,Inf
sigma_om_12,0.005306529280360671,0.0,Inf
rho_pvstar,0.6950002620072055,0.0,Inf
sigma_pvstar,0.05440363817808442,0.0,Inf
rho_xi,0.7,0.0,Inf
sigma_xi,0.01,0.0,Inf
etastar,1.0,0.0,Inf
kappaw,100.0,0.0,Inf
