param,theta,moment,data,model,diff
ilabcosts,1.0,std(Y_1),0.028136410000283395,0.030059214242931266,-0.0019228042426478707
epsY,0.8,std(Y_2),0.040011231471509735,0.028422474245175907,0.011588757226333828
epsM,0.2,std(Y_3),0.02378311037509565,0.029909490988832547,-0.006126380613736899
log(kappaV),13.815510557964274,std(Y_4),0.05208632454629945,0.03530976789501365,0.0167765566512858
rho_om,0.5,std(Y_5),0.05542251199527684,0.04035266125864551,0.015069850736631328
rho_A,0.5,std(Y_6),0.060920357491448626,0.04182646852541728,0.01909388896603135
isigma_tfp_1,0.02139239044725735,std(Y_7),0.05385280662700315,0.03559457679367517,0.018258229833327977
isigma_tfp_2,0.02961954770300888,std(Y_8),0.027598162844396982,0.03741289267419555,-0.009814729829798568
isigma_tfp_3,0.01788121138834289,std(Y_9),0.015952639648796115,0.03641820299409606,-0.020465563345299944
isigma_tfp_4,0.037833691506720564,std(Y_10),0.03627111918218334,0.037233961966477616,-0.0009628427842942738
isigma_tfp_5,0.02833476794107319,std(Y_11),0.0759943972619935,0.036121882792400126,0.039872514469593376
isigma_tfp_6,0.04249891552539903,std(Y_12),0.008166392626721586,0.034486493208028754,-0.026320100581307168
isigma_tfp_7,0.03623701778764308,std(PH_1),0.12839581032311895,0.01658672282027864,0.11180908750284031
isigma_tfp_8,0.02272561009985338,std(PH_2),0.1667265432849996,0.017958453622449508,0.14876808966255012
isigma_tfp_9,0.01045288420554318,std(PH_3),0.05278452945638629,0.011621447691877014,0.04116308176450927
isigma_tfp_10,0.02441270526237594,std(PH_4),0.12662819364124472,0.016118152977589097,0.11051004066365563
isigma_tfp_11,0.07370417221200415,std(PH_5),0.0350728297008308,0.01690815860820902,0.018164671092621782
isigma_tfp_12,0.006207311457502961,std(PH_6),0.025720034292135735,0.021464877793727494,0.004255156498408241
sigma_om_1,0.01827630155847019,std(PH_7),0.030682476821033478,0.01727416382736361,0.013408312993669867
sigma_om_2,0.026899461662567008,std(PH_8),0.04696457772408393,0.017276044340890973,0.02968853338319296
sigma_om_3,0.01568115488091929,std(PH_9),0.01944523299201208,0.019685338194414218,-0.0002401052024021376
sigma_om_4,0.03579939932061343,std(PH_10),0.017219798795357646,0.017049459223135135,0.00017033957222251095
sigma_om_5,0.04763187757785889,std(PH_11),0.0385005809562622,0.01985199539031712,0.01864858556594508
sigma_om_6,0.04364781937337647,std(PH_12),0.018182707120174616,0.020168313325435522,-0.0019856062052609064
sigma_om_7,0.039837210287160335,std(L_1),0.025809663932901235,0.030786170196914528,-0.0049765062640132925
sigma_om_8,0.015659030556688245,std(L_2),0.04472775896515823,0.03646240736599738,0.00826535159916085
sigma_om_9,0.012050888911190235,std(L_3),0.028215742435467414,0.030760032269978275,-0.0025442898345108614
sigma_om_10,0.026825620374942134,std(L_4),0.022780204417362074,0.05232536421518646,-0.029545159797824384
sigma_om_11,0.018516031263662337,std(L_5),0.045993141145947145,0.04997151047532161,-0.003978369329374468
sigma_om_12,0.005306529280360671,std(L_6),0.029944905175268738,0.05072290102319265,-0.020777995847923912
rho_pvstar,0.6950002620072055,std(L_7),0.0267685584317378,0.056001348996790545,-0.029232790565052746
sigma_pvstar,0.05440363817808442,std(L_8),0.04593886723146957,0.04533501484974377,0.0006038523817257987
rho_xi,0.7,std(L_9),0.028984767311945367,0.030323970934627038,-0.0013392036226816707
sigma_xi,0.01,std(L_10),0.025516747039704926,0.04721935057840435,-0.021702603538699426
etastar,1.0,std(L_11),0.019678592745339802,0.08975817835506489,-0.07007958560972509
kappaw,100.0,std(L_12),0.04258593753759306,0.03309417397972134,0.009491763557871714
,NaN,std(GDP),0.03082388749701127,0.03633919531784276,-0.005515307820831487
,NaN,std(pi),0.01457064094612087,0.014679821056735116,-0.00010918011061424558
,NaN,"corr(GDP,pi)",-0.42114640648896784,-0.4850016602976465,0.06385525380867868
,NaN,std(TB/GDP),0.0346411221304825,0.02381872100118644,0.010822401129296062
,NaN,std(Q),0.04347780999155187,0.036824363162336185,0.006653446829215683
,NaN,autocorr(Q),0.7164306143949916,0.1632920136351743,0.5531386007598172
,NaN,"corr(GDP,Q)",0.24415236675973104,0.9841108957033113,-0.7399585289435803
,NaN,rank corr: output (model vs data),1.0,0.38461538461538464,0.6153846153846154
,NaN,rank corr: prices (model vs data),1.0,-0.46853146853146854,1.4685314685314685
,NaN,rank corr: labor  (model vs data),1.0,-0.3356643356643357,1.3356643356643356
,NaN,"corr(Y_1,PH_1)",-0.1561422203671503,-0.023998850567784256,-0.13214336979936606
,NaN,"corr(Y_2,PH_2)",-0.09603141896827312,0.13278884047175118,-0.22882025944002432
,NaN,"corr(Y_3,PH_3)",-0.13054165231124765,0.12281188543301785,-0.2533535377442655
,NaN,"corr(Y_4,PH_4)",-0.05521269376888595,0.005484520566907097,-0.060697214335793045
,NaN,"corr(Y_5,PH_5)",0.4772465545934569,-0.2878902955121965,0.7651368501056535
,NaN,"corr(Y_6,PH_6)",0.02666844045215592,-0.205939760366893,0.2326082008190489
,NaN,"corr(Y_7,PH_7)",0.09443795903494265,-0.025245938862373293,0.11968389789731594
,NaN,"corr(Y_8,PH_8)",-0.3561282169555678,-0.20544404005195085,-0.15068417690361693
,NaN,"corr(Y_9,PH_9)",0.1413084993162794,-0.3270207744536693,0.4683292737699487
,NaN,"corr(Y_10,PH_10)",0.09397558982675808,-0.04054976541152109,0.13452535523827916
,NaN,"corr(Y_11,PH_11)",-0.8812694015434284,-0.285252527235829,-0.5960168743075993
,NaN,"corr(Y_12,PH_12)",-0.15551758015705386,-0.301899756250634,0.14638217609358012
,NaN,"corr(N,GDP)",0.8604066475200772,0.32026801655490067,0.5401386309651766
,NaN,"corr(N,GDP/N)",0.2857796345945434,-0.5447040669910668,0.8304837015856101
