param,theta,moment,data,model,diff
cl (FGI hiring c),1.0,std(Y_1),0.028345145414833572,0.02228351422626962,0.006061631188563954
epsY,0.8,std(Y_2),0.04020199541926607,0.03337241484055433,0.00682958057871174
epsM,0.2,std(Y_3),0.017283352572706294,0.024375822909461504,-0.0070924703367552105
log(kappaV),13.815510557964274,std(Y_4),0.05373397707231422,0.03666943972643034,0.01706453734588388
rho_om,0.5,std(Y_5),0.028890735191104227,0.0647942317199294,-0.03590349652882517
rho_A,0.5,std(Y_6),0.03136053143561935,0.03474063497379587,-0.0033801035381765196
isigma_tfp_1,0.022443489198188154,std(Y_7),0.02701633898986303,0.03953984691078065,-0.01252350792091762
isigma_tfp_2,0.030481887125393237,std(Y_8),0.027782764320644783,0.04632161285822007,-0.018538848537575287
isigma_tfp_3,0.014280767081640156,std(Y_9),0.008104667024186052,0.03499298936908089,-0.02688832234489484
isigma_tfp_4,0.037901146112231415,std(Y_10),0.02545527790869288,0.04836316513166671,-0.022907887222973832
isigma_tfp_5,0.022654442667822308,std(Y_11),0.03661309498421405,0.020789449849142137,0.015823645135071913
isigma_tfp_6,0.025253927947359735,std(Y_12),0.008209067676722047,0.0018861616452537993,0.006322906031468248
isigma_tfp_7,0.015048881475204433,std(PH_1),0.11700676004649013,0.02260349081149832,0.09440326923499182
isigma_tfp_8,0.023853417532410284,std(PH_2),0.13167729769437686,0.1439947852972541,-0.012317487602877236
isigma_tfp_9,0.006027245829997878,std(PH_3),0.050086995917430564,0.010967868804169894,0.03911912711326067
isigma_tfp_10,0.022385098276796654,std(PH_4),0.09363146193513253,0.02090471253114622,0.07272674940398631
isigma_tfp_11,0.02200286281354651,std(PH_5),0.008848832373071639,0.009316903671006516,-0.0004680712979348769
isigma_tfp_12,0.00552475164158305,std(PH_6),0.02725461455721624,0.015687399411461377,0.011567215145754862
sigma_om_1,0.016572561669774596,std(PH_7),0.03776535792528393,0.00869311128455814,0.02907224664072579
sigma_om_2,0.025663789476364787,std(PH_8),0.05673710394432723,0.010241849418961438,0.04649525452536579
sigma_om_3,0.009035076399822043,std(PH_9),0.018935117557210043,0.011428044806143118,0.007507072751066926
sigma_om_4,0.03868520159375621,std(PH_10),0.015683909639453642,0.011733024467828325,0.003950885171625318
sigma_om_5,0.020578612208637555,std(PH_11),0.026780605293231095,0.010695707154513333,0.01608489813871776
