param,theta,moment,data,model,diff
ilabcosts,4.706140313804723,std(Y_1),0.028136410000283395,0.11823688234780567,-0.09010047234752228
epsY,0.8,std(Y_2),0.040011231471509735,0.14207260340689812,-0.10206137193538839
epsM,0.2,std(Y_3),0.02378311037509565,0.11660096246915223,-0.09281785209405659
log(kappaV),10.967754144931346,std(Y_4),0.05208632454629945,0.11951541887475543,-0.06742909432845598
rho_om,0.01089460307538742,std(Y_5),0.05542251199527684,0.09855628894911632,-0.04313377695383948
rho_A,0.40434094375826934,std(Y_6),0.060920357491448626,0.10741059957905744,-0.04649024208760881
isigma_tfp_1,0.02139239044725735,std(Y_7),0.05385280662700315,0.11367931552836982,-0.059826508901366676
isigma_tfp_2,0.02961954770300888,std(Y_8),0.027598162844396982,0.10613792783072061,-0.07853976498632363
isigma_tfp_3,0.01788121138834289,std(Y_9),0.015952639648796115,0.09696251675192774,-0.08100987710313162
isigma_tfp_4,0.037833691506720564,std(Y_10),0.03627111918218334,0.1218389472660415,-0.08556782808385816
isigma_tfp_5,0.02833476794107319,std(Y_11),0.0759943972619935,0.09392216975652654,-0.017927772494533034
isigma_tfp_6,0.04249891552539903,std(Y_12),0.008166392626721586,0.10085388001046916,-0.09268748738374757
isigma_tfp_7,0.03623701778764308,std(PH_1),0.12839581032311895,0.021748177976546195,0.10664763234657275
isigma_tfp_8,0.02272561009985338,std(PH_2),0.1667265432849996,0.023751677292295808,0.14297486599270381
isigma_tfp_9,0.01045288420554318,std(PH_3),0.05278452945638629,0.01569687669889713,0.03708765275748915
isigma_tfp_10,0.02441270526237594,std(PH_4),0.12662819364124472,0.023968955799416367,0.10265923784182836
isigma_tfp_11,0.07370417221200415,std(PH_5),0.0350728297008308,0.018819937650146248,0.016252892050684555
isigma_tfp_12,0.006207311457502961,std(PH_6),0.025720034292135735,0.029790137793741085,-0.0040701035016053495
sigma_om_1,0.01827630155847019,std(PH_7),0.030682476821033478,0.0218301791599136,0.008852297661119876
sigma_om_2,0.026899461662567008,std(PH_8),0.04696457772408393,0.019654350458477056,0.027310227265606876
sigma_om_3,0.01568115488091929,std(PH_9),0.01944523299201208,0.019501991513115702,-5.675852110362256e-5
sigma_om_4,0.03579939932061343,std(PH_10),0.017219798795357646,0.01999471773106034,-0.0027749189357026936
sigma_om_5,0.04763187757785889,std(PH_11),0.0385005809562622,0.021434817564683982,0.01706576339157822
sigma_om_6,0.04364781937337647,std(PH_12),0.018182707120174616,0.019595417209853905,-0.0014127100896792893
sigma_om_7,0.039837210287160335,std(L_1),0.025809663932901235,0.1166665907750788,-0.09085692684217755
sigma_om_8,0.015659030556688245,std(L_2),0.04472775896515823,0.13656867401860734,-0.0918409150534491
sigma_om_9,0.012050888911190235,std(L_3),0.028215742435467414,0.1148669298617687,-0.08665118742630129
sigma_om_10,0.026825620374942134,std(L_4),0.022780204417362074,0.12895931089397228,-0.1061791064766102
sigma_om_11,0.018516031263662337,std(L_5),0.045993141145947145,0.10578976702259883,-0.05979662587665169
sigma_om_12,0.005306529280360671,std(L_6),0.029944905175268738,0.10968066908794327,-0.07973576391267453
rho_pvstar,0.6950002620072055,std(L_7),0.0267685584317378,0.12361221637596397,-0.09684365794422617
sigma_pvstar,0.05440363817808442,std(L_8),0.04593886723146957,0.11040160842507697,-0.0644627411936074
rho_xi,0.8280425498718608,std(L_9),0.028984767311945367,0.09505154026408148,-0.06606677295213612
sigma_xi,0.038217841386526695,std(L_10),0.025516747039704926,0.12517999652272183,-0.0996632494830169
etastar,4.533339773141773,std(L_11),0.019678592745339802,0.13037909622110228,-0.11070050347576248
kappaw,48.887682621808835,std(L_12),0.04258593753759306,0.10090791994556506,-0.058321982407972
,NaN,std(GDP),0.03082388749701127,0.11479987533328459,-0.08397598783627332
,NaN,std(pi),0.01457064094612087,0.01665539939900657,-0.0020847584528856985
,NaN,"corr(GDP,pi)",-0.42114640648896784,-0.09544504315971612,-0.3257013633292517
,NaN,std(TB/GDP),0.0346411221304825,0.04404937887108977,-0.009408256740607267
,NaN,std(Q),0.04347780999155187,0.040052881630482755,0.003424928361069113
,NaN,autocorr(Q),0.7164306143949916,0.09291543287422759,0.623515181520764
,NaN,"corr(GDP,Q)",0.24415236675973104,0.9433121387664919,-0.6991597720067608
,NaN,rank corr: output (model vs data),1.0,-0.06293706293706294,1.062937062937063
,NaN,rank corr: prices (model vs data),1.0,0.25874125874125875,0.7412587412587412
,NaN,rank corr: labor  (model vs data),1.0,-0.5384615384615384,1.5384615384615383
,NaN,"corr(Y_1,PH_1)",-0.1561422203671503,-0.08177554345429201,-0.0743666769128583
,NaN,"corr(Y_2,PH_2)",-0.09603141896827312,-0.12565359206284052,0.029622173094567397
,NaN,"corr(Y_3,PH_3)",-0.13054165231124765,-0.21311152745580403,0.08256987514455638
,NaN,"corr(Y_4,PH_4)",-0.05521269376888595,-0.06223839546197479,0.007025701693088839
,NaN,"corr(Y_5,PH_5)",0.4772465545934569,-0.06642165241988456,0.5436682070133414
,NaN,"corr(Y_6,PH_6)",0.02666844045215592,-0.1492264616199497,0.17589490207210562
,NaN,"corr(Y_7,PH_7)",0.09443795903494265,0.01099449868768856,0.08344346034725408
,NaN,"corr(Y_8,PH_8)",-0.3561282169555678,0.0020566717063941055,-0.3581848886619619
,NaN,"corr(Y_9,PH_9)",0.1413084993162794,-0.062241380767278774,0.20354988008355818
,NaN,"corr(Y_10,PH_10)",0.09397558982675808,0.08104853618703795,0.012927053639720132
,NaN,"corr(Y_11,PH_11)",-0.8812694015434284,-0.1060227487134746,-0.7752466528299538
,NaN,"corr(Y_12,PH_12)",-0.15551758015705386,-0.03991904485278192,-0.11559853530427194
,NaN,"corr(N,GDP)",0.8604066475200772,0.9053778087690838,-0.044971161249006575
,NaN,"corr(N,GDP/N)",0.2857796345945434,-0.20018932361827038,0.48596895821281383
