param,theta,moment,data,model,diff
cl (FGI hiring c),27.14060053266923,std(Y_1),0.028345145414833572,0.034965626472279354,-0.006620481057445782
epsY,0.8,std(Y_2),0.04020199541926607,0.05472089201486431,-0.01451889659559824
epsM,0.3,std(Y_3),0.017283352572706294,0.029563340387369227,-0.012279987814662933
log(kappaV),13.815510557964274,std(Y_4),0.05373397707231422,0.0669121337585715,-0.013178156686257277
rho_om,0.9888697883268163,std(Y_5),0.028890735191104227,0.06596257573369933,-0.0370718405425951
rho_A,0.9676343871392945,std(Y_6),0.03136053143561935,0.0433742737168168,-0.012013742281197448
isigma_tfp_1,0.022443489198188154,std(Y_7),0.02701633898986303,0.041417918073503965,-0.014401579083640936
isigma_tfp_2,0.030481887125393237,std(Y_8),0.027782764320644783,0.046018327811043085,-0.0182355634903983
isigma_tfp_3,0.014280767081640156,std(Y_9),0.008104667024186052,0.02297151177209649,-0.014866844747910439
isigma_tfp_4,0.037901146112231415,std(Y_10),0.02545527790869288,0.06726300548853376,-0.04180772757984087
isigma_tfp_5,0.022654442667822308,std(Y_11),0.03661309498421405,0.038327440576114286,-0.0017143455919002362
isigma_tfp_6,0.025253927947359735,std(Y_12),0.008209067676722047,0.07979486477390711,-0.07158579709718507
isigma_tfp_7,0.015048881475204433,std(PH_1),0.11700676004649013,0.048904213848016465,0.06810254619847367
isigma_tfp_8,0.023853417532410284,std(PH_2),0.13167729769437686,0.15143822661914105,-0.019760928924764193
isigma_tfp_9,0.006027245829997878,std(PH_3),0.050086995917430564,0.02553915074665645,0.024547845170774116
isigma_tfp_10,0.022385098276796654,std(PH_4),0.09363146193513253,0.06200474565992279,0.031626716275209736
isigma_tfp_11,0.02200286281354651,std(PH_5),0.008848832373071639,0.027824827099360034,-0.018975994726288394
isigma_tfp_12,0.00552475164158305,std(PH_6),0.02725461455721624,0.03675786779068409,-0.009503253233467849
sigma_om_1,0.016572561669774596,std(PH_7),0.03776535792528393,0.02225826969006615,0.015507088235217781
sigma_om_2,0.025663789476364787,std(PH_8),0.05673710394432723,0.034913463800757494,0.021823640143569738
sigma_om_3,0.009035076399822043,std(PH_9),0.018935117557210043,0.013594086471222597,0.005341031085987446
sigma_om_4,0.03868520159375621,std(PH_10),0.015683909639453642,0.03319091302809416,-0.01750700338864052
sigma_om_5,0.020578612208637555,std(PH_11),0.026780605293231095,0.02278332832180628,0.003997276971424813
sigma_om_6,0.012493613865721237,std(PH_12),0.014597854455920363,0.04843540287972717,-0.033837548423806804
sigma_om_7,0.01624509455057309,std(L_1),0.025215348716401673,0.012863797124457031,0.012351551591944641
sigma_om_8,0.01393189906906118,std(L_2),0.014639932184480585,0.03824948773085561,-0.023609555546375026
sigma_om_9,0.002785230738449193,std(L_3),0.015173648057538795,0.008544935546626765,0.00662871251091203
sigma_om_10,0.00974038599244317,std(L_4),0.017010230287348153,0.02772714992512334,-0.010716919637775185
sigma_om_11,0.012774611212567847,std(L_5),0.029131515374445645,0.018394694084129026,0.010736821290316619
sigma_om_12,0.006017608204021737,std(L_6),0.018884581712699723,0.011225501496027237,0.007659080216672486
rho_pvstar,0.6950002620072055,std(L_7),0.014279339751893593,0.01399660639714552,0.0002827333547480732
sigma_pvstar,0.05440363817808442,std(L_8),0.012286204371456708,0.020833523283872866,-0.008547318912416158
rho_zeta,0.6683422083855751,std(L_9),0.018620746655727674,0.011404914146819357,0.007215832508908317
sigma_zeta,0.00012236675113657568,std(L_10),0.01647871562808028,0.017768781490320493,-0.0012900658622402132
etastar,1.0,std(L_11),0.009246236232916035,0.021812831394766547,-0.012566595161850512
kappaw,460.03982599688163,std(L_12),0.02783827138656764,0.0490830030359207,-0.021244731649353057
lambda_A (TFP scale),1.1313873920571753,std(GDP),0.0148127156930972,0.01900552579638348,-0.004192810103286279
lambda_om (demand scale),1.7516570344939284,std(pi),0.0135107253544962,0.008015169993870449,0.005495555360625751
,NaN,"corr(GDP,pi)",-0.3590224746741133,-0.1098131450902965,-0.2492093295838168
,NaN,std(TB/GDP),0.0335056147765148,0.021048802363966702,0.012456812412548098
,NaN,std(Q),0.0428887557486077,0.03492880866060967,0.007959947087998027
,NaN,autocorr(Q),0.7167583941628564,0.36890361817363365,0.3478547759892227
,NaN,"corr(GDP,Q)",0.0289037003942152,0.2590232918135056,-0.2301195914192904
,NaN,rank corr: output (model vs data),1.0,0.2097902097902098,0.7902097902097902
,NaN,rank corr: prices (model vs data),1.0,0.5174825174825175,0.4825174825174825
