param,theta,moment,data,model,diff
cl (FGI hiring c),15.07681066790293,std(Y_1),0.028345145414833572,0.03109902756580548,-0.0027538821509719077
epsY,0.9,std(Y_2),0.04020199541926607,0.04261915605233353,-0.002417160633067461
epsM,0.2,std(Y_3),0.017283352572706294,0.023318396799649994,-0.0060350442269437
log(kappaV),13.815510557964274,std(Y_4),0.05373397707231422,0.05535382151503088,-0.0016198444427166572
rho_om,0.800825002762859,std(Y_5),0.028890735191104227,0.04447381782595775,-0.015583082634853525
rho_A,0.9850568117529163,std(Y_6),0.03136053143561935,0.03836812595727677,-0.007007594521657418
isigma_tfp_1,0.022443489198188154,std(Y_7),0.02701633898986303,0.030523122607937863,-0.003506783618074834
isigma_tfp_2,0.030481887125393237,std(Y_8),0.027782764320644783,0.042907823297989825,-0.015125058977345042
isigma_tfp_3,0.014280767081640156,std(Y_9),0.008104667024186052,0.027087314397091614,-0.018982647372905562
isigma_tfp_4,0.037901146112231415,std(Y_10),0.02545527790869288,0.03246379521363309,-0.007008517304940207
isigma_tfp_5,0.022654442667822308,std(Y_11),0.03661309498421405,0.02470551770131475,0.0119075772828993
isigma_tfp_6,0.025253927947359735,std(Y_12),0.008209067676722047,0.0012463716122429274,0.006962696064479119
isigma_tfp_7,0.015048881475204433,std(PH_1),0.11700676004649013,0.03905646500807748,0.07795029503841265
isigma_tfp_8,0.023853417532410284,std(PH_2),0.13167729769437686,0.14711110338369732,-0.015433805689320457
isigma_tfp_9,0.006027245829997878,std(PH_3),0.050086995917430564,0.020607201192213154,0.02947979472521741
isigma_tfp_10,0.022385098276796654,std(PH_4),0.09363146193513253,0.05181097681151704,0.04182048512361548
isigma_tfp_11,0.02200286281354651,std(PH_5),0.008848832373071639,0.022173282873926295,-0.013324450500854656
isigma_tfp_12,0.00552475164158305,std(PH_6),0.02725461455721624,0.028705447924308493,-0.0014508333670922545
sigma_om_1,0.016572561669774596,std(PH_7),0.03776535792528393,0.018779651935772274,0.01898570598951166
sigma_om_2,0.025663789476364787,std(PH_8),0.05673710394432723,0.028238170693436537,0.028498933250890694
sigma_om_3,0.009035076399822043,std(PH_9),0.018935117557210043,0.0148081814545572,0.004126936102652844
sigma_om_4,0.03868520159375621,std(PH_10),0.015683909639453642,0.03018872616091683,-0.014504816521463189
sigma_om_5,0.020578612208637555,std(PH_11),0.026780605293231095,0.017900336260384026,0.008880269032847068
sigma_om_6,0.012493613865721237,std(PH_12),0.014597854455920363,0.011621217105637342,0.0029766373502830203
