param,theta,moment,data,model,diff
cl (FGI hiring c),4.582958404712131,std(Y_1),0.028345145414833572,0.024175601981570666,0.004169543433262906
epsY,0.8,std(Y_2),0.04020199541926607,0.0274014436358463,0.01280055178341977
epsM,0.2,std(Y_3),0.017283352572706294,0.019572504810400376,-0.0022891522376940823
log(kappaV),13.815510557964274,std(Y_4),0.05373397707231422,0.0416085009597668,0.012125476112547419
rho_om,0.9891343756456022,std(Y_5),0.028890735191104227,0.02891719102657842,-2.6455835474191447e-5
rho_A,0.9897846017448255,std(Y_6),0.03136053143561935,0.02934206650816013,0.0020184649274592216
isigma_tfp_1,0.022443489198188154,std(Y_7),0.02701633898986303,0.021708368911854393,0.005307970078008636
isigma_tfp_2,0.030481887125393237,std(Y_8),0.027782764320644783,0.031138252704617717,-0.0033554883839729335
isigma_tfp_3,0.014280767081640156,std(Y_9),0.008104667024186052,0.019388916335373305,-0.011284249311187253
isigma_tfp_4,0.037901146112231415,std(Y_10),0.02545527790869288,0.019685112056769222,0.005770165851923657
isigma_tfp_5,0.022654442667822308,std(Y_11),0.03661309498421405,0.020636831236858957,0.015976263747355092
isigma_tfp_6,0.025253927947359735,std(Y_12),0.008209067676722047,0.0007859721324402687,0.007423095544281778
isigma_tfp_7,0.015048881475204433,std(PH_1),0.11700676004649013,0.029009254797850804,0.08799750524863933
isigma_tfp_8,0.023853417532410284,std(PH_2),0.13167729769437686,0.1441360257142792,-0.012458728019902332
isigma_tfp_9,0.006027245829997878,std(PH_3),0.050086995917430564,0.015835254886688452,0.03425174103074211
isigma_tfp_10,0.022385098276796654,std(PH_4),0.09363146193513253,0.04331426241584369,0.050317199519288834
isigma_tfp_11,0.02200286281354651,std(PH_5),0.008848832373071639,0.020507197050809597,-0.011658364677737959
isigma_tfp_12,0.00552475164158305,std(PH_6),0.02725461455721624,0.022706727196637442,0.0045478873605787964
sigma_om_1,0.016572561669774596,std(PH_7),0.03776535792528393,0.016694349232752714,0.02107100869253122
sigma_om_2,0.025663789476364787,std(PH_8),0.05673710394432723,0.025927999051559954,0.030809104892767277
sigma_om_3,0.009035076399822043,std(PH_9),0.018935117557210043,0.016367238971492684,0.002567878585717359
sigma_om_4,0.03868520159375621,std(PH_10),0.015683909639453642,0.02653270255632549,-0.010848792916871849
sigma_om_5,0.020578612208637555,std(PH_11),0.026780605293231095,0.018097060402539184,0.00868354489069191
sigma_om_6,0.012493613865721237,std(PH_12),0.014597854455920363,0.011115351293119092,0.0034825031628012704
sigma_om_7,0.01624509455057309,std(L_1),0.025215348716401673,0.01611581610392929,0.009099532612472382
sigma_om_8,0.01393189906906118,std(L_2),0.014639932184480585,0.03203601041320835,-0.017396078228727768
sigma_om_9,0.002785230738449193,std(L_3),0.015173648057538795,0.011454899268039564,0.0037187487894992308
sigma_om_10,0.00974038599244317,std(L_4),0.017010230287348153,0.035293245386589574,-0.01828301509924142
sigma_om_11,0.012774611212567847,std(L_5),0.029131515374445645,0.01776970380945113,0.011361811564994516
sigma_om_12,0.006017608204021737,std(L_6),0.018884581712699723,0.018451578332318013,0.00043300338038171
rho_pvstar,0.6950002620072055,std(L_7),0.014279339751893593,0.01705518894226092,-0.002775849190367328
sigma_pvstar,0.05440363817808442,std(L_8),0.012286204371456708,0.023398490046326353,-0.011112285674869646
rho_zeta,0.6781960440295449,std(L_9),0.018620746655727674,0.02090305900623276,-0.002282312350505085
sigma_zeta,0.0004874708161109469,std(L_10),0.01647871562808028,0.01715171772265371,-0.0006730020945734314
etastar,1.0,std(L_11),0.009246236232916035,0.018587512813235455,-0.00934127658031942
kappaw,1497.9713052922143,std(L_12),0.02783827138656764,0.006361818854872487,0.021476452531695153
lambda_A (TFP scale),0.5595344777942796,std(GDP),0.0148127156930972,0.018639835154666922,-0.003827119461569722
lambda_om (demand scale),1.5719435224399363,std(pi),0.0135107253544962,0.008918012649282867,0.004592712705213333
,NaN,"corr(GDP,pi)",-0.3590224746741133,-0.38339277538604444,0.024370300711931137
,NaN,std(TB/GDP),0.0335056147765148,0.019997879418998558,0.013507735357516242
,NaN,std(Q),0.0428887557486077,0.04003566658633839,0.0028530891622693053
,NaN,autocorr(Q),0.7167583941628564,0.36375147362394095,0.3530069205389154
,NaN,"corr(GDP,Q)",0.0289037003942152,-0.02937551358659681,0.05827921398081201
,NaN,rank corr: output (model vs data),1.0,0.7762237762237763,0.22377622377622375
,NaN,rank corr: prices (model vs data),1.0,0.6083916083916084,0.39160839160839156
,NaN,rank corr: labor  (model vs data),1.0,-0.35664335664335667,1.3566433566433567
,NaN,"corr(Y_1,PH_1)",-0.2515475307484355,-0.40886958861765954,0.15732205786922404
,NaN,"corr(Y_2,PH_2)",-0.16331741328650493,-0.08759226760213344,-0.07572514568437148
,NaN,"corr(Y_3,PH_3)",-0.254050006484288,-0.3958210295028133,0.1417710230185253
,NaN,"corr(Y_4,PH_4)",0.028937486301534178,-0.1966723059242651,0.22560979222579927
,NaN,"corr(Y_5,PH_5)",0.07993160013969375,-0.37742055734222124,0.457352157481915
,NaN,"corr(Y_6,PH_6)",-0.3665991207351419,-0.3997226399392224,0.03312351920408052
,NaN,"corr(Y_7,PH_7)",0.1022857616220652,-0.07315610387723272,0.1754418654992979
,NaN,"corr(Y_8,PH_8)",-0.46083741921001237,-0.23893347844136392,-0.22190394076864844
,NaN,"corr(Y_9,PH_9)",-0.3997245410253328,0.5289662796262915,-0.9286908206516242
,NaN,"corr(Y_10,PH_10)",-0.536777293059107,-0.34986945870074526,-0.18690783435836178
,NaN,"corr(Y_11,PH_11)",-0.7112661088012642,-0.19745129146091217,-0.5138148173403521
,NaN,"corr(Y_12,PH_12)",0.03903402880364255,-0.12484240288815501,0.16387643169179755
,NaN,"corr(N,GDP)",0.6659530668873902,0.5529770958934496,0.11297597099394063
,NaN,"corr(N,GDP/N)",-0.3272611556634201,-0.031892402938318416,-0.2953687527251017
,NaN,std(omG) goods expenditure share,0.008376796119692217,0.009174730717042208,-0.0007979345973499908
,NaN,std(pi_g - pi_s),0.015400636759211923,0.023125504346775252,-0.007724867587563329
,NaN,"corr(pi_g - pi_s, om_g)",0.3758000436442269,0.1436751523270536,0.23212489131717332
,NaN,autocorr(GDP),0.73082110396799,0.3776000757375,0.35322102823049006
,NaN,autocorr(pi),0.0976867153195819,-0.07207688563612016,0.16976360095570206
,NaN,autocorr(Y_1),0.10687011887112151,0.407592421697719,-0.30072230282659745
,NaN,autocorr(Y_2),0.361685373171192,0.43291134223501315,-0.07122596906382117
,NaN,autocorr(Y_3),0.5938307693600892,0.39985361768505057,0.1939771516750386
,NaN,autocorr(Y_4),0.20959379462458555,0.43504933696032333,-0.22545554233573778
,NaN,autocorr(Y_5),0.6305041342029053,0.4048581924727659,0.2256459417301394
,NaN,autocorr(Y_6),0.6595565270498673,0.46950848888278385,0.1900480381670835
,NaN,autocorr(Y_7),0.31064868607674534,0.4404972164262151,-0.12984853034946975
,NaN,autocorr(Y_8),0.8943442822082346,0.45586421120316345,0.43848007100507114
,NaN,autocorr(Y_9),0.5934152228969876,0.31320524284787493,0.28020998004911263
,NaN,autocorr(Y_10),0.8222255199489485,0.4464117771605687,0.37581374278837987
,NaN,autocorr(Y_11),0.5319305891775714,0.4604829366008255,0.0714476525767459
,NaN,autocorr(Y_12),0.7344837364257952,0.4232171847152321,0.3112665517105631
,NaN,"rbar: avg pairwise corr(Y_i,Y_j)",0.1237900904548221,0.38528520392919935,-0.26149511347437726
,NaN,std(L) goods (wtd avg),0.019145412450846465,0.01998976262764514,-0.0008443501767986736
