param,theta,moment,data,model,diff
cl (FGI hiring c),10.500237393604511,std(Y_1),0.028345145414833572,0.02626644517053301,0.0020787002443005617
epsY,0.8,std(Y_2),0.04020199541926607,0.035234684047770894,0.004967311371495177
epsM,0.2,std(Y_3),0.017283352572706294,0.019945303188946155,-0.002661950616239861
log(kappaV),13.815510557964274,std(Y_4),0.05373397707231422,0.04966059828913114,0.0040733787831830764
rho_om,0.9290393982395884,std(Y_5),0.028890735191104227,0.04186518978915713,-0.012974454598052906
rho_A,0.9894102750580355,std(Y_6),0.03136053143561935,0.034554075918077354,-0.0031935444824580037
isigma_tfp_1,0.022443489198188154,std(Y_7),0.02701633898986303,0.028226179993203006,-0.0012098410033399773
isigma_tfp_2,0.030481887125393237,std(Y_8),0.027782764320644783,0.039441578526675625,-0.011658814206030842
isigma_tfp_3,0.014280767081640156,std(Y_9),0.008104667024186052,0.025885696944786773,-0.01778102992060072
isigma_tfp_4,0.037901146112231415,std(Y_10),0.02545527790869288,0.029230010376812488,-0.0037747324681196084
isigma_tfp_5,0.022654442667822308,std(Y_11),0.03661309498421405,0.023371187942962935,0.013241907041251114
isigma_tfp_6,0.025253927947359735,std(Y_12),0.008209067676722047,0.0011175594611195195,0.007091508215602527
isigma_tfp_7,0.015048881475204433,std(PH_1),0.11700676004649013,0.0324785438854904,0.08452821616099973
isigma_tfp_8,0.023853417532410284,std(PH_2),0.13167729769437686,0.14549328740338682,-0.013815989709009963
isigma_tfp_9,0.006027245829997878,std(PH_3),0.050086995917430564,0.017180736551629678,0.03290625936580088
isigma_tfp_10,0.022385098276796654,std(PH_4),0.09363146193513253,0.04377828869018377,0.049853173244948756
isigma_tfp_11,0.02200286281354651,std(PH_5),0.008848832373071639,0.0189653436070267,-0.01011651123395506
isigma_tfp_12,0.00552475164158305,std(PH_6),0.02725461455721624,0.024170188397322368,0.00308442615989387
sigma_om_1,0.016572561669774596,std(PH_7),0.03776535792528393,0.01618174145958331,0.021583616465700624
sigma_om_2,0.025663789476364787,std(PH_8),0.05673710394432723,0.023630586160892114,0.03310651778343512
sigma_om_3,0.009035076399822043,std(PH_9),0.018935117557210043,0.014167899957351314,0.004767217599858729
sigma_om_4,0.03868520159375621,std(PH_10),0.015683909639453642,0.02520787012142385,-0.009523960481970208
sigma_om_5,0.020578612208637555,std(PH_11),0.026780605293231095,0.01583335385359197,0.010947251439639125
sigma_om_6,0.012493613865721237,std(PH_12),0.014597854455920363,0.011336158291132523,0.0032616961647878393
sigma_om_7,0.01624509455057309,std(L_1),0.025215348716401673,0.016340283295141315,0.008875065421260358
sigma_om_8,0.01393189906906118,std(L_2),0.014639932184480585,0.033725488549468274,-0.01908555636498769
sigma_om_9,0.002785230738449193,std(L_3),0.015173648057538795,0.011810278301747771,0.0033633697557910232
sigma_om_10,0.00974038599244317,std(L_4),0.017010230287348153,0.035612759945922,-0.018602529658573848
sigma_om_11,0.012774611212567847,std(L_5),0.029131515374445645,0.02351027380898781,0.005621241565457836
sigma_om_12,0.006017608204021737,std(L_6),0.018884581712699723,0.017273048140698757,0.0016115335720009658
rho_pvstar,0.6950002620072055,std(L_7),0.014279339751893593,0.018184719799952835,-0.0039053800480592423
sigma_pvstar,0.05440363817808442,std(L_8),0.012286204371456708,0.025971660138538154,-0.013685455767081446
rho_zeta,0.5425958092634567,std(L_9),0.018620746655727674,0.022389690858974742,-0.0037689442032470682
sigma_zeta,0.0013562414622482252,std(L_10),0.01647871562808028,0.022651548296144484,-0.006172832668064204
etastar,1.0,std(L_11),0.009246236232916035,0.02158892180374154,-0.012342685570825504
kappaw,1431.1261634666653,std(L_12),0.02783827138656764,0.006478010690915933,0.02136026069565171
lambda_A (TFP scale),0.7195996699877582,std(GDP),0.014812715693097228,0.020243372416220304,-0.005430656723123076
lambda_om (demand scale),1.9647438460749784,std(pi),0.013510725354496243,0.007694139540791814,0.0058165858137044285
,NaN,"corr(GDP,pi)",-0.35902247467411336,-0.3653753958252025,0.0063529211510891526
,NaN,std(TB/GDP),0.03350561477651488,0.020192449652954275,0.013313165123560608
,NaN,std(Q),0.04288875574860771,0.03958377028872623,0.0033049854598814835
,NaN,autocorr(Q),0.7167583941628564,0.41282839929469717,0.3039299948681592
,NaN,"corr(GDP,Q)",0.028903700394215283,-0.07165585254131764,0.10055955293553293
,NaN,rank corr: output (model vs data),1.0,0.6363636363636364,0.36363636363636365
,NaN,rank corr: prices (model vs data),1.0,0.6573426573426573,0.3426573426573427
,NaN,rank corr: labor  (model vs data),1.0,-0.2727272727272727,1.2727272727272727
,NaN,"corr(Y_1,PH_1)",-0.2515475307484355,-0.49036355289694866,0.23881602214851316
,NaN,"corr(Y_2,PH_2)",-0.16331741328650493,-0.10537082554766906,-0.05794658773883586
,NaN,"corr(Y_3,PH_3)",-0.254050006484288,-0.42793596164240816,0.17388595515812016
,NaN,"corr(Y_4,PH_4)",0.028937486301534178,-0.14058154195105466,0.16951902825258883
,NaN,"corr(Y_5,PH_5)",0.07993160013969375,-0.2090506432445169,0.28898224338421064
,NaN,"corr(Y_6,PH_6)",-0.3665991207351419,-0.41295118599638375,0.04635206526124186
,NaN,"corr(Y_7,PH_7)",0.1022857616220652,-0.07228500443078219,0.17457076605284738
,NaN,"corr(Y_8,PH_8)",-0.46083741921001237,-0.11086705970709426,-0.3499703595029181
,NaN,"corr(Y_9,PH_9)",-0.3997245410253328,0.32038834423224083,-0.7201128852575736
,NaN,"corr(Y_10,PH_10)",-0.536777293059107,-0.14794801887353554,-0.3888292741855715
,NaN,"corr(Y_11,PH_11)",-0.7112661088012642,-0.13248108223409044,-0.5787850265671737
,NaN,"corr(Y_12,PH_12)",0.03903402880364255,-0.3264515250041728,0.36548555380781533
,NaN,"corr(N,GDP)",0.6659530668873902,0.5085158447795257,0.15743722210786448
,NaN,"corr(N,GDP/N)",-0.3272611556634201,-0.07507608537584043,-0.2521850702875797
,NaN,std(omG) goods expenditure share,0.01718399863771128,0.009174730717038955,0.008009267920672324
,NaN,std(pi_g - pi_s),0.015400636759211923,0.022555761082022025,-0.007155124322810102
,NaN,"corr(pi_g - pi_s, om_g)",0.3758000436442269,0.07476140543199114,0.30103863821223575
,NaN,autocorr(GDP),0.73082110396799,0.39386088036204103,0.336960223605949
,NaN,autocorr(pi),0.09768671531958191,-0.06874644357208333,0.16643315889166524
,NaN,autocorr(Y_1),0.10687011887112151,0.49202046547061545,-0.38515034659949393
,NaN,autocorr(Y_2),0.361685373171192,0.43280572257410654,-0.07112034940291456
,NaN,autocorr(Y_3),0.5938307693600892,0.5027728838765442,0.09105788548354499
,NaN,autocorr(Y_4),0.20959379462458555,0.40858925047757444,-0.1989954558529889
,NaN,autocorr(Y_5),0.6305041342029053,0.2666635225730649,0.3638406116298404
,NaN,autocorr(Y_6),0.6595565270498673,0.4525953410580439,0.20696118599182345
,NaN,autocorr(Y_7),0.31064868607674534,0.33614884121259897,-0.02550015513585363
,NaN,autocorr(Y_8),0.8943442822082346,0.338923249547529,0.5554210326607056
,NaN,autocorr(Y_9),0.5934152228969876,0.3005775886807263,0.29283763421626124
,NaN,autocorr(Y_10),0.8222255199489485,0.2696434677230618,0.5525820522258867
,NaN,autocorr(Y_11),0.5319305891775714,0.42478347425352597,0.10714711492404544
,NaN,autocorr(Y_12),0.7344837364257952,0.30437745301213737,0.43010628341365786
,NaN,"rbar: avg pairwise corr(Y_i,Y_j)",0.12379009045482216,0.41312657224821725,-0.2893364817933951
,NaN,std(L) goods (wtd avg),0.019145412450846465,0.02165167967928756,-0.0025062672284410954
,NaN,std(L) services (wtd avg),0.015411306554937346,0.01993902908712368,-0.004527722532186335
,NaN,std(C)/std(GDP),1.344918915226074,1.3664713844065255,-0.021552469180451395
,NaN,std(I)/std(GDP),1.9860360153701562,1.878645921024979,0.1073900943451771
,NaN,"corr(C,GDP)",0.8256946353623745,0.9016278523700572,-0.07593321700768263
,NaN,"corr(I,GDP)",0.7629626854275847,0.6096147601416623,0.15334792528592245
