param,theta,moment,data,model,diff
cl (FGI hiring c),13.588028711880684,std(Y_1),0.028345145414833572,0.02992598319436812,-0.0015808377795345462
epsY,0.8,std(Y_2),0.04020199541926607,0.041485662012210066,-0.0012836665929439953
epsM,0.2,std(Y_3),0.017283352572706294,0.022146035234215725,-0.004862682661509431
log(kappaV),13.815510557964274,std(Y_4),0.05373397707231422,0.0568939346965899,-0.0031599576242756777
rho_om,0.00033015768766093945,std(Y_5),0.028890735191104227,0.045180127867049266,-0.01628939267594504
rho_A,0.9841050008526885,std(Y_6),0.03136053143561935,0.03797136077761386,-0.006610829341994508
isigma_tfp_1,0.022443489198188154,std(Y_7),0.02701633898986303,0.03007375724046332,-0.0030574182506002898
isigma_tfp_2,0.030481887125393237,std(Y_8),0.027782764320644783,0.04362729024504318,-0.015844525924398396
isigma_tfp_3,0.014280767081640156,std(Y_9),0.008104667024186052,0.027359421174495663,-0.01925475415030961
isigma_tfp_4,0.037901146112231415,std(Y_10),0.02545527790869288,0.03173079849991491,-0.006275520591222033
isigma_tfp_5,0.022654442667822308,std(Y_11),0.03661309498421405,0.024233656328410787,0.012379438655803262
isigma_tfp_6,0.025253927947359735,std(Y_12),0.008209067676722047,0.001226143835266722,0.006982923841455325
isigma_tfp_7,0.015048881475204433,std(PH_1),0.11700676004649013,0.03805917192975596,0.07894758811673416
isigma_tfp_8,0.023853417532410284,std(PH_2),0.13167729769437686,0.14608251989263873,-0.014405222198261874
isigma_tfp_9,0.006027245829997878,std(PH_3),0.050086995917430564,0.02004995647333802,0.030037039444092545
isigma_tfp_10,0.022385098276796654,std(PH_4),0.09363146193513253,0.049681736541843435,0.04394972539328909
isigma_tfp_11,0.02200286281354651,std(PH_5),0.008848832373071639,0.0218019663976344,-0.012953134024562761
isigma_tfp_12,0.00552475164158305,std(PH_6),0.02725461455721624,0.027901102842542103,-0.0006464882853258642
sigma_om_1,0.016572561669774596,std(PH_7),0.03776535792528393,0.018149380196208202,0.01961597772907573
sigma_om_2,0.025663789476364787,std(PH_8),0.05673710394432723,0.027241482660766172,0.02949562128356106
sigma_om_3,0.009035076399822043,std(PH_9),0.018935117557210043,0.014400867349260695,0.004534250207949349
sigma_om_4,0.03868520159375621,std(PH_10),0.015683909639453642,0.029665808453053968,-0.013981898813600326
sigma_om_5,0.020578612208637555,std(PH_11),0.026780605293231095,0.017373074747400668,0.009407530545830427
sigma_om_6,0.012493613865721237,std(PH_12),0.014597854455920363,0.011539619070547954,0.0030582353853724088
sigma_om_7,0.01624509455057309,std(L_1),0.025215348716401673,0.015621658514346631,0.009593690202055041
sigma_om_8,0.01393189906906118,std(L_2),0.014639932184480585,0.036866018143239865,-0.02222608595875928
sigma_om_9,0.002785230738449193,std(L_3),0.015173648057538795,0.01169491642785758,0.003478731629681214
sigma_om_10,0.00974038599244317,std(L_4),0.017010230287348153,0.0251850289022227,-0.008174798614874548
sigma_om_11,0.012774611212567847,std(L_5),0.029131515374445645,0.023215917625423254,0.005915597749022391
