param,theta,moment,data,model,diff
cl (FGI hiring c),4.789605093652733,std(Y_1),0.028345145414833572,0.01576874067107447,0.012576404743759102
epsY,0.8,std(Y_2),0.04020199541926607,0.026160347237101585,0.014041648182164485
epsM,0.2,std(Y_3),0.017283352572706294,0.01917643895293053,-0.0018930863802242362
log(kappaV),13.815510557964274,std(Y_4),0.05373397707231422,0.022621411419892035,0.031112565652422184
rho_om,0.058517103479587065,std(Y_5),0.028890735191104227,0.04476679519428384,-0.01587606000317961
lambda_rho (persist. scale),1.9999856180400595,std(Y_6),0.03136053143561935,0.031138139903077785,0.00022239153254156527
isigma_tfp_1,0.022443489198188154,std(Y_7),0.02701633898986303,0.024944570871893196,0.0020717681179698334
isigma_tfp_2,0.030481887125393237,std(Y_8),0.027782764320644783,0.032252877327992334,-0.004470113007347551
isigma_tfp_3,0.014280767081640156,std(Y_9),0.008104667024186052,0.02501375838622889,-0.016909091362042838
isigma_tfp_4,0.037901146112231415,std(Y_10),0.02545527790869288,0.03223392494122652,-0.006778647032533638
isigma_tfp_5,0.022654442667822308,std(Y_11),0.03661309498421405,0.015964855319903087,0.020648239664310963
isigma_tfp_6,0.025253927947359735,std(Y_12),0.008209067676722047,0.0012406143924699631,0.006968453284252084
isigma_tfp_7,0.015048881475204433,std(PH_1),0.11700676004649013,0.01401840945557403,0.1029883505909161
isigma_tfp_8,0.023853417532410284,std(PH_2),0.13167729769437686,0.14477091079324053,-0.013093613098863671
isigma_tfp_9,0.006027245829997878,std(PH_3),0.050086995917430564,0.015054006911652474,0.03503298900577809
isigma_tfp_10,0.022385098276796654,std(PH_4),0.09363146193513253,0.014421597880466801,0.07920986405466572
isigma_tfp_11,0.02200286281354651,std(PH_5),0.008848832373071639,0.017050292573442063,-0.008201460200370424
isigma_tfp_12,0.00552475164158305,std(PH_6),0.02725461455721624,0.021617112195115522,0.0056375023621007166
sigma_om_1,0.016572561669774596,std(PH_7),0.03776535792528393,0.008895533304373959,0.02886982462090997
sigma_om_2,0.025663789476364787,std(PH_8),0.05673710394432723,0.02079302909966631,0.03594407484466092
sigma_om_3,0.009035076399822043,std(PH_9),0.018935117557210043,0.012511299933218884,0.006423817623991159
sigma_om_4,0.03868520159375621,std(PH_10),0.015683909639453642,0.021905844755162242,-0.0062219351157086
sigma_om_5,0.020578612208637555,std(PH_11),0.026780605293231095,0.010496983630889339,0.016283621662341756
sigma_om_6,0.012493613865721237,std(PH_12),0.014597854455920363,0.011366726042341015,0.0032311284135793476
sigma_om_7,0.01624509455057309,std(L_1),0.025215348716401673,0.014143433151607071,0.011071915564794602
sigma_om_8,0.01393189906906118,std(L_2),0.014639932184480585,0.02329647822955129,-0.008656546045070705
sigma_om_9,0.002785230738449193,std(L_3),0.015173648057538795,0.012904772992687222,0.002268875064851572
sigma_om_10,0.00974038599244317,std(L_4),0.017010230287348153,0.02054884757193139,-0.0035386172845832363
sigma_om_11,0.012774611212567847,std(L_5),0.029131515374445645,0.029557635885561786,-0.00042612051111614105
sigma_om_12,0.006017608204021737,std(L_6),0.018884581712699723,0.01686277267337492,0.0020218090393248032
rho_pvstar,0.6950002620072055,std(L_7),0.014279339751893593,0.019041760505164658,-0.004762420753271065
