param,theta,moment,data,model,diff
cl (FGI hiring c),5.4724849253772305,std(Y_1),0.028345145414833572,0.01776395168678218,0.010581193728051393
epsY,0.8,std(Y_2),0.04020199541926607,0.03075022400653842,0.009451771412727652
epsM,0.2,std(Y_3),0.017283352572706294,0.017412740263536775,-0.00012938769083048127
log(kappaV),13.815510557964274,std(Y_4),0.05373397707231422,0.031960393257057615,0.021773583815256604
rho_om,0.9120994488611053,std(Y_5),0.028890735191104227,0.042031871603244356,-0.013141136412140129
lambda_rho (persist. scale),5.999472152481418,std(Y_6),0.03136053143561935,0.030407030558908737,0.0009535008767106133
isigma_tfp_1,0.022443489198188154,std(Y_7),0.02701633898986303,0.02435608492506181,0.0026602540648012207
isigma_tfp_2,0.030481887125393237,std(Y_8),0.027782764320644783,0.03312742112363419,-0.005344656802989407
isigma_tfp_3,0.014280767081640156,std(Y_9),0.008104667024186052,0.02366314209135499,-0.01555847506716894
isigma_tfp_4,0.037901146112231415,std(Y_10),0.02545527790869288,0.030366899451220095,-0.0049116215425272156
isigma_tfp_5,0.022654442667822308,std(Y_11),0.03661309498421405,0.01699538055707481,0.01961771442713924
isigma_tfp_6,0.025253927947359735,std(Y_12),0.008209067676722047,0.0011977316667016184,0.007011336010020429
isigma_tfp_7,0.015048881475204433,std(PH_1),0.11700676004649013,0.021810152127134722,0.09519660791935541
isigma_tfp_8,0.023853417532410284,std(PH_2),0.13167729769437686,0.14494724234208137,-0.013269944647704507
isigma_tfp_9,0.006027245829997878,std(PH_3),0.050086995917430564,0.015114400459077765,0.034972595458352795
isigma_tfp_10,0.022385098276796654,std(PH_4),0.09363146193513253,0.027243792272686532,0.066387669662446
isigma_tfp_11,0.02200286281354651,std(PH_5),0.008848832373071639,0.01497545473678795,-0.0061266223637163105
isigma_tfp_12,0.00552475164158305,std(PH_6),0.02725461455721624,0.022236142381646593,0.005018472175569645
sigma_om_1,0.016572561669774596,std(PH_7),0.03776535792528393,0.011465549153405571,0.02629980877187836
sigma_om_2,0.025663789476364787,std(PH_8),0.05673710394432723,0.021883767403966446,0.03485333654036078
sigma_om_3,0.009035076399822043,std(PH_9),0.018935117557210043,0.012422966178223367,0.006512151378986676
sigma_om_4,0.03868520159375621,std(PH_10),0.015683909639453642,0.022631816793154055,-0.006947907153700413
sigma_om_5,0.020578612208637555,std(PH_11),0.026780605293231095,0.011355846119986262,0.015424759173244833
sigma_om_6,0.012493613865721237,std(PH_12),0.014597854455920363,0.011445344124076306,0.0031525103318440564
sigma_om_7,0.01624509455057309,std(L_1),0.025215348716401673,0.014387488020008573,0.0108278606963931
sigma_om_8,0.01393189906906118,std(L_2),0.014639932184480585,0.02952372972147747,-0.014883797536996885
sigma_om_9,0.002785230738449193,std(L_3),0.015173648057538795,0.01187380959188492,0.0032998384656538742
sigma_om_10,0.00974038599244317,std(L_4),0.017010230287348153,0.02935957126125738,-0.012349340973909228
sigma_om_11,0.012774611212567847,std(L_5),0.029131515374445645,0.029867738140194854,-0.0007362227657492088
sigma_om_12,0.006017608204021737,std(L_6),0.018884581712699723,0.017483415506767203,0.0014011662059325199
rho_pvstar,0.6950002620072055,std(L_7),0.014279339751893593,0.019172252915137324,-0.0048929131632437315
sigma_pvstar,0.05440363817808442,std(L_8),0.012286204371456708,0.026230375297931808,-0.0139441709264751
rho_zeta,0.5109529691559824,std(L_9),0.018620746655727674,0.024504523716260287,-0.005883777060532613
sigma_zeta,0.00010672804264583024,std(L_10),0.01647871562808028,0.0274109691601828,-0.010932253532102521
etastar,1.0,std(L_11),0.009246236232916035,0.022430641016440496,-0.01318440478352446
kappaw,1499.9640718454839,std(L_12),0.02783827138656764,0.006821869719464287,0.021016401667103352
lambda_A (TFP scale),0.7074615214635551,std(GDP),0.014812715693097228,0.01810427570305734,-0.0032915600099601133
lambda_om (demand scale),1.0729676054274029,std(pi),0.013510725354496243,0.007802967765005834,0.005707757589490409
,NaN,"corr(GDP,pi)",-0.35902247467411336,-0.3749011283839112,0.015878653709797852
,NaN,std(TB/GDP),0.03350561477651488,0.020533972980597934,0.01297164179591695
,NaN,std(Q),0.04288875574860771,0.03596147803347529,0.006927277715132421
,NaN,autocorr(Q),0.7167583941628564,0.39622834022843834,0.320530053934418
,NaN,"corr(GDP,Q)",0.028903700394215283,-0.09633309725032009,0.12523679764453538
,NaN,rank corr: output (model vs data),1.0,0.4755244755244755,0.5244755244755245
,NaN,rank corr: prices (model vs data),1.0,0.5524475524475524,0.4475524475524476
,NaN,rank corr: labor  (model vs data),1.0,-0.1048951048951049,1.104895104895105
,NaN,"corr(Y_1,PH_1)",-0.2515475307484355,-0.2747325517665314,0.023185021018095886
,NaN,"corr(Y_2,PH_2)",-0.16331741328650493,-0.04250135621664281,-0.12081605706986212
,NaN,"corr(Y_3,PH_3)",-0.254050006484288,-0.4318182356732452,0.17776822918895718
,NaN,"corr(Y_4,PH_4)",0.028937486301534178,-0.07372214769230623,0.1026596339938404
,NaN,"corr(Y_5,PH_5)",0.07993160013969375,-0.1352194876502818,0.21515108778997555
,NaN,"corr(Y_6,PH_6)",-0.3665991207351419,-0.4675095048928885,0.10091038415774661
,NaN,"corr(Y_7,PH_7)",0.1022857616220652,0.003755096397640634,0.09853066522442457
,NaN,"corr(Y_8,PH_8)",-0.46083741921001237,-0.25485419858449787,-0.2059832206255145
,NaN,"corr(Y_9,PH_9)",-0.3997245410253328,0.2627881739303295,-0.6625127149556622
,NaN,"corr(Y_10,PH_10)",-0.536777293059107,-0.1567701418969224,-0.38000715116218464
,NaN,"corr(Y_11,PH_11)",-0.7112661088012642,-0.02366750493648206,-0.6875986038647821
,NaN,"corr(Y_12,PH_12)",0.03903402880364255,-0.3969062269106107,0.43594025571425327
,NaN,"corr(N,GDP)",0.6659530668873902,0.43646899877613615,0.22948406811125405
,NaN,"corr(N,GDP/N)",-0.3272611556634201,-0.3927588872412043,0.06549773157778416
,NaN,std(omG) goods expenditure share,0.01718399863771128,0.009174730717039323,0.008009267920671956
,NaN,std(pi_g - pi_s),0.015400636759211923,0.02186883119313971,-0.006468194433927788
,NaN,"corr(pi_g - pi_s, om_g)",0.3758000436442269,0.07073506829590963,0.3050649753483173
,NaN,autocorr(GDP),0.73082110396799,0.3550816039300386,0.3757395000379514
,NaN,autocorr(pi),0.09768671531958191,-0.061035866460938684,0.1587225817805206
,NaN,autocorr(Y_1),0.10687011887112151,0.36596124729707497,-0.25909112842595344
,NaN,autocorr(Y_2),0.361685373171192,0.3213321089117187,0.040353264259473276
,NaN,autocorr(Y_3),0.5938307693600892,0.43829057968375207,0.1555401896763371
,NaN,autocorr(Y_4),0.20959379462458555,0.33320956850036987,-0.12361577387578432
,NaN,autocorr(Y_5),0.6305041342029053,0.18497787766336138,0.4455262565395439
,NaN,autocorr(Y_6),0.6595565270498673,0.41969687782161264,0.2398596492282547
,NaN,autocorr(Y_7),0.31064868607674534,0.22638237018613186,0.08426631589061348
,NaN,autocorr(Y_8),0.8943442822082346,0.31723840487488364,0.577105877333351
,NaN,autocorr(Y_9),0.5934152228969876,0.2674557704878793,0.3259594524091083
,NaN,autocorr(Y_10),0.8222255199489485,0.19525936828947094,0.6269661516594776
,NaN,autocorr(Y_11),0.5319305891775714,0.3598250448733827,0.17210554430418873
,NaN,autocorr(Y_12),0.7344837364257952,0.2667710896422618,0.4677126467835334
,NaN,"rbar: avg pairwise corr(Y_i,Y_j)",0.12379009045482216,0.4739186973060049,-0.35012860685118274
,NaN,std(L) goods (wtd avg),0.019145412450846465,0.02113825863090088,-0.0019928461800544153
,NaN,std(L) services (wtd avg),0.015411306554937346,0.021344580372765105,-0.00593327381782776
,NaN,std(C)/std(GDP),1.344918915226074,1.356851967984804,-0.0119330527587298
,NaN,std(I)/std(GDP),1.9860360153701562,2.124888853420518,-0.13885283805036197
,NaN,"corr(C,GDP)",0.8256946353623745,0.8860864334404315,-0.060391798078056946
,NaN,"corr(I,GDP)",0.7629626854275847,0.5473171669038098,0.2156455185237749
