param,theta,moment,data,model,diff
cl (FGI hiring c),16.35741823298772,std(Y_1),0.028345145414833572,0.030232220616230047,-0.0018870752013964744
epsY,0.8,std(Y_2),0.04020199541926607,0.042802210736308105,-0.0026002153170420345
epsM,0.2,std(Y_3),0.017283352572706294,0.022717137121450362,-0.005433784548744068
log(kappaV),13.815510557964274,std(Y_4),0.05373397707231422,0.0543192153807556,-0.0005852383084413784
rho_om,0.8051718566765339,std(Y_5),0.028890735191104227,0.04489369390598325,-0.016002958714879025
rho_A,0.982979550638438,std(Y_6),0.03136053143561935,0.03767762070964729,-0.006317089274027937
isigma_tfp_1,0.022443489198188154,std(Y_7),0.02701633898986303,0.02962890898959805,-0.002612569999735019
isigma_tfp_2,0.030481887125393237,std(Y_8),0.027782764320644783,0.041718217073846355,-0.013935452753201572
isigma_tfp_3,0.014280767081640156,std(Y_9),0.008104667024186052,0.026490538743363035,-0.018385871719176983
isigma_tfp_4,0.037901146112231415,std(Y_10),0.02545527790869288,0.031615151073954795,-0.006159873165261915
isigma_tfp_5,0.022654442667822308,std(Y_11),0.03661309498421405,0.02429894222909922,0.01231415275511483
isigma_tfp_6,0.025253927947359735,std(Y_12),0.008209067676722047,0.0012680879439059824,0.006940979732816065
isigma_tfp_7,0.015048881475204433,std(PH_1),0.11700676004649013,0.03956326708257632,0.07744349296391381
isigma_tfp_8,0.023853417532410284,std(PH_2),0.13167729769437686,0.14618698179214515,-0.014509684097768288
isigma_tfp_9,0.006027245829997878,std(PH_3),0.050086995917430564,0.02077141297912535,0.029315582938305215
isigma_tfp_10,0.022385098276796654,std(PH_4),0.09363146193513253,0.05261335455462263,0.0410181073805099
isigma_tfp_11,0.02200286281354651,std(PH_5),0.008848832373071639,0.02252297649669256,-0.01367414412362092
isigma_tfp_12,0.00552475164158305,std(PH_6),0.02725461455721624,0.029181766377381516,-0.001927151820165278
sigma_om_1,0.016572561669774596,std(PH_7),0.03776535792528393,0.019050982068294236,0.018714375856989696
sigma_om_2,0.025663789476364787,std(PH_8),0.05673710394432723,0.028572256420229935,0.028164847524097297
