variable,ss_value
chi,1.0
xi,1.0
Lab_costs,0.0
Price_costs,0.0
w,0.6552110657256215
VA,1.657931934566211
C,0.8334759821096444
Ctot,0.8543002762166908
Ctotg,0.40763973708571655
Ctots,0.4466605391309743
M,1.4524966088155715
C_g,0.40314163898496147
C_s,0.4455424987441095
p_g,1.1784476319505646
p_s,0.80440064262643
N,0.9431810023297478
pi,1.0000000000000002
pi_g,1.0000000000000002
pi_s,1.0000000000000002
r,1.014198782961461
om_g,-0.5621189181535413
om_s,-0.8439700702945289
vi,0.0
Y,3.1103971169394753
PV,0.5214224091828202
r_star,1.0141987829614605
Rworld,1.0141987829614605
pi_e,1.0000000000000002
Bstar,2.640136443269169
Pipstar,1.0
Q,0.5214224091828202
TB,0.0195464181211876
PX,0.7601548364594467
X,0.8282160106897316
Ystar,1.0
V,0.7713043055943298
PVstar,1.0
GDP,0.853022400230832
IMP,1.169926679971045
mkupV,1.0
CFs,0.007811261111774014
CFg,0.3908111132649413
POstar,1.0
PO,0.5214224091828202
VOil,0.1270041425894582
VNon,0.6443001630048717
PH_1,0.7735699994273392
PH_2,0.7823255843025703
PH_3,0.7301097024560602
PH_4,0.7147457151347043
PH_5,0.7619755627928712
PH_6,0.7700964005989782
PH_7,0.7489624033496945
PH_8,0.7734456959956745
PH_9,0.8285805235118268
PH_10,0.7611483185379531
PH_11,0.7450924067789851
PH_12,0.7379174703760122
P_1,0.9538476398492057
P_2,0.7869714075164121
P_3,1.2388480432167108
P_4,0.7147460486947421
P_5,0.7619755627928502
P_6,0.7829887861587117
P_7,0.9078669583260986
P_8,0.773445695995648
P_9,0.8285805235117909
P_10,0.776457265225117
P_11,0.745219992077928
P_12,0.7379174703760107
L_1,0.03977547879450983
L_2,0.02710648800547026
L_3,0.095159319559577
L_4,0.025189074892348742
L_5,0.06524231791190419
L_6,0.054863897787914784
L_7,0.09529285733472392
L_8,0.0911943477971742
L_9,0.032573778132719305
L_10,0.21358443163847435
L_11,0.14967494772996148
L_12,0.05352406274496981
M_1,0.12473680169161107
M_2,0.0998969373948694
M_3,0.3598488962325371
M_4,0.0674085647303805
M_5,0.10836444389020175
M_6,0.06754575515153524
M_7,0.14263523393588023
M_8,0.11220228430691402
M_9,0.17535002306199324
M_10,0.13362705027095811
M_11,0.04771847578993705
M_12,0.01313071591644687
Y_1,0.20166053240622714
Y_2,0.1529556243167458
Y_3,0.784781226421987
Y_4,0.17763514504701042
Y_5,0.20983410091644503
Y_6,0.14148346232564335
Y_7,0.3186480268958793
Y_8,0.24081335749442934
Y_9,0.21318008823868403
Y_10,0.383701788917861
Y_11,0.21258364260529655
Y_12,0.07312012135326632
PM_1,0.747285954418556
PM_2,0.7517451982469684
PM_3,0.7498116963405895
PM_4,0.7524078423427752
PM_5,0.7438727366656196
PM_6,0.7566794516932807
PM_7,0.74986072074807
PM_8,0.7683465839513363
PM_9,0.765723870266377
PM_10,0.7603974014690039
PM_11,0.7491985427757786
PM_12,0.7489762658700819
PL_1,0.6552110657256215
PL_2,0.6552110657256215
PL_3,0.6552110657256215
PL_4,0.6552110657256215
PL_5,0.6552110657256215
PL_6,0.6552110657256215
PL_7,0.6552110657256215
PL_8,0.6552110657256215
PL_9,0.6552110657256215
PL_10,0.6552110657256215
PL_11,0.6552110657256215
PL_12,0.6552110657256215
MC_1,0.6962129994846052
MC_2,0.7040930258723133
MC_3,0.6570987322104542
MC_4,0.6432711436212339
MC_5,0.685778006513584
MC_6,0.6930867605390805
MC_7,0.6740661630147251
MC_8,0.696101126396107
MC_9,0.745722471160644
MC_10,0.6850334866841578
MC_11,0.6705831661010866
MC_12,0.6641257233384109
A_1,0.0
A_2,0.0
A_3,0.0
A_4,0.0
A_5,0.0
A_6,0.0
A_7,0.0
A_8,0.0
A_9,0.0
A_10,0.0
A_11,0.0
A_12,0.0
V_1,0.04051089868457157
V_2,0.02845576674064654
V_3,0.3519419097067388
V_4,0.09022372020100929
V_5,0.03939755365313862
V_6,0.021100736116468004
V_7,0.08706253914079226
V_8,0.04155682869473626
V_9,0.006445415365798614
V_10,0.040842182971146175
V_11,0.016753628969218008
V_12,0.007013125350065835
CHg_1,0.04228406946259273
CFg_1,0.0041977513546503885
CHs_1,0.0
CFs_1,0.0
Cg_1,0.03658706879011914
Cs_1,0.0
CHg_2,1.1566374161524515e-8
CFg_2,1.3272213354469226e-11
CHs_2,0.0
CFs_2,0.0
Cg_2,1.1506886739656343e-8
Cs_2,0.0
CHg_3,0.2903775933814647
CFg_3,0.3866133605755347
CHs_3,0.0
CFs_3,0.0
Cg_3,0.3338556092184581
Cs_3,0.0
CHg_4,0.03719705208108594
CFg_4,1.3214840392613272e-9
CHs_4,0.0
CFs_4,0.0
Cg_4,0.03719703568589393
Cs_4,0.0
CHg_5,1.1884358627523182e-8
CFg_5,0.0
CHs_5,0.0
CFs_5,0.0
Cg_5,1.188435862752351e-8
Cs_5,0.0
CHg_6,0.0
CFg_6,0.0
CHs_6,0.05574368875584061
CFs_6,0.00020842806477138818
Cg_6,0.0
Cs_6,0.05496463537082315
CHg_7,0.0
CFg_7,0.0
CHs_7,0.09006867771187226
CFs_7,0.0075007260002685865
Cg_7,0.0
Cs_7,0.07861184867756578
CHg_8,0.0
CFg_8,0.0
CHs_8,0.056277005686956746
CFs_8,0.0
Cg_8,0.0
Cs_8,0.05627700568695867
CHg_9,0.0
CFg_9,0.0
CHs_9,0.10107933468130355
CFs_9,0.0
Cg_9,0.0
Cs_9,0.10107933468130793
CHg_10,0.0
CFg_10,0.0
CHs_10,0.02171305526380643
CFs_10,9.932701074276347e-5
Cg_10,0.0
Cs_10,0.021351653949428513
CHg_11,0.0
CFg_11,0.0
CHs_11,0.13315481791232264
CFs_11,2.780035991276606e-6
Cg_11,0.0
Cs_11,0.1331339663190347
CHg_12,0.0
CFg_12,0.0
CHs_12,0.0012420944458556335
CFs_12,0.0
Cg_12,0.0
Cs_12,0.001242094445855636
PIV_1,0.5214224091828205
VOil_1,0.0066235319349274525
VNon_1,0.03388736674964413
PIV_2,0.5214224091828202
VOil_2,0.006157827922675911
VNon_2,0.02229793881797063
PIV_3,0.5214224091828202
VOil_3,0.06651702093457362
VNon_3,0.2854248887721651
PIV_4,0.5214224091828202
VOil_4,0.007858486029507906
VNon_4,0.08236523417150138
PIV_5,0.5214224091828205
VOil_5,0.0016428779873358809
VNon_5,0.03775467566580275
PIV_6,0.5214224091828202
VOil_6,0.001673288374035913
VNon_6,0.019427447742432092
PIV_7,0.5214224091828205
VOil_7,0.032509152115171844
VNon_7,0.054553387025620445
PIV_8,0.5214224091828202
VOil_8,0.0001786943633873659
VNon_8,0.04137813433134889
PIV_9,0.5214224091828202
VOil_9,0.0002893991499243577
VNon_9,0.006156016215874255
PIV_10,0.5214224091828202
VOil_10,0.002585310182073553
VNon_10,0.03825687278907262
PIV_11,0.5214224091828202
VOil_11,0.000655066892696424
VNon_11,0.016098562076521584
PIV_12,0.5214224091828202
VOil_12,0.0003134867031479428
VNon_12,0.0066996386469178925
C_f,0.8334759821096444
C_g_f,0.40314163898496147
C_s_f,0.4455424987441095
CFs_f,0.007811261111774014
CFg_f,0.3908111132649413
PV_f,0.5214224091828203
p_g_f,1.1784476319505646
p_s_f,0.80440064262643
r_f,1.0141987829614605
N_f,0.9431810023297478
Lab_costs_f,0.0
w_f,0.6552110657256215
Y_f,3.1103971169394753
Ctot_f,0.8543002762166908
Ctots_f,0.4466605391309743
Ctotg_f,0.40763973708571655
VA_f,1.657931934566211
GDP_f,0.8530224002308319
TB_f,0.019546418121187598
M_f,1.4524966088155715
r_star_f,1.0141987829614605
pi_e_f,1.0
Q_f,0.5214224091828203
Bstar_f,2.6401364432691685
PX_f,0.7601548364594467
X_f,0.8282160106897316
IMP_f,1.169926679971045
V_f,0.7713043055943298
Y_g_f,1.5268666291084154
Y_s_f,1.5835304878310599
PO_f,0.5214224091828203
VOil_f,0.12700414258945816
VNon_f,0.6443001630048717
P_f_1,0.9538476398492057
PM_f_1,0.747285954418556
PH_f_1,0.7735699994273392
Cg_f_1,0.03658706879011914
Cs_f_1,0.0
CHg_f_1,0.04228406946259273
CFg_f_1,0.0041977513546503885
CHs_f_1,0.0
CFs_f_1,0.0
L_f_1,0.03977547879450983
Y_f_1,0.2016605324062271
M_f_1,0.12473680169161107
V_f_1,0.04051089868457157
MC_f_1,0.6962129994846052
PL_f_1,0.6552110657256215
PIV_f_1,0.5214224091828205
VOil_f_1,0.0066235319349274525
VNon_f_1,0.03388736674964413
P_f_2,0.7869714075164121
PM_f_2,0.7517451982469684
PH_f_2,0.7823255843025703
Cg_f_2,1.1506886739656343e-8
Cs_f_2,0.0
CHg_f_2,1.1566374161524515e-8
CFg_f_2,1.3272213354469226e-11
CHs_f_2,0.0
CFs_f_2,0.0
L_f_2,0.02710648800547026
Y_f_2,0.1529556243167458
M_f_2,0.0998969373948694
V_f_2,0.02845576674064654
MC_f_2,0.7040930258723133
PL_f_2,0.6552110657256215
PIV_f_2,0.5214224091828203
VOil_f_2,0.006157827922675912
VNon_f_2,0.02229793881797063
P_f_3,1.2388480432167108
PM_f_3,0.7498116963405895
PH_f_3,0.7301097024560602
Cg_f_3,0.3338556092184581
Cs_f_3,0.0
CHg_f_3,0.2903775933814647
CFg_f_3,0.38661336057553464
CHs_f_3,0.0
CFs_f_3,0.0
L_f_3,0.095159319559577
Y_f_3,0.784781226421987
M_f_3,0.3598488962325371
V_f_3,0.3519419097067387
MC_f_3,0.6570987322104542
PL_f_3,0.6552110657256215
PIV_f_3,0.5214224091828203
VOil_f_3,0.06651702093457361
VNon_f_3,0.28542488877216504
P_f_4,0.7147460486947421
PM_f_4,0.7524078423427752
PH_f_4,0.7147457151347043
Cg_f_4,0.03719703568589392
Cs_f_4,0.0
CHg_f_4,0.03719705208108594
CFg_f_4,1.321484039261327e-9
CHs_f_4,0.0
CFs_f_4,0.0
L_f_4,0.025189074892348742
Y_f_4,0.17763514504701042
M_f_4,0.0674085647303805
V_f_4,0.09022372020100926
MC_f_4,0.6432711436212339
PL_f_4,0.6552110657256215
PIV_f_4,0.5214224091828203
VOil_f_4,0.007858486029507906
VNon_f_4,0.08236523417150136
P_f_5,0.7619755627928502
PM_f_5,0.7438727366656196
PH_f_5,0.7619755627928712
Cg_f_5,1.188435862752351e-8
Cs_f_5,0.0
CHg_f_5,1.1884358627523182e-8
CFg_f_5,0.0
CHs_f_5,0.0
CFs_f_5,0.0
L_f_5,0.0652423179119042
Y_f_5,0.20983410091644503
M_f_5,0.10836444389020175
V_f_5,0.039397553653138614
MC_f_5,0.685778006513584
PL_f_5,0.6552110657256215
PIV_f_5,0.5214224091828205
VOil_f_5,0.0016428779873358802
VNon_f_5,0.03775467566580274
P_f_6,0.7829887861587117
PM_f_6,0.7566794516932807
PH_f_6,0.7700964005989782
Cg_f_6,0.0
Cs_f_6,0.05496463537082315
CHg_f_6,0.0
CFg_f_6,0.0
CHs_f_6,0.05574368875584061
CFs_f_6,0.00020842806477138818
L_f_6,0.054863897787914784
Y_f_6,0.14148346232564335
