sector,name,share,alphaV,direct_mc,network_mc,total_mc,amp_ratio,mc_irf,y_irf,ph_irf,yi_ss
1,Agropecuario-silvicola y Pesca,0.13891573675423952,0.11267980737410566,10.0,1.96962193729391,11.96962193729391,1.196962193729391,12.853051216610629,0.01144216005637553,2.934792798291258,0.24515915318529075
2,Mineria,0.0,0.10202911974240136,-0.0,0.6107529775353434,0.6107529775353434,6.107529775353434e9,0.005880901738215656,0.15016160137808152,-0.09605158915902821,0.6630489044776626
3,Industria manufacturera,0.20198866276368369,0.2823842734252001,-0.0,2.1064253899397727,2.1064253899397727,2.1064253899397728e10,0.3523410035310862,0.8964066014503259,0.03091354341322272,1.1499403923233193
4,Electricidad gas agua y gestion de desechos,0.005081874647092038,0.33372064900528253,0.0,0.37777229970988474,0.37777229970988474,3.7777229970988474e9,-0.04506919858479776,0.49999415415279697,-0.10474384582179544,0.16822970870064924
5,Construccion,0.0006618498703877337,0.10854391091259312,0.0,0.8862847274185454,0.8862847274185454,8.862847274185453e9,0.11475236719353071,0.37099720210697784,-0.10618294677428458,0.09851753953369628
6,Comercio hoteles y restaurantes,0.012844303751409963,0.08441042852410598,0.0,0.5759323558636156,0.5759323558636156,5.759323558636155e9,0.15717017586929619,0.2720286734761829,-0.07858072453490596,0.08403205511697352
7,Transporte comunicaciones y servicios de informacion,0.0,0.16349121658596374,0.0,0.47809859502951363,0.47809859502951363,4.780985950295136e9,0.07731018476547129,0.8392039167252033,-0.10445888044210852,0.3381821075494009
8,Intermediacion financiera,8.573388203017832e-5,0.09682701332741028,0.0,0.18742600199812914,0.18742600199812914,1.8742600199812913e9,0.10485904829532117,0.7123860228174793,-0.1099046820974334,0.1742176245375291
9,Servicios inmobiliarios y de vivienda,0.0,0.014781863793062849,0.0,0.6276075566199556,0.6276075566199556,6.276075566199555e9,-0.029815850158061846,0.29387779639948564,-0.11595576948285469,0.15147092063957132
10,Servicios empresariales,0.0006482281763180639,0.061669567542453944,0.0,0.25250003994047154,0.25250003994047154,2.5250003994047155e9,0.23670799670526851,1.6535859768007826,-0.10275437882025393,0.462830293872493
11,Servicios personales,0.005233392420021947,0.04764892847446154,0.0,0.3311275368156488,0.3311275368156488,3.311275368156488e9,0.3624430461662454,-0.05592811393941905,-0.11337701889642718,0.1427617314758566
12,Administracion publica,0.004668304668304668,0.05912259364749133,0.0,0.19495078463080098,0.19495078463080098,1.9495078463080099e9,0.3794468056122561,1.7229539505124876,-0.11600849965641531,0.0022038837201509487
