period,variable,value
1,GDP,-0.657345741326897
2,GDP,-0.2943384692200487
3,GDP,-0.13487807528492018
4,GDP,-0.06543462128794081
5,GDP,-0.03561811708707808
6,GDP,-0.02312877468814808
7,GDP,-0.018140501454259588
8,GDP,-0.016350435682514392
9,GDP,-0.015891073393849417
10,GDP,-0.015962157995953512
11,GDP,-0.016226992051493302
12,GDP,-0.01654766205556313
13,GDP,-0.016869942148936817
14,GDP,-0.017173917802862655
15,GDP,-0.01745321315660564
16,GDP,-0.017706504019537946
17,GDP,-0.017934202501118608
18,GDP,-0.01813725149079653
19,GDP,-0.018316737301116638
20,GDP,-0.018473792610994074
21,GDP,-0.018609585192815303
22,GDP,-0.018725320616292153
23,GDP,-0.0188222387904019
24,GDP,-0.018901602412630447
25,GDP,-0.018964680460980876
26,GDP,-0.019012730235784914
27,GDP,-0.019046980488899416
28,GDP,-0.01906861708846518
29,GDP,-0.01907877182257537
30,GDP,-0.01907851439094447
31,GDP,-0.019068847316069292
32,GDP,-0.019050703353638305
33,GDP,-0.019024944935717766
34,GDP,-0.018992365195347662
35,GDP,-0.018953690167943595
36,GDP,-0.018909581824644472
37,GDP,-0.018860641654447684
38,GDP,-0.018807414569649576
39,GDP,-0.018750392959938356
40,GDP,-0.018690020763540347
1,pi,0.10866100216992725
2,pi,0.04713949492082316
3,pi,0.01189779059690254
4,pi,-0.0012657800514293705
5,pi,-0.0051837806015311095
6,pi,-0.0055574066637704865
7,pi,-0.004761914308952623
8,pi,-0.003734183271523346
9,pi,-0.002804426547791049
10,pi,-0.0020581775863559703
11,pi,-0.0014905595366974595
12,pi,-0.0010696429867075676
13,pi,-0.0007607117813276595
14,pi,-0.0005342289170089252
15,pi,-0.00036737971454332027
16,pi,-0.00024336412332715354
17,pi,-0.0001501205363699767
18,pi,-7.910027265970513e-5
19,pi,-2.4274769765472164e-5
20,pi,1.8609587244627472e-5
21,pi,5.256836588308562e-5
22,pi,7.975689879773001e-5
23,pi,0.00010173250070836104
24,pi,0.00011963508626401697
25,pi,0.00013431119104277388
26,pi,0.00014639915532388664
27,pi,0.0001563878196629228
28,pi,0.0001646572037037172
29,pi,0.0001715069301108941
30,pi,0.00017717629268553718
31,pi,0.00018185860068538969
32,pi,0.00018571157560388126
33,pi,0.00018886500119361314
34,pi,0.00019142644142794776
35,pi,0.0001934855821916888
36,pi,0.0001951175786851196
37,pi,0.0001963856735267498
38,pi,0.0001973432714373719
39,pi,0.00019803560258136528
40,pi,0.00019850106975246174
1,Q,-0.24734668502314663
2,Q,-0.22603715845425063
3,Q,-0.15675145576352417
4,Q,-0.08776877370603389
5,Q,-0.03336963671417313
6,Q,0.005155234970320574
7,Q,0.03060124204036139
8,Q,0.046431014641299125
9,Q,0.05563113197519239
10,Q,0.06046246958087357
11,Q,0.06252447797704752
12,Q,0.06290128168246245
13,Q,0.06230471674546734
14,Q,0.061189377476758025
15,Q,0.05983740512629684
16,Q,0.058418004027351665
17,Q,0.057027935963384194
18,Q,0.05571846465551312
19,Q,0.05451296760657554
20,Q,0.053418265003123
21,Q,0.052431790113919
22,Q,0.05154604544174738
23,Q,0.05075130963617183
24,Q,0.050037231415909905
25,Q,0.04939372532015038
26,Q,0.04881143696938038
27,Q,0.04828194878519192
28,Q,0.04779783410754776
29,Q,0.0473526269513128
30,Q,0.04694074858430324
31,Q,0.04655741557732576
32,Q,0.04619854360229813
33,Q,0.04586065483064165
34,Q,0.045540792875046095
35,Q,0.045236446895247875
36,Q,0.04494548515626917
37,Q,0.04466609760502748
38,Q,0.04439674667724327
39,Q,0.04413612540978557
40,Q,0.04388312192002065
1,TB,-20.76140456568799
2,TB,-5.399181747206508
3,TB,0.06743460612596797
4,TB,1.6153515246281875
5,TB,1.7456662488953862
6,TB,1.4582268243892138
7,TB,1.122022345581173
8,TB,0.8510022428798829
9,TB,0.6630508225756184
10,TB,0.5449570181222826
11,TB,0.47737101299481494
12,TB,0.4432410549094535
13,TB,0.42978839892406956
14,TB,0.4282120534682504
15,TB,0.43279013487672346
16,TB,0.4399833345878072
17,TB,0.44771770637467156
18,TB,0.4548638381067963
19,TB,0.46087897948876005
20,TB,0.46557023441829687
21,TB,0.4689425180417574
22,TB,0.47110366837844153
23,TB,0.4722070501268622
24,TB,0.4724181922447162
25,TB,0.47189649346392565
26,TB,0.4707861458389826
27,TB,0.4692125278072392
28,TB,0.46728170702010335
29,TB,0.46508159628353485
30,TB,0.46268388475240696
31,TB,0.460146232180246
32,TB,0.4575144413748214
