sector,name,share,alphaV,direct_mc,network_mc,total_mc,amp_ratio,mc_irf,y_irf,ph_irf,yi_ss
1,Agropecuario-silvicola y Pesca,0.1409366488006326,0.11267980737410566,1.0,0.26171328844884,1.26171328844884,1.26171328844884,1.090213548378381,0.2240800680083421,0.2130176989117677,0.24369941623294622
2,Mineria,0.2362572471548207,0.10202911974240136,1.0,0.3461572960791588,1.3461572960791588,1.3461572960791588,1.078056161985379,0.22522266307392033,0.11047350170655837,0.5966755000289448
3,Industria manufacturera,0.3129634792305548,0.2823842734252001,-9.494401838093059e-17,0.35161782308864575,0.35161782308864564,3.5161782308864565e9,0.08245222720509617,0.34285159215877425,0.009389920898032826,1.1601733507859304
4,Electricidad gas agua y gestion de desechos,0.31874647092038394,0.33372064900528253,1.546029829498272e-17,0.29422122912441706,0.29422122912441706,2.9422122912441707e9,0.0742405215881747,0.6629961364128041,-0.003123452345621758,0.16744239783588838
5,Construccion,0.01058959792620374,0.10854391091259312,7.543135356860982e-17,0.15851557275267444,0.15851557275267453,1.5851557275267453e9,0.11189500373824647,0.1879752851199326,-0.010223650749403072,0.10081409857214112
6,Comercio hoteles y restaurantes,0.012880689881017357,0.08441042852410598,5.112369232152987e-17,0.09596751232772342,0.09596751232772348,9.596751232772348e8,0.1332590989369674,0.23045116699735185,0.003401991746724122,0.08290170213859395
7,Transporte comunicaciones y servicios de informacion,0.0,0.16349121658596374,8.293708721632159e-18,0.08393534169349476,0.08393534169349477,8.393534169349477e8,0.1074529863000352,0.4189488476856356,-0.008212486136402644,0.33760372851896464
8,Intermediacion financiera,8.573388203017832e-5,0.09682701332741028,-2.43029449095593e-17,0.03398993341856697,0.033989933418566945,3.398993341856694e8,0.12298170142422286,0.33255718966047204,-0.009459104936767736,0.17382446657548006
9,Servicios inmobiliarios y de vivienda,0.00019928258270227183,0.014781863793062849,1.186222970530286e-17,0.11916192298824033,0.11916192298824034,1.1916192298824034e9,0.035869401943731526,0.15722272210277777,-0.01283175880503549,0.1523281512383511
10,Servicios empresariales,0.000756266205704408,0.061669567542453944,-1.2626921112471829e-16,0.04457616064027263,0.044576160640272505,4.4576160640272504e8,0.19410909254395362,0.7666512022503041,-0.006569201811148008,0.4572006528585096
11,Servicios personales,0.005233392420021947,0.04764892847446154,1.7547675532759655e-17,0.05692237152441594,0.05692237152441596,5.692237152441596e8,0.2622492062042002,-0.0006992537940613314,-0.01126097714698852,0.13592993198991044
12,Administracion publica,0.005651105651105651,0.05912259364749133,4.14090257138755e-17,0.04066367579423007,0.04066367579423011,4.066367579423011e8,0.2786435485836545,0.29567645577612056,-0.012125167783507912,0.0021562986722493023
