period,variable,value
1,GDP,-0.2416385224280047
2,GDP,-0.23625705570175506
3,GDP,-0.2321062955493252
4,GDP,-0.22973837029056224
5,GDP,-0.22850928570035173
6,GDP,-0.22781474262815754
7,GDP,-0.22727470374430025
8,GDP,-0.22668736581469343
9,GDP,-0.22596133451378936
10,GDP,-0.2250667130761612
11,GDP,-0.22400535527888094
12,GDP,-0.222794020701938
13,GDP,-0.22145521965968784
14,GDP,-0.22001242031149165
15,GDP,-0.21848767537461808
16,GDP,-0.21690057271468866
17,GDP,-0.2152678986998174
18,GDP,-0.21360367402543312
19,GDP,-0.2119193724426181
20,GDP,-0.21022421714345207
21,GDP,-0.2085254971324865
22,GDP,-0.20682887297078897
23,GDP,-0.2051386567324061
24,GDP,-0.2034580598163038
25,GDP,-0.2017894072036911
26,GDP,-0.20013431944179913
27,GDP,-0.198493865001699
28,GDP,-0.1968686862484951
29,GDP,-0.19525910240442373
30,GDP,-0.19366519277565664
31,GDP,-0.19208686327059474
32,GDP,-0.190523898932605
33,GDP,-0.18897600488613192
34,GDP,-0.18744283777676854
35,GDP,-0.1859240294870469
36,GDP,-0.18441920463743852
37,GDP,-0.18292799313915462
38,GDP,-0.18145003885207384
39,GDP,-0.17998500521626093
40,GDP,-0.17853257856700339
1,pi,0.03639037784926935
2,pi,-0.0038465844416470554
3,pi,-0.004149710116902165
4,pi,-0.00316319712057991
5,pi,-0.0022270134736668964
6,pi,-0.0015604808117078886
7,pi,-0.0011223771285707408
8,pi,-0.0008392801989024295
9,pi,-0.000654367133631075
10,pi,-0.0005305078639571254
11,pi,-0.0004447354367347732
12,pi,-0.0003830248463898411
13,pi,-0.0003367548858678508
14,pi,-0.00030054074224503173
15,pi,-0.0002709517032705952
16,pi,-0.0002457572780203675
17,pi,-0.00022348030364107875
18,pi,-0.0002031276932838622
19,pi,-0.00018402481679909554
20,pi,-0.0001657112377379905
21,pi,-0.0001478734564444939
22,pi,-0.00013030044311641747
23,pi,-0.00011285352431942574
24,pi,-9.544552528008719e-5
25,pi,-7.80260278145091e-5
26,pi,-6.0570769530165546e-5
27,pi,-4.307391556708065e-5
28,pi,-2.5542368547436622e-5
29,pi,-7.991554689422158e-6
30,pi,9.557701941449068e-6
31,pi,2.708149148554544e-5
32,pi,4.4554515245737285e-5
33,pi,6.195131426938069e-5
34,pi,7.924713990832743e-5
35,pi,9.641855058054978e-5
36,pi,0.00011344379974465949
37,pi,0.00013030306567541136
38,pi,0.0001469785625990293
39,pi,0.00016345456419006513
40,pi,0.00017971736371118297
1,Q,0.3138865020216066
2,Q,0.3410056044922997
3,Q,0.3598585024003338
4,Q,0.3711750501413422
5,Q,0.3773258685371616
6,Q,0.3802655702984028
7,Q,0.3812971987279419
8,Q,0.38122511558654465
9,Q,0.3805291304716916
10,Q,0.3794901364553315
11,Q,0.37827007306271304
12,Q,0.3769605032473737
13,Q,0.3756116307492684
14,Q,0.37424955694821377
15,Q,0.37288654221044293
16,Q,0.3715271051276388
17,Q,0.3701716344532892
18,Q,0.3688185073360851
19,Q,0.36746530777799746
20,Q,0.36610950328969916
21,Q,0.3647487970627284
22,Q,0.36338128825525295
23,Q,0.3620055214573518
24,Q,0.36062047480119463
25,Q,0.35922551668323244
26,Q,0.3578203489898463
27,Q,0.356404947233578
28,Q,0.3549795033821215
29,Q,0.3535443743269418
30,Q,0.3521000372261981
31,Q,0.35064705194949175
32,Q,0.34918603028590545
33,Q,0.347717611284626
34,Q,0.34624244197290016
35,Q,0.34476116267164153
36,Q,0.3432743961619413
37,Q,0.3417827400190709
38,Q,0.34028676150763454
39,Q,0.3387869945120936
40,Q,0.3372839380550181
1,TB,-0.10076681613459684
2,TB,-0.001286078178783533
3,TB,0.0036214742703261395
4,TB,-0.006199627774304007
5,TB,-0.011109859754904652
6,TB,-0.008757505169782605
7,TB,-0.0008523539699050226
8,TB,0.010570922652765647
9,TB,0.023986478483088113
10,TB,0.03840514580384332
11,TB,0.053232886822412416
12,TB,0.06813311639128716
13,TB,0.08292682052727962
14,TB,0.0975272828222268
15,TB,0.1118995779978935
16,TB,0.12603624911560787
17,TB,0.139943107351787
18,TB,0.15363120501250588
19,TB,0.16711250411670456
20,TB,0.18039771734593507
21,TB,0.19349539678329095
22,TB,0.20641171499858918
23,TB,0.21915060856422786
24,TB,0.23171409106095947
25,TB,0.2441026253933
26,TB,0.256315494918962
27,TB,0.2683511424415035
28,TB,0.28020746341948305
29,TB,0.2918820496307208
30,TB,0.30337238494163915
31,TB,0.3146759975682693
32,TB,0.32579057437640796
33,TB,0.33671404302372016
34,TB,0.3474446275034375
35,TB,0.35798088215303414
36,TB,0.3683217085878981
37,TB,0.37846635939431744
38,TB,0.3884144318155333
39,TB,0.398165854113699
40,TB,0.4077208668001554
1,C,-0.1645531156710209
2,C,-0.17499912057048075
3,C,-0.18286372159327652
4,C,-0.18931215771595158
5,C,-0.19459587311165777
6,C,-0.1988096479674807
7,C,-0.20205494761930748
8,C,-0.2044539860641003
9,C,-0.20613632040293753
10,C,-0.20722668056782123
11,C,-0.207838107571264
12,C,-0.20806916556943478
13,C,-0.20800356741811876
14,C,-0.20771104839140336
15,C,-0.20724879711094274
16,C,-0.2066630648672502
17,C,-0.20599075692411523
18,C,-0.2052609107356416
19,C,-0.20449602088965968
20,C,-0.2037131997610564
21,C,-0.20292517795772808
22,C,-0.2021411560510552
23,C,-0.20136752228346813
24,C,-0.20060845184924858
25,C,-0.19986640301254685
26,C,-0.19914252435539775
27,C,-0.19843698617733335
28,C,-0.19774924769054242
29,C,-0.1970782702803894
30,C,-0.1964226857915276
31,C,-0.19578092758687485
32,C,-0.1951513310250177
33,C,-0.1945322090153437
34,C,-0.19392190743725185
35,C,-0.19331884444441855
36,C,-0.19272153700949132
37,C,-0.19212861749001292
38,C,-0.19153884250374464
39,C,-0.19095109598196067
40,C,-0.19036438791412544
1,N,-0.033984734762673496
2,N,-0.05909375911587193
3,N,-0.07733938912461498
4,N,-0.09052215650231102
5,N,-0.09999556948179211
6,N,-0.10673236122131595
7,N,-0.11142948967776234
8,N,-0.11459273793800114
9,N,-0.11659564624722568
10,N,-0.11771885543296798
11,N,-0.1181762715182604
12,N,-0.11813271459876647
13,N,-0.11771610109071105
14,N,-0.11702608097468065
15,N,-0.1161403310023915
16,N,-0.11511925880674752
17,N,-0.1140095991432299
18,N,-0.11284721501414573
19,N,-0.11165931175467919
20,N,-0.11046620625185498
21,N,-0.10928275127117099
22,N,-0.10811948730871997
23,N,-0.1069835759691076
24,N,-0.10587955623213875
25,N,-0.10480995604568241
26,N,-0.1037757851838443
27,N,-0.10277693043341284
28,N,-0.10181247040745298
29,N,-0.10088092430566874
30,N,-0.09998044653348674
31,N,-0.09910897711400268
32,N,-0.0982643561824894
33,N,-0.09744440947445296
34,N,-0.09664701055627567
35,N,-0.09587012456556596
36,N,-0.09511183739794932
37,N,-0.09437037357534486
38,N,-0.09364410543901108
39,N,-0.0929315558130348
40,N,-0.09223139586704344
1,w,-0.05179881449122235
2,w,-0.06360289184407197
3,w,-0.07460990828150756
4,w,-0.08563451124959012
5,w,-0.09636235500410305
6,w,-0.10640668086596637
7,w,-0.11551815052554025
8,w,-0.12358137828494674
9,w,-0.1305741908241221
10,w,-0.13653179054736536
11,w,-0.14152184624430078
12,w,-0.14562844413566786
13,w,-0.14894205171206043
14,w,-0.15155334903304526
15,w,-0.15354951950304777
16,w,-0.15501211232849715
17,w,-0.15601591831838452
18,w,-0.15662850298240913
19,w,-0.1569101652701515
20,w,-0.15691416811399486
21,w,-0.15668713683640315
22,w,-0.156269554346472
23,w,-0.1556963042602181
24,w,-0.15499722843084476
25,w,-0.1541976761818443
26,w,-0.15331903024432642
27,w,-0.15237919994239163
28,w,-0.15139307616491912
29,w,-0.15037294553087957
30,w,-0.14932886319421362
31,w,-0.14826898515620487
32,w,-0.14719986191421588
33,w,-0.14612669589219504
34,w,-0.14505356545864329
35,w,-0.1439836185090209
36,w,-0.14291923862351208
37,w,-0.14186218674735798
38,w,-0.14081372121011115
39,w,-0.13977469872547732
40,w,-0.13874565881258225
1,r,0.02332259231542245
2,r,0.01479344365274689
3,r,0.00828760055140952
4,r,0.004105533049177617
5,r,0.0016108034403871183
6,r,0.00019188456900050296
7,r,-0.0005773344872024936
8,r,-0.0009651195124371638
9,r,-0.0011335694006367092
10,r,-0.0011788406737416434
11,r,-0.0011573696382307845
12,r,-0.0011019305347610767
13,r,-0.0010312509694402855
14,r,-0.000955738243657873
15,r,-0.0008808950163791881
16,r,-0.0008093637330253585
17,r,-0.0007421530889865784
18,r,-0.0006793730489872613
19,r,-0.0006206726160088253
20,r,-0.0005654969581370949
21,r,-0.0005132345774742594
22,r,-0.00046329771626839295
23,r,-0.00041516255771143824
24,r,-0.0003683856068205698
25,r,-0.00032260636409238414
26,r,-0.00027754250995114173
27,r,-0.00023298138819578275
28,r,-0.0001887700569940035
29,r,-0.0001448052259353909
30,r,-0.00010102380615585432
31,r,-5.7394435632657985e-5
32,r,-1.3910120321449877e-5
33,r,2.9417998802224413e-5
34,r,7.256581607535624e-5
35,r,0.00011550046965912023
36,r,0.0001581837044913955
37,r,0.0002005745081354237
38,r,0.00024263113253524316
39,r,0.00028431260517427424
40,r,0.00032557982178677166
1,Y_1,-0.45453851296228626
2,Y_1,-0.7145164525533095
3,Y_1,-0.7857191537947988
4,Y_1,-0.798123293990197
5,Y_1,-0.7930602770699133
6,Y_1,-0.7833704124044484
7,Y_1,-0.772856121771848
8,Y_1,-0.7625275806101488
9,Y_1,-0.752578612372786
10,Y_1,-0.7429932620175626
11,Y_1,-0.7337203680381177
12,Y_1,-0.7247163984531085
13,Y_1,-0.7159510112999822
14,Y_1,-0.7074039465795279
15,Y_1,-0.6990612006159234
16,Y_1,-0.6909122232359054
17,Y_1,-0.6829481846304333
18,Y_1,-0.6751610129435738
19,Y_1,-0.6675429177685196
20,Y_1,-0.660086196538728
21,Y_1,-0.6527831939991926
22,Y_1,-0.6456263365828392
23,Y_1,-0.6386081967607954
24,Y_1,-0.6317215628371027
25,Y_1,-0.624959501780942
26,Y_1,-0.618315409684017
27,Y_1,-0.6117830483259888
28,Y_1,-0.6053565683876456
29,Y_1,-0.5990305208380035
30,Y_1,-0.5927998583996343
31,Y_1,-0.5866599290406724
32,Y_1,-0.5806064633135829
33,Y_1,-0.5746355571530395
34,Y_1,-0.5687436515110885
35,Y_1,-0.5629275099758398
36,Y_1,-0.5571841953050108
37,Y_1,-0.5515110456143173
38,Y_1,-0.545905650794947
39,Y_1,-0.5403658295936418
40,Y_1,-0.5348896076714343
1,PH_1,0.9645242271239509
2,PH_1,1.2803021159674066
3,PH_1,1.3723135240430466
4,PH_1,1.3902460522359255
5,PH_1,1.3834791562275934
6,PH_1,1.3685618021705286
7,PH_1,1.3511716333889243
8,PH_1,1.333314618177937
9,PH_1,1.3157168330634483
10,PH_1,1.2986371018647531
11,PH_1,1.2821534009191387
12,PH_1,1.266269529398826
13,PH_1,1.2509578828695953
14,PH_1,1.2361780963815867
15,PH_1,1.2218858034687066
16,PH_1,1.2080369503846549
17,PH_1,1.1945899260425874
18,PH_1,1.1815065425825735
19,PH_1,1.1687523864401372
20,PH_1,1.1562968212323905
21,PH_1,1.144112802563264
22,PH_1,1.1321765984488352
23,PH_1,1.1204674706947784
24,PH_1,1.1089673496195755
25,PH_1,1.09766052053981
26,PH_1,1.0865333318514345
27,PH_1,1.0755739292824724
28,PH_1,1.0647720177108355
29,PH_1,1.054118650065975
30,PH_1,1.043606041781432
31,PH_1,1.033227408730173
32,PH_1,1.0229768263594954
33,PH_1,1.012849107721389
34,PH_1,1.0028396981866925
35,PH_1,0.9929445847855703
36,PH_1,0.9831602183001651
37,PH_1,0.9734834464274204
38,PH_1,0.9639114565188648
39,PH_1,0.9544417265824783
40,PH_1,0.9450719833960811
1,MC_1,1.5815086721000617
2,MC_1,1.4807871850341148
3,MC_1,1.4375394622516027
4,MC_1,1.4112799514302534
5,MC_1,1.3899335158913766
6,MC_1,1.370141777788139
7,MC_1,1.351102224019556
8,MC_1,1.3326920056756024
9,MC_1,1.314926229992619
10,MC_1,1.2978194966638212
11,MC_1,1.2813620681259743
12,MC_1,1.2655242058903546
13,MC_1,1.2502645038406954
14,MC_1,1.2355365345125908
15,MC_1,1.221293192088098
16,MC_1,1.2074892466635425
17,MC_1,1.1940827003631989
18,MC_1,1.1810353917321688
19,MC_1,1.16831314803248
20,MC_1,1.1558856770864028
21,MC_1,1.143726318358989
