sector,name,VA_net,VA_mdl,share_GDP_net,share_VA_net,share_GDP_mdl,share_VA_mdl
1,Agropecuario-silvicola y Pesca,0.07253016035515628,0.08207443379746404,0.04375324218058417,0.04375324218058412,0.04951074919992888,0.04344478678985771
2,Mineria,0.19157274789898687,0.20112571368005716,0.11556473600748748,0.11556473600748735,0.121327486611034,0.10646267472707241
3,Industria manufacturera,0.15611465869630387,0.23989608309235483,0.09417492580233944,0.09417492580233933,0.1447154034999614,0.12698514871742403
4,Electricidad gas agua y gestion de desechos,0.051500377865314945,0.0687495155958838,0.031067193207612014,0.031067193207611976,0.041472598308556034,0.03639145479016946
5,Construccion,0.11309802097894635,0.13018223339238566,0.0682254813419124,0.06822548134191232,0.07853139655745228,0.0689098798721709
6,Comercio hoteles y restaurantes,0.19911370451834243,0.21846608706854348,0.12011375809187734,0.12011375809187719,0.13178792889674118,0.11564152360683876
7,Transporte comunicaciones y servicios de informacion,0.16152944520414894,0.194600468438663,0.09744135268287869,0.09744135268287858,0.11739118433434771,0.10300864068568663
8,Intermediacion financiera,0.0986107582216444,0.11566030240523707,0.05948615534497315,0.05948615534497308,0.06977115722668026,0.061222928329250935
9,Servicios inmobiliarios y de vivienda,0.24431743589011726,0.24573233644278528,0.14738254939870268,0.14738254939870252,0.14823607690007853,0.1300744759382093
10,Servicios empresariales,0.1766919511040616,0.18562328882541745,0.10658801373332889,0.10658801373332877,0.11197577215555729,0.09825671446181349
11,Servicios personales,0.18764281991607049,0.20164703974999468,0.11319403821850113,0.11319403821850099,0.12164197241502694,0.10673863033113201
12,Administracion publica,0.004987308195744275,0.0054089513473846666,0.003008553989803755,0.0030085539898037513,0.0032629068664163504,0.002863141750374174
