sector,name,share,alphaV,direct_mc,network_mc,total_mc,amp_ratio,mc_irf,y_irf,ph_irf,yi_ss
1,Agropecuario-silvicola y Pesca,0.4644583077058255,0.11267980737410566,-2.74270016887097e-16,0.6474406040407797,0.6474406040407795,6.474406040407795e9,0.028211522285457865,0.728467506270727,-0.014556237843299675,0.24369941623294622
2,Mineria,0.23759931286235775,0.10202911974240136,1.37859752959402e-16,0.44948938408232236,0.4494893840823225,4.494893840823225e9,-0.005312234161089805,0.1949548164604665,-0.03443004477704457,0.5966755000289448
3,Industria manufacturera,0.454177121085401,0.2823842734252001,1.0,0.5706128237698964,1.5706128237698964,1.5706128237698964,1.0121948505277552,0.30626619130585836,0.16908316860155276,1.1601733507859304
4,Electricidad gas agua y gestion de desechos,0.14003387916431395,0.33372064900528253,-1.6324828742095858e-16,0.25488166391088046,0.2548816639108803,2.548816639108803e9,-0.035309591417868796,0.3421805436277768,-0.03959839199475567,0.16744239783588838
5,Construccion,0.5624620815178424,0.10854391091259312,2.5395452213239767e-17,0.655686497750707,0.655686497750707,6.55686497750707e9,0.031153631675680086,0.08544779025495534,-0.03928134563735136,0.10081409857214112
6,Comercio hoteles y restaurantes,0.27242295237055636,0.08441042852410598,-7.503642272090153e-18,0.36540037384287644,0.36540037384287644,3.6540037384287643e9,-0.007238022731589138,0.10836177413917535,-0.035000751537341515,0.08290170213859395
7,Transporte comunicaciones y servicios de informacion,0.2675752121367961,0.16349121658596374,9.06930457944354e-17,0.35399896145214216,0.35399896145214227,3.5399896145214224e9,-0.01192096549717811,0.3199223580125504,-0.04024286671253551,0.33760372851896464
8,Intermediacion financiera,0.04080932784636488,0.09682701332741028,1.0863865405239235e-16,0.1376411119381657,0.1376411119381658,1.376411119381658e9,-0.036064394523595576,0.18496055863382196,-0.04439704321984474,0.17382446657548006
9,Servicios inmobiliarios y de vivienda,0.011159824631327222,0.014781863793062849,-4.869495992130682e-17,0.4633484467727499,0.46334844677274983,4.633484467727498e9,-0.03747103383259488,0.08706263842891784,-0.0448651349044098,0.1523281512383511
10,Servicios empresariales,0.14509507346585998,0.061669567542453944,1.1333455658581676e-16,0.18406527246574741,0.18406527246574753,1.8406527246574752e9,-0.023022816507228327,0.4062080925697834,-0.04326115184609662,0.4572006528585096
11,Servicios personales,0.4331054275343969,0.04764892847446154,-2.331853823313318e-16,0.23334744992901524,0.23334744992901502,2.33347449929015e9,-0.006842065398583315,-0.03891816846973031,-0.044940823478899494,0.13592993198991044
12,Administracion publica,0.25307125307125306,0.05912259364749133,-1.162686343503146e-16,0.13477319071202234,0.13477319071202223,1.3477319071202223e9,-0.019266984462721206,0.3104090210887684,-0.04582948832448308,0.0021562986722493023
