period,variable,value
1,GDP,-0.3894593517764241
2,GDP,-0.17642133434344404
3,GDP,-0.08311876783280933
4,GDP,-0.04267581900085452
5,GDP,-0.025435662920476516
6,GDP,-0.01829602597842545
7,GDP,-0.015496348216302027
8,GDP,-0.014522157852162555
9,GDP,-0.014287839622092431
10,GDP,-0.014332597290810423
11,GDP,-0.014466175239753914
12,GDP,-0.01461370693254513
13,GDP,-0.014748386347297351
14,GDP,-0.014862653002854291
15,GDP,-0.014956123645830547
16,GDP,-0.015030712546138072
17,GDP,-0.01508877638014091
18,GDP,-0.015132491195305802
19,GDP,-0.015163704007614548
20,GDP,-0.01518394836733852
21,GDP,-0.015194502811323271
22,GDP,-0.015196449390741508
23,GDP,-0.015190720312373356
24,GDP,-0.015178131877448004
25,GDP,-0.015159408198560178
26,GDP,-0.015135197576920839
27,GDP,-0.015106083923259978
28,GDP,-0.015072594955575204
29,GDP,-0.01503520834950644
30,GDP,-0.014994356602935249
31,GDP,-0.014950431090540145
32,GDP,-0.014903785595854148
33,GDP,-0.014854739488901834
34,GDP,-0.014803580644113612
35,GDP,-0.014750568149710288
36,GDP,-0.01469593483506121
37,GDP,-0.014639889629348193
38,GDP,-0.014582619758517133
39,GDP,-0.014524292785019885
40,GDP,-0.014465058494424567
1,pi,0.051011565558453646
2,pi,0.019183538674005202
3,pi,0.003963606408106428
4,pi,-0.0012520430552723921
5,pi,-0.0025268973516285836
6,pi,-0.0024139561575922093
7,pi,-0.001919317338495315
8,pi,-0.00140704615221343
9,pi,-0.0009854048548691501
10,pi,-0.0006680426240402616
11,pi,-0.00043883150225445855
12,pi,-0.00027628969411308015
13,pi,-0.00016161258332745868
14,pi,-8.043146718766513e-5
15,pi,-2.2435762880045035e-5
16,pi,1.95371292864006e-5
17,pi,5.03816926950484e-5
18,pi,7.342015527909339e-5
19,pi,9.0907583062956e-5
20,pi,0.00010438250881507764
21,pi,0.00011490431422122885
22,pi,0.00012321169291728643
23,pi,0.0001298276721051132
24,pi,0.0001351290484439087
25,pi,0.000139392354508953
26,pi,0.00014282442110642062
27,pi,0.0001455828425886944
28,pi,0.0001477898143638479
29,pi,0.00014954160309478909
30,pi,0.00015091512155981218
31,pi,0.0001519725680836821
32,pi,0.00015276475861656416
33,pi,0.0001533335645433344
34,pi,0.00015371372981238477
35,pi,0.00015393425020453406
36,pi,0.00015401943824127511
37,pi,0.00015398975823349172
38,pi,0.00015386249014119686
39,pi,0.00015365226364612132
40,pi,0.0001533714921658635
1,Q,-0.0939705724676942
2,Q,-0.08132782378892418
3,Q,-0.04940750982591967
4,Q,-0.019119215144824384
5,Q,0.00399635232477092
6,Q,0.019914866222826098
7,Q,0.0301626293773588
8,Q,0.036382750672303225
9,Q,0.039907904518728395
10,Q,0.04170413796080336
11,Q,0.04243075747266665
12,Q,0.04252067431923889
13,Q,0.04225004645619295
14,Q,0.0417906029712547
15,Q,0.041246318153227705
16,Q,0.040678103099078995
17,Q,0.040120001721077846
18,Q,0.03958961683083668
19,Q,0.03909472137330837
20,Q,0.03863739320196808
21,Q,0.038216564002335335
22,Q,0.037829564048567244
23,Q,0.037473037734432724
24,Q,0.03714346912922717
25,Q,0.03683746892835498
26,Q,0.03655191779943145
27,Q,0.036284025241745156
28,Q,0.03603134038374785
29,Q,0.035791736881501904
30,Q,0.03556338517795672
31,Q,0.03534471986834651
32,Q,0.035134406534474
33,Q,0.034931310362455746
34,Q,0.03473446764021263
35,Q,0.034543060524858636
36,Q,0.03435639507690638
37,Q,0.03417388235352945
38,Q,0.03399502225990021
39,Q,0.03381938982843472
40,Q,0.03364662360176622
1,TB,-12.96741299044599
2,TB,-3.958277314266597
3,TB,-0.5799170609419372
4,TB,0.5286774760608545
5,TB,0.7785229331784183
6,TB,0.7413667371021654
7,TB,0.635838762969133
8,TB,0.5365592342112689
9,TB,0.4624679523066218
10,TB,0.4130753144710261
11,TB,0.3826318660788756
12,TB,0.3651806133030137
13,TB,0.35600857994425783
14,TB,0.35178826857114254
15,TB,0.350322474141535
16,TB,0.35023099781645844
17,TB,0.3506865041323976
18,TB,0.3512195933478609
19,TB,0.35158445524586696
20,TB,0.3516701321752993
21,TB,0.351443694945995
22,TB,0.3509148050405579
23,TB,0.3501141967045045
24,TB,0.34908101762015536
25,TB,0.3478556955295133
26,TB,0.34647618160692245
27,TB,0.34497620759865133
28,TB,0.3433847055271999
29,TB,0.3417258668583899
30,TB,0.34001952571808963
31,TB,0.33828168065125713
32,TB,0.33652504964441976
33,TB,0.33475960194219534
34,TB,0.3329930393127002
35,TB,0.33123121633157054
36,TB,0.32947849868688006
37,TB,0.3277380634241348
38,TB,0.32601214729861294
39,TB,0.32430225012012087
40,TB,0.32260929985619136
1,C,-0.09448513638281045
2,C,-0.08773043039491901
3,C,-0.07146800844573853
4,C,-0.05607501585486244
5,C,-0.04428984605626748
6,C,-0.03611139681395099
7,C,-0.03077125271315488
8,C,-0.027445943454247404
9,C,-0.0254685645242417
10,C,-0.024356031200096745
11,C,-0.02377879161904424
12,C,-0.023520521931672114
13,C,-0.023443260220123226
14,C,-0.0234612332652918
15,C,-0.023522520659284986
16,C,-0.023596713573250824
17,C,-0.023666821539466747
18,C,-0.023724063422115405
19,C,-0.023764564889235066
20,C,-0.023787293312045012
21,C,-0.023792784966851842
22,C,-0.023782373859431133
23,C,-0.02375773482882699
24,C,-0.023720621399562925
25,C,-0.023672722765037534
26,C,-0.023615592449608213
27,C,-0.023550619124324594
28,C,-0.02347902138802296
29,C,-0.023401855449513332
30,C,-0.023320029093346687
31,C,-0.023234318065591963
32,C,-0.023145382704944466
33,C,-0.023053783666882436
34,C,-0.022959996196500514
35,C,-0.022864422757805886
36,C,-0.022767404023204353
37,C,-0.0226692283287325
38,C,-0.02257013974681435
39,C,-0.022470344942617463
40,C,-0.022370018976857132
1,N,0.3986217361994093
2,N,0.15805294851803853
3,N,0.06362723018006919
4,N,0.029203291000739085
5,N,0.01838308068844997
6,N,0.01614074917662151
7,N,0.016534001661058957
8,N,0.017387148736516003
9,N,0.018024440917986013
10,N,0.018325791010111777
11,N,0.018347919467836604
12,N,0.018182135391395217
13,N,0.017907770748452602
14,N,0.01758200432356885
15,N,0.017241946966006155
16,N,0.016909690837049605
17,N,0.016597104718162562
18,N,0.016309528066915012
19,N,0.016048357279469745
20,N,0.015812755246573586
21,N,0.015600734282026678
22,N,0.015409815978471447
23,N,0.015237416099753091
24,N,0.01508105605526992
25,N,0.014938468035326252
26,N,0.014807636953907485
27,N,0.014686806349098004
28,N,0.014574464970332797
29,N,0.01446932412242727
30,N,0.014370291650383752
31,N,0.014276445859646245
32,N,0.014187011093161814
33,N,0.014101335751748748
34,N,0.01401887300562675
35,N,0.013939164148791544
36,N,0.013861824397591
37,N,0.013786530870255009
38,N,0.013713012468242192
39,N,0.013641041390630135
40,N,0.013570426035995413
1,w,0.20965163869684428
2,w,-0.01742678904459852
3,w,-0.07932272836454594
4,w,-0.08295263633927641
5,w,-0.07019541527876826
6,w,-0.05607563595969057
7,w,-0.044998616817339486
8,w,-0.03749269203849611
9,w,-0.032899399019299454
10,w,-0.03037234045842877
11,w,-0.02919546842314048
12,w,-0.028844675660316132
13,w,-0.028964608906136932
14,w,-0.029326481688826
15,w,-0.029789304971329873
16,w,-0.030270146905281042
17,w,-0.03072314539240541
18,w,-0.03112539226220866
19,w,-0.031467739583202425
20,w,-0.031748958414268474
21,w,-0.031972109356203586
22,w,-0.03214233978240624
23,w,-0.032265584819414814
