period,variable,value
1,GDP,-1.776253728035917
2,GDP,-0.5008859651156721
3,GDP,-0.005906248600102332
4,GDP,0.15905542754774488
5,GDP,0.19054119276924064
6,GDP,0.17285344327605376
7,GDP,0.14104427213465506
8,GDP,0.10882189137792928
9,GDP,0.08084846418241556
10,GDP,0.05810990261333592
11,GDP,0.04022284944784532
12,GDP,0.026396869182743303
13,GDP,0.015813186847778278
14,GDP,0.007755632079648831
15,GDP,0.0016404675069719662
16,GDP,-0.00299179191075984
17,GDP,-0.006496176718342461
18,GDP,-0.009144231172148796
19,GDP,-0.011142489483652476
20,GDP,-0.012647576289184998
21,GDP,-0.013778100347746425
22,GDP,-0.014623839817530196
23,GDP,-0.015252759014508186
24,GDP,-0.015716335992908496
25,GDP,-0.016053593897999357
26,GDP,-0.016294145938177004
27,GDP,-0.016460493296390013
28,GDP,-0.01656975872081468
29,GDP,-0.016634994431713693
30,GDP,-0.016666169138994363
31,GDP,-0.016670913223503284
32,GDP,-0.01665508165285329
33,GDP,-0.016623179499037462
34,GDP,-0.016578683845298366
35,GDP,-0.016524287527328128
36,GDP,-0.016462083874855152
37,GDP,-0.01639370689413726
38,GDP,-0.016320437775242766
39,GDP,-0.01624328593066613
40,GDP,-0.01616305075591414
1,pi,0.043631585498630054
2,pi,0.022518318058693237
3,pi,0.009599239896037743
4,pi,0.003960890275054157
5,pi,0.001527917664996446
6,pi,0.0005046658608047884
7,pi,9.589117276893392e-5
8,pi,-4.894979890644261e-5
9,pi,-8.329000000363088e-5
10,pi,-7.357049945585526e-5
11,pi,-4.808508333562241e-5
12,pi,-1.85572189303821e-5
13,pi,1.0386811813500763e-5
14,pi,3.709663066281361e-5
15,pi,6.11288607896196e-5
16,pi,8.250299500447075e-5
17,pi,0.00010139773211668137
18,pi,0.00011803283944333704
19,pi,0.00013262676841993112
20,pi,0.0001453837098089934
21,pi,0.00015649116351055205
22,pi,0.0001661206846290437
23,pi,0.0001744292147864974
24,pi,0.00018156025091655372
25,pi,0.0001876447515674119
26,pi,0.0001928018618026528
27,pi,0.0001971395539475248
28,pi,0.00020075525157446636
29,pi,0.00020373647083466646
30,pi,0.00020616148871416
31,pi,0.0002081000331241783
32,pi,0.00020961398271601844
33,pi,0.00021075806231448066
34,pi,0.00021158052076248183
35,pi,0.00021212378027919514
36,pi,0.00021242504922076898
37,pi,0.00021251689286081512
38,pi,0.00021242775920649805
39,pi,0.000212182458829275
40,pi,0.00021180259920494158
1,Q,-0.09052660484865398
2,Q,-0.08947072223689873
3,Q,-0.06673409014184188
4,Q,-0.040510059091567074
5,Q,-0.0172251475063267
6,Q,0.0014758519021275864
7,Q,0.015749765184251856
8,Q,0.02631565164073473
9,Q,0.03396761955409097
10,Q,0.03940529129937583
11,Q,0.04319289903554038
12,Q,0.04576626306187941
13,Q,0.047454243695715256
14,Q,0.04850166038495476
15,Q,0.04908924915789833
16,Q,0.049349674819916645
17,Q,0.04937987579708076
18,Q,0.04925038372659277
19,Q,0.049012279403138875
20,Q,0.048702352436430944
21,Q,0.04834691569376166
22,Q,0.04796462010298085
23,Q,0.047568529500067104
24,Q,0.04716764870025216
25,Q,0.046768047780668794
26,Q,0.046373688187458115
27,Q,0.045987028634958925
28,Q,0.045609468375828466
29,Q,0.04524167039528268
30,Q,0.044883796004229835
31,Q,0.04453567412898376
32,Q,0.04419692255140015
33,Q,0.04386703387987188
34,Q,0.04354543571629936
35,Q,0.04323153202444241
36,Q,0.04292473087866749
37,Q,0.042624462415309296
38,Q,0.042330189800801686
39,Q,0.042041415281979376
40,Q,0.0417576828282016
1,TB,-72.65088042995984
2,TB,-17.108850468646022
3,TB,3.949357879657954
4,TB,10.548367437029711
5,TB,11.394239000194796
6,TB,10.197066818312718
7,TB,8.48117293807881
8,TB,6.828365076379353
9,TB,5.424538426362956
10,TB,4.297410354518312
11,TB,3.417963362473096
12,TB,2.7422325886157157
13,TB,2.2273477078783865
14,TB,1.8367420693627727
15,TB,1.5410186779018407
16,TB,1.3172451128267608
17,TB,1.147821760625725
18,TB,1.0193648010287315
19,TB,0.9217492260507136
20,TB,0.847338096791492
21,TB,0.7903808710486309
22,TB,0.7465515665197354
23,TB,0.7125975770226891
24,TB,0.686074043253024
25,TB,0.6651435358634271
26,TB,0.6484252437170599
27,TB,0.6348815358510873
28,TB,0.6237326758235856
29,TB,0.6143927168157924
30,TB,0.6064213224591668
31,TB,0.5994875586986015
32,TB,0.5933426830566624
33,TB,0.5877996962013903
34,TB,0.5827179760569295
35,TB,0.5779917320528659
36,TB,0.5735413307068314
37,TB,0.56930677936951
38,TB,0.5652428320307167
39,TB,0.5613153141636263
40,TB,0.5574983636152682
1,C,-0.11412410732748034
2,C,-0.11140117533780283
3,C,-0.0986638667593123
4,C,-0.08459146951058866
5,C,-0.07220442520385026
6,C,-0.06223127445268976
7,C,-0.05454581747312455
8,C,-0.04876273417993325
9,C,-0.04447008174119007
10,C,-0.041308845797169376
11,C,-0.03899086464169152
12,C,-0.03729406063351675
13,C,-0.0360510289363497
14,C,-0.03513718565198007
15,C,-0.034460548638021525
16,C,-0.033953574674529065
17,C,-0.03356687973791014
18,C,-0.033264503086916385
19,C,-0.03302037398703234
20,C,-0.03281569108315989
21,C,-0.032636984791991674
22,C,-0.03247468713657668
23,C,-0.03232207720752409
24,C,-0.03217450423028065
25,C,-0.03202881569014738
26,C,-0.03188293692416753
27,C,-0.03173556260908539
28,C,-0.03158593091517583
29,C,-0.031433658717705586
30,C,-0.03127862187881805
31,C,-0.03112086876268287
32,C,-0.030960558214981445
33,C,-0.030797915509388006
34,C,-0.030633201447664918
35,C,-0.030466691049670407
36,C,-0.030298659197722677
37,C,-0.030129371289434104
38,C,-0.02995907746566235
39,C,-0.029788009361014205
40,C,-0.02961637860704816
1,N,2.983406766608734
2,N,1.181956721178232
3,N,0.42093300564650027
4,N,0.11321680766457146
5,N,-0.00042771913790326977
6,N,-0.033578761693087635
7,N,-0.03535266891673894
8,N,-0.026502027348077897
9,N,-0.015421565692606748
10,N,-0.005213743706013534
