sector,pH_ss,Yi_ss,L_ss,M_ss,Vi_ss,std_Y_m,std_PH_m,std_L_m,y_d,p_d,l_d
1,0.8443310966677503,0.17252784139990232,0.07171569587250845,0.08059750079003165,0.02278605272454957,0.01929369276029945,0.019395943149385347,0.026211651261626785,0.028136410000283395,0.12839581032311895,0.025809663932901235
2,0.8603049142846291,0.32479006161916535,0.20811885553400572,0.09616918633780465,0.02323365998079854,0.03242830450803409,0.1106826124366508,0.006509751988414193,0.040011231471509735,0.1667265432849996,0.04472775896515823
3,0.770416552228053,0.5999889893829701,0.150248707412641,0.2576358738820583,0.21310436428984725,0.018218912012641413,0.013173905237458716,0.021069096325887555,0.02378311037509565,0.05278452945638629,0.028215742435467414
4,0.769912453923872,0.08954127370577991,0.03728247096814927,0.02612168755611984,0.028916824359229064,0.027188297067424972,0.01873504379905762,0.0492961120707533,0.05208632454629945,0.12662819364124472,0.022780204417362074
5,0.8362388907336653,0.018865477076449127,0.007923311449310216,0.008368707150894888,0.002894814761695591,0.03492614146002876,0.016045228879750902,0.048393725949566584,0.05542251199527684,0.0350728297008308,0.045993141145947145
6,0.8546276719570302,0.12723340101451913,0.06247817402111405,0.05207931286486204,0.014355219692203127,0.030766950882219816,0.024328836417207653,0.05178789343187749,0.060920357491448626,0.025720034292135735,0.029944905175268738
7,0.8145889016299477,0.21426203140467504,0.09741309495091886,0.07496421961854767,0.04691021952375695,0.027417105807536788,0.017251720748523734,0.05316865181287254,0.05385280662700315,0.030682476821033478,0.0267685584317378
8,0.8451102465973583,0.11394380332774151,0.04663952675408811,0.04984508477680495,0.01977937268073748,0.028567495324085045,0.01578194776980647,0.041916861859273534,0.027598162844396982,0.04696457772408393,0.04593886723146957
9,0.8716777551978532,0.12351319801177786,0.09738246890200583,0.023502971833232515,0.0030140380645653185,0.029431793197424633,0.01648290757949204,0.03108964337229908,0.015952639648796115,0.01944523299201208,0.028984767311945367
10,0.8597550669374429,0.13439029836897748,0.09249666667134132,0.03263332291658178,0.010515972706332196,0.022305650002841286,0.016163519136556205,0.03745264382686331,0.03627111918218334,0.017219798795357646,0.025516747039704926
11,0.8422167211889954,0.13704808551665593,0.0945342077546429,0.02843775539063418,0.015852074804798496,0.032140135556333965,0.017938478058020065,0.09547059281160235,0.0759943972619935,0.0385005809562622,0.019678592745339802
12,0.8335749806289133,0.004205070865294557,0.0029663343541549026,0.0007389324604745358,0.0005610703646251704,0.023564112191725075,0.017464531692299175,0.024148146538873445,0.008166392626721586,0.018182707120174616,0.04258593753759306
