sector,pH_ss,Yi_ss,L_ss,M_ss,Vi_ss,std_Y_m,std_PH_m,std_L_m,y_d,p_d,l_d
1,0.7664099972570216,0.22899103000675242,0.04750724930394993,0.14692784306924592,0.036862777791124915,0.06246076688588871,0.016232616793399487,0.06555896026466905,0.398020268458774,0.12755778523020633,0.1254752831369702
2,0.7741296303505939,0.6801280569441893,0.12581426280170635,0.46032579536225826,0.1006233167038467,0.02295693477949767,0.025858513011743307,0.09719859122467636,0.06537619570240252,0.1667265432849996,0.04472775896515823
3,0.7368278966513682,1.0758760560676572,0.1452985286470657,0.5384160273418863,0.40940447597829704,0.039289832061389744,0.029595258084143795,0.11687763852044657,0.03803042408464101,0.05278452945638629,0.03017208486847912
4,0.7202365018164376,0.1566982303969391,0.024965256008032947,0.0661205273772368,0.06812652677716763,0.07349829311946894,0.015758416769492772,0.06932697795493012,0.063021741707141,0.12662819364124472,0.02381368614358223
5,0.7521881456832089,0.09009726130067654,0.029536222404790632,0.04788816428895211,0.013588344057146661,0.11308583905061019,0.01813699263873995,0.15853706097936707,0.0737025779099151,0.0350728297008308,0.045993141145947145
6,0.7513647985185825,0.08082242288545982,0.03229898052833062,0.03984790997508957,0.0094639290091035,0.027182128134234033,0.02297671492906987,0.07841303299021461,0.07525188341144529,0.025720034292135735,0.032240952165519414
7,0.7385431865099612,0.3124773347187241,0.09924735864634723,0.14773648047937724,0.06908148243712835,0.04977078784161185,0.0166897766236557,0.025984191792983807,0.05409199349101475,0.030682476821033478,0.027658613082464697
8,0.7509273165869654,0.16040532563783022,0.06200649779516431,0.07853396487237488,0.02152699403794487,0.04591379167267903,0.01767004102135446,0.03930705644685137,0.02670396965678287,0.04696457772408393,0.04593886723146957
9,0.8116669662398768,0.14345043535611382,0.021881800912424886,0.1189458208779217,0.0032986599691745256,0.02374479271411865,0.01909974184492942,0.10266856612395692,0.019261766630448852,0.01944523299201208,0.028984767311945367
10,0.7322033144379048,0.4190783292252502,0.23683525513105239,0.15108641595284647,0.03450304435671357,0.08448233260131405,0.018477901457265827,0.11584548924913972,0.04860094117632613,0.017219798795357646,0.029087751484891424
11,0.7131637709371249,0.14248334319520675,0.1022100214603052,0.03239330455735652,0.008716155490245155,0.008597869054170587,0.018344615524330157,0.017323828982565976,0.15989910261644152,0.10068145458770679,0.02202235808998156
12,0.70540927301192,0.0020969366025883323,0.0015687900311650864,0.00038266504613169533,0.00015660263413791567,0.028986392837318454,0.018658515882294283,0.024644879517718554,0.011432925264476358,0.028692272122975954,0.04721863218767159
