moment,data,model,diff,W_diag,wdiff2
std(Y_1),0.028345145414833572,0.02193855259101752,0.006406592823816053,39.196080391960805,0.0016087808410346132
std(Y_2),0.04020199541926607,0.028609684474535237,0.011592310944730833,157.78422157784223,0.021203307674838204
std(Y_3),0.017283352572706294,0.016547178523148375,0.0007361740495579194,95.39046095390461,5.169707315321975e-5
std(Y_4),0.05373397707231422,0.04117077419456135,0.012563202877752866,27.897210278972103,0.004403130143663057
std(Y_5),0.028890735191104227,0.038871180158707844,-0.009980444967603617,64.49355064493552,0.006424156257337269
std(Y_6),0.03136053143561935,0.029735717647124037,0.0016248137884953134,126.58734126587342,0.0003341930933568812
std(Y_7),0.02701633898986303,0.0250671285344976,0.0019492104553654292,83.09169083091692,0.0003157003482474959
std(Y_8),0.027782764320644783,0.03526774615717622,-0.007484981836531436,39.09609039096091,0.0021903566302813077
std(Y_9),0.008104667024186052,0.02449305690638209,-0.016388389882196038,0.0,0.0
std(Y_10),0.02545527790869288,0.026833153440588432,-0.0013778755318955525,97.49025097490252,0.00018508923676247783
std(Y_11),0.03661309498421405,0.019803372374853082,0.016809722609360967,132.68673132686732,0.03749286165066079
std(Y_12),0.008209067676722047,0.0010275555026279227,0.007181512174094124,0.0,0.0
std(PH_1),0.11700676004649013,0.026269168663923693,0.09073759138256644,39.196080391960805,0.32271349985447073
std(PH_2),0.13167729769437686,0.14484711344097545,-0.01316981574659859,157.78422157784223,0.02736673391154725
std(PH_3),0.050086995917430564,0.014002509912781454,0.03608448600464911,95.39046095390461,0.12420697772518854
std(PH_4),0.09363146193513253,0.03434785598706996,0.05928360594806257,27.897210278972103,0.09804602696162779
std(PH_5),0.008848832373071639,0.01588120081495236,-0.007032368441880722,64.49355064493552,0.003189477332968917
std(PH_6),0.02725461455721624,0.019746685832565416,0.0075079287246508225,126.58734126587342,0.007135601046675048
std(PH_7),0.03776535792528393,0.013331955625693226,0.024433402299590706,83.09169083091692,0.04960500389289657
std(PH_8),0.05673710394432723,0.019283503208919365,0.03745360073540786,39.09609039096091,0.0548429090437468
std(PH_9),0.018935117557210043,0.012865992191393259,0.006069125365816785,0.0,0.0
std(PH_10),0.015683909639453642,0.020627301640807595,-0.004943392001353953,97.49025097490252,0.002382381398567542
std(PH_11),0.026780605293231095,0.013944740783684705,0.01283586450954639,132.68673132686732,0.021861388590917213
std(PH_12),0.014597854455920363,0.011102158648378942,0.003495695807541421,0.0,0.0
std(L_1),0.025215348716401673,0.013583864086448879,0.011631484629952794,0.0,0.0
std(L_2),0.014639932184480585,0.028902179712990847,-0.014262247528510262,0.0,0.0
std(L_3),0.015173648057538795,0.010520472671828937,0.004653175385709857,0.0,0.0
