NK-SOE Chile — Moment fit (Exercise: Exercise 2: TFP shock to Manufacturing, source: Dynare (QZ))
==================================================================================
Moment                                       Data      Model       Diff     W*Diff^2
----------------------------------------------------------------------------------
std(Y_1)                                  0.39802    0.06246   +0.33556     0.710769
std(Y_2)                                  0.06538    0.02296   +0.04242     0.421005
std(Y_3)                                  0.03803    0.03929   -0.00126     0.001097
std(Y_4)                                  0.06302    0.07350   -0.01048     0.027635
std(Y_5)                                  0.07370    0.11309   -0.03938     0.285534
std(Y_6)                                  0.07525    0.02718   +0.04807     0.408046
std(Y_7)                                  0.05409    0.04977   +0.00432     0.006382
std(Y_8)                                  0.02670    0.04591   -0.01921     0.517482
std(Y_9)                                  0.01926    0.02374   -0.00448     0.054169
std(Y_10)                                 0.04860    0.08448   -0.03588     0.545066
std(Y_11)                                 0.15990    0.00860   +0.15130     0.895350
std(Y_12)                                 0.01143    0.02899   -0.01755     2.357280
std(PH_1)                                 0.12756    0.01623   +0.11133     0.761680
std(PH_2)                                 0.16673    0.02586   +0.14087     0.713864
std(PH_3)                                 0.05278    0.02960   +0.02319     0.193002
std(PH_4)                                 0.12663    0.01576   +0.11087     0.766594
std(PH_5)                                 0.03507    0.01814   +0.01694     0.233169
std(PH_6)                                 0.02572    0.02298   +0.00274     0.011377
std(PH_7)                                 0.03068    0.01669   +0.01399     0.207980
std(PH_8)                                 0.04696    0.01767   +0.02929     0.389074
std(PH_9)                                 0.01945    0.01910   +0.00035     0.000316
std(PH_10)                                0.01722    0.01848   -0.00126     0.005338
std(PH_11)                                0.10068    0.01834   +0.08234     0.668789
std(PH_12)                                0.02869    0.01866   +0.01003     0.122292
std(L_1)                                  0.12548    0.06556   +0.05992     0.228021
std(L_2)                                  0.04473    0.09720   -0.05247     1.376200
std(L_3)                                  0.03017    0.11688   -0.08671     8.258158
std(L_4)                                  0.02381    0.06933   -0.04551     3.652778
std(L_5)                                  0.04599    0.15854   -0.11254     5.987671
std(L_6)                                  0.03224    0.07841   -0.04617     2.050894
std(L_7)                                  0.02766    0.02598   +0.00167     0.003665
std(L_8)                                  0.04594    0.03931   +0.00663     0.020840
std(L_9)                                  0.02898    0.10267   -0.07368     6.462557
std(L_10)                                 0.02909    0.11585   -0.08676     8.896028
std(L_11)                                 0.02202    0.01732   +0.00470     0.045519
std(L_12)                                 0.04722    0.02464   +0.02257     0.228550
std(GDP)                                  0.04146    0.06292   -0.02146     0.267850
std(pi)                                   0.02179    0.01459   +0.00720     0.109292
corr(GDP, pi)                            -0.02336   -0.49524   +0.47188     0.044534
std(TB/GDP)                               0.03464    0.05120   -0.01656     0.228500
std(Q)                                    0.04348    0.02731   +0.01616     0.138223
autocorr(Q)                               0.71643    0.09968   +0.61675     0.760753
corr(GDP, Q)                              0.13653    0.67853   -0.54200     0.293760
rank corr: output (model vs data)         1.00000    0.03497   +0.96503     4.656462
rank corr: prices (model vs data)         1.00000   -0.23077   +1.23077     7.573964
rank corr: labor  (model vs data)         1.00000    0.12587   +0.87413     3.820480
----------------------------------------------------------------------------------
TOTAL LOSS                                                                 65.407990
