period,variable,value
1,GDP,-0.6511237836834971
2,GDP,-0.5992650237866013
3,GDP,-0.5537462821947545
4,GDP,-0.513473763943354
5,GDP,-0.4775929407818862
6,GDP,-0.4454371615150863
7,GDP,-0.41647703629956667
8,GDP,-0.3902849484191318
9,GDP,-0.3665099989016368
10,GDP,-0.34486011459008636
11,GDP,-0.3250891063874985
12,GDP,-0.3069871776031898
13,GDP,-0.29037385981545616
14,GDP,-0.2750926743951031
15,GDP,-0.26100703441677015
16,GDP,-0.24799704879685147
17,GDP,-0.23595699103894455
18,GDP,-0.2247932641266437
19,GDP,-0.21442274099664035
20,GDP,-0.20477139342585587
21,GDP,-0.19577314563241913
22,GDP,-0.18736890550469298
23,GDP,-0.1795057382319603
24,GDP,-0.17213615564870022
25,GDP,-0.16521750080779288
26,GDP,-0.1587114118485945
27,GDP,-0.15258335259821912
28,GDP,-0.1468021998706691
29,GDP,-0.14133987934250591
30,GDP,-0.1361710433511533
31,GDP,-0.13127278510070448
32,GDP,-0.12662438465491999
33,GDP,-0.12220708280903723
34,GDP,-0.1180038795054837
35,GDP,-0.11399935392609105
36,GDP,-0.110179503778911
37,GDP,-0.10653160161905119
38,GDP,-0.10304406631342725
39,GDP,-0.0997063479890762
40,GDP,-0.09650882500138803
41,GDP,-0.09344271162825506
42,GDP,-0.09049997534333107
43,GDP,-0.08767326264999889
44,GDP,-0.08495583257016996
45,GDP,-0.08234149698103414
46,GDP,-0.07982456708024945
47,GDP,-0.07739980533738751
48,GDP,-0.07506238235804054
49,GDP,-0.07280783814795073
50,GDP,-0.07063204731877622
51,GDP,-0.06853118782545795
52,GDP,-0.06650171286828646
53,GDP,-0.06454032563127791
54,GDP,-0.06264395656287958
55,GDP,-0.06080974293578423
56,GDP,-0.05903501045014221
57,GDP,-0.057317256669073884
58,GDP,-0.05565413609740704
59,GDP,-0.05404344673428041
60,GDP,-0.05248311794790214
61,GDP,-0.05097119953655417
62,GDP,-0.049505851854082565
63,GDP,-0.04808533689078539
64,GDP,-0.046708010211955905
