sector,name,share,alphaV,direct_mc,network_mc,total_mc,amp_ratio,mc_irf,y_irf,ph_irf,yi_ss
1,Agropecuario-silvicola y Pesca,0.1635,0.11267980737410566,0.1755913596636833,0.5040313639667203,0.6796227236304037,3.870479304517662,0.2449933275105028,-0.11332662065089766,0.13912678326708322,0.21101178344286053
2,Mineria,0.2164,0.10202911974240136,0.2104363135051029,0.47159932895292683,0.6820356424580297,3.241054887808092,0.2878968349006136,-0.14609333024339988,0.20500996225803758,0.16005921048475533
3,Industria manufacturera,0.189,0.2823842734252001,0.5086764120199131,0.46933427233582303,0.9780106843557361,1.922657825772055,0.5336650881230935,-0.2686496191453313,0.3224445646633469,0.8345985835095923
4,Electricidad gas agua y gestion de desechos,0.0871,0.33372064900528253,0.27703875278226364,0.3204667260097789,0.5975054787920425,2.1567577560589406,0.1787844589980319,-0.22843999791967984,0.12879759958358114,0.1838106535137626
5,Construccion,0.0417,0.10854391091259312,0.043140066406151964,0.4564998312892545,0.49963989769540645,11.581806411502315,0.05797910641039929,-0.28367152769059906,0.051398415212595604,0.21297813797868967
6,Comercio hoteles y restaurantes,0.0793,0.08441042852410598,0.06379822284154178,0.3678121520378867,0.4316103748794285,6.765241344597271,0.07206596543971523,-0.2285118744424135,0.046557880754435094,0.1409821382744031
7,Transporte comunicaciones y servicios de informacion,0.3734,0.16349121658596374,0.5818459664864736,0.42176157183202057,1.0036075383184941,1.7248680855843408,0.6941986352029533,-0.39454411520159777,0.563825093908317,0.33380779385124654
8,Intermediacion financiera,0.0043,0.09682701332741028,0.003968298021565033,0.1733095370432991,0.17727783506486414,44.67351849621128,-0.12076776655908208,-0.18392986706246967,-0.10677868987690729,0.2476134881716541
9,Servicios inmobiliarios y de vivienda,0.0449,0.014781863793062849,0.006325790810859775,0.3867248300327092,0.39305062084356895,62.13462199363295,0.00395202608481094,-0.21523838798465983,0.0027911237465848234,0.215825003683307
10,Servicios empresariales,0.0633,0.061669567542453944,0.03720607882396314,0.1971935128583463,0.23439959168230942,6.300034808595331,-0.0477127901644099,-0.16912777572957136,-0.044755347053090005,0.4091712359106471
11,Servicios personales,0.0391,0.04764892847446154,0.0177569832469028,0.17558218430912967,0.19333916755603248,10.888063860157946,-0.08575252932637853,-0.13264871280458798,-0.08097306716064703,0.20982395495016415
12,Administracion publica,0.0447,0.05912259364749133,0.02518838308875075,0.13787480560065313,0.1630631886894039,6.473745778554109,-0.09559922352628245,-0.10816475952046645,-0.09169944311211708,0.06986557024448087
