period,variable,value
1,GDP,-0.4907855038675376
2,GDP,-0.43984407716272633
3,GDP,-0.3963309115005376
4,GDP,-0.35881885854318796
5,GDP,-0.32623166396804437
6,GDP,-0.2977452928391264
7,GDP,-0.27271727169819215
8,GDP,-0.25063768343651543
9,GDP,-0.23109489123170557
10,GDP,-0.21375133149301748
11,GDP,-0.1983262297305801
12,GDP,-0.1845831076638506
13,GDP,-0.1723206311304602
14,GDP,-0.1613658071496143
15,GDP,-0.15156884849267963
16,GDP,-0.14279923436584238
17,GDP,-0.13494263901727033
18,GDP,-0.12789849808409068
19,GDP,-0.12157804991027904
20,GDP,-0.11590273570424933
21,GDP,-0.11080287486657645
22,GDP,-0.1062165545626532
23,GDP,-0.10208868866483768
24,GDP,-0.09837021260140444
25,GDP,-0.09501738883223534
26,GDP,-0.09199120359020733
27,GDP,-0.08925683984991731
28,GDP,-0.08678321467483889
29,GDP,-0.08454257147332472
30,GDP,-0.08251011948974238
31,GDP,-0.08066371422940707
32,GDP,-0.07898357357835228
33,GDP,-0.07745202521240724
34,GDP,-0.07605328155273791
35,GDP,-0.07477323905905153
36,GDP,-0.07359929908769955
37,GDP,-0.07252020790240604
38,GDP,-0.07152591372689233
39,GDP,-0.07060743898362601
40,GDP,-0.06975676608058615
1,pi,0.017400233319621542
2,pi,0.026502475925196625
3,pi,0.021095861592970024
4,pi,0.017106319943217835
5,pi,0.01416520263868017
6,pi,0.011939400189642548
7,pi,0.010211114080283213
8,pi,0.00883661632808136
9,pi,0.007719933413745898
10,pi,0.006796029811452682
11,pi,0.006020041930702067
12,pi,0.005360368593555667
13,pi,0.004794222057381288
14,pi,0.004304750888992055
15,pi,0.0038791686333073242
16,pi,0.0035075274812137926
17,pi,0.003181906774519402
18,pi,0.0028958693573067013
19,pi,0.0026440917618025875
20,pi,0.0024221079834439918
21,pi,0.002226128137468062
22,pi,0.0020529070404009544
23,pi,0.0018996465507924996
24,pi,0.0017639211333294383
25,pi,0.0016436197242136344
26,pi,0.0015368993026227355
27,pi,0.0014421470776919928
28,pi,0.0013579491787906073
29,pi,0.0012830643776739104
30,pi,0.001216401794822606
31,pi,0.001157001825874714
32,pi,0.001104019716722523
33,pi,0.0010567113491266795
34,pi,0.001014420892846626
35,pi,0.0009765700483632333
36,pi,0.0009426486547295848
37,pi,0.000912206475439741
38,pi,0.0008848460050698725
39,pi,0.0008602161632219498
40,pi,0.0008380067616013036
1,Q,-0.10255183870782171
2,Q,-0.1188899696443459
3,Q,-0.11578082032352276
4,Q,-0.10179284755897022
5,Q,-0.08233995413927199
6,Q,-0.0606939583082355
7,Q,-0.03878391824721926
8,Q,-0.01770245818843772
9,Q,0.0019740931591278052
10,Q,0.01998382019895802
11,Q,0.03625239146460117
12,Q,0.05081381221218437
13,Q,0.06376129414406144
14,Q,0.07521714439879452
15,Q,0.08531462614495036
16,Q,0.09418731943661017
17,Q,0.10196314942919622
18,Q,0.10876129067186152
19,Q,0.11469081802656811
20,Q,0.11985039494546092
21,Q,0.12432855628500471
22,Q,0.12820431150760125
23,Q,0.1315479006376788
24,Q,0.13442160236957829
25,Q,0.13688053569575875
26,Q,0.13897342251476746
27,Q,0.14074329472681948
28,Q,0.14222813904144807
29,Q,0.14346147846324112
30,Q,0.1444728926831337
31,Q,0.1452884813307206
32,Q,0.14593127483547394
33,Q,0.1464215978778885
34,Q,0.14677739032093395
35,Q,0.14701449024411403
36,Q,0.147146883346767
37,Q,0.1471869225982671
38,Q,0.14714552162241606
39,Q,0.14703232492951293
40,Q,0.14685585776171592
1,TB,-10.492246773264867
2,TB,-7.941831038288214
3,TB,-6.131475256676725
4,TB,-4.816481957917841
5,TB,-3.8343514080161305
6,TB,-3.0792484887927127
7,TB,-2.481886757207367
8,TB,-1.9966002840371329
9,TB,-1.5930254031459985
10,TB,-1.2507416327981167
11,TB,-0.9558139742686876
12,TB,-0.6985582208813466
13,TB,-0.4720938604973421
14,TB,-0.2714048257024155
15,TB,-0.09272817106589189
16,TB,0.06684517377867824
17,TB,0.20963226582858074
18,TB,0.33753084421116775
19,TB,0.45213403384277434
20,TB,0.5548072426762876
21,TB,0.6467403434331617
22,TB,0.7289836436536146
23,TB,0.8024731774572627
24,TB,0.8680489257432644
25,TB,0.9264683198672503
26,TB,0.9784165693436223
27,TB,1.0245148233170833
28,TB,1.0653268291424012
29,TB,1.1013645250828894
30,TB,1.133092856134153
31,TB,1.160934005146052
32,TB,1.1852711680561419
33,TB,1.2064519606063233
34,TB,1.22479151683024
35,TB,1.2405753219165925
36,TB,1.2540618105202972
37,TB,1.2654847540721001
38,TB,1.2750554557233003
39,TB,1.2829647683329157
40,TB,1.289384948755035
1,C,-0.25623433135586243
2,C,-0.2639098284318236
3,C,-0.2618321026798356
4,C,-0.254279139494691
5,C,-0.24396033770612044
6,C,-0.2325143495729005
7,C,-0.22090851860648747
8,C,-0.20969191240493848
9,C,-0.19915531978478626
10,C,-0.18943215547487285
11,C,-0.18056185957977575
12,C,-0.1725295189852924
13,C,-0.1652904375152799
14,C,-0.15878520044860944
15,C,-0.1529487552055863
16,C,-0.1477157426611778
17,C,-0.14302349482156335
18,C,-0.13881359409873784
19,C,-0.13503255868833716
