period,variable,value
1,GDP,-0.18576798256963623
2,GDP,-0.16209848129116386
3,GDP,-0.14426489848419424
4,GDP,-0.12900788132959506
5,GDP,-0.11545351370449243
6,GDP,-0.103292839284208
7,GDP,-0.09235801136714877
8,GDP,-0.08252195746521357
9,GDP,-0.07367476293803327
10,GDP,-0.06571794977779515
11,GDP,-0.05856271964724938
12,GDP,-0.05212899877646777
13,GDP,-0.04634463749343402
14,GDP,-0.04114466341526742
15,GDP,-0.03647058591392063
16,GDP,-0.03226975761410829
17,GDP,-0.028494794028276173
18,GDP,-0.02510304882068161
19,GDP,-0.022056140579428226
20,GDP,-0.019319526537436963
21,GDP,-0.016862118780705346
22,GDP,-0.014655938784259121
23,GDP,-0.012675806476196544
24,GDP,-0.01089906038904577
25,GDP,-0.009305305793947503
26,GDP,-0.007876188020827483
27,GDP,-0.006595188446430993
28,GDP,-0.005447440883576167
29,GDP,-0.004419566331541911
30,GDP,-0.0034995242514839747
31,GDP,-0.002676478714375333
32,GDP,-0.001940677934216409
33,GDP,-0.0012833458479863113
34,GDP,-0.0006965845376596777
35,GDP,-0.00017328641008159168
36,GDP,0.0002929448410861079
37,GDP,0.0007078653695549229
38,GDP,0.001076655197123223
39,GDP,0.0014039758322614872
40,GDP,0.001694022126782678
1,pi,0.03685427011701526
2,pi,0.053196264226637875
3,pi,0.02936864774769211
4,pi,0.020310260785242847
5,pi,0.01605136117770207
6,pi,0.01357589946278727
7,pi,0.011853322510738128
8,pi,0.01049884522652633
9,pi,0.009357689504710954
10,pi,0.008362221812963774
11,pi,0.007479368624845935
12,pi,0.006690383668049852
13,pi,0.005982825489908062
14,pi,0.0053472950616716
15,pi,0.004776068587109873
16,pi,0.004262497172388531
17,pi,0.003800721950663299
18,pi,0.0033855219679325825
19,pi,0.0030122201051337003
20,pi,0.0026766160898174353
21,pi,0.002374933542801199
22,pi,0.002103775377651074
23,pi,0.001860084939837879
24,pi,0.0016411115696113039
25,pi,0.0014443798352873362
26,pi,0.0012676619391158172
27,pi,0.0011089529232606657
28,pi,0.0009664483725018608
29,pi,0.0008385243540573189
30,pi,0.0007237193665841251
31,pi,0.0006207180956361863
32,pi,0.000528336794160497
33,pi,0.0004455101251971306
34,pi,0.0003712793204204925
35,pi,0.0003047815228765559
36,pi,0.0002452401954701292
37,pi,0.000191956488615783
38,pi,0.00014430147113112784
39,pi,0.00010170913804607208
40,pi,6.367011763548197e-5
1,Q,-0.4957269778901203
2,Q,-0.5247817751995235
3,Q,-0.501910269191956
4,Q,-0.4645060557688187
5,Q,-0.42461172798448715
6,Q,-0.3862846441253625
7,Q,-0.3508142048183822
8,Q,-0.3184820422650362
9,Q,-0.289201379307639
10,Q,-0.26275918490528943
11,Q,-0.23890940987799453
12,Q,-0.2174085169196927
13,Q,-0.19802826797839693
14,Q,-0.1805595142900861
15,Q,-0.16481247260265308
16,Q,-0.15061569124848748
17,Q,-0.13781459171150842
18,Q,-0.12626993759826746
19,Q,-0.11585636589024811
20,Q,-0.106461027142925
21,Q,-0.09798234576120139
22,Q,-0.09032889755348751
23,Q,-0.08341839670312622
24,Q,-0.0771767828446671
25,Q,-0.07153739892331931
26,Q,-0.0664402510513807
27,Q,-0.061831342286176226
28,Q,-0.057662072990321216
29,Q,-0.05388870113871185
30,Q,-0.05047185658726447
31,Q,-0.04737610391138796
32,Q,-0.04456954895900559
33,Q,-0.04202348474744152
34,Q,-0.0397120727701203
35,Q,-0.03761205617224262
36,Q,-0.03570250160860436
37,Q,-0.033964566915373716
38,Q,-0.03238129201444443
39,Q,-0.030937410727115183
40,Q,-0.02961918140616705
1,TB,0.43585504609281167
2,TB,2.099393014322564
3,TB,2.4042763126525855
4,TB,2.2881673262978466
5,TB,2.0453170164140153
6,TB,1.7754518968775928
7,TB,1.5132620092915858
8,TB,1.2702251331445753
9,TB,1.0492386309515673
10,TB,0.8500202567136796
11,TB,0.671167844997961
12,TB,0.5109563916123273
13,TB,0.3676445894883561
14,TB,0.23958764926075218
15,TB,0.12527316611111855
16,TB,0.023326660486249866
17,TB,-0.06749441697360105
18,TB,-0.14831062321599756
19,TB,-0.22013135684529855
20,TB,-0.28386539936299204
21,TB,-0.34033073447587503
22,TB,-0.3902635256159518
23,TB,-0.4343262550381326
24,TB,-0.47311507420161425
25,TB,-0.5071664298376967
26,TB,-0.5369630319840916
27,TB,-0.5629392271669112
28,TB,-0.5854858350951677
29,TB,-0.6049545020368194
30,TB,-0.6216616190024914
31,TB,-0.6358918481677406
32,TB,-0.6479012966720609
33,TB,-0.6579203730406527
34,TB,-0.6661563579597151
35,TB,-0.6727957179669424
36,TB,-0.6780061877644967
37,TB,-0.6819386442917337
38,TB,-0.6847287933815539
39,TB,-0.6864986877420064
40,TB,-0.6873580931306781
1,C,-0.20034609146871077
2,C,-0.21513427272302968
3,C,-0.2040324900897882
4,C,-0.18569471849641614
5,C,-0.16612722854700057
6,C,-0.14735257339068203
7,C,-0.13001251004629374
8,C,-0.11424615925717041
9,C,-0.10000897673891934
10,C,-0.0871935558633677
11,C,-0.07567613267712156
12,C,-0.0653343012862994
13,C,-0.05605338339843996
14,C,-0.047728309832752676
15,C,-0.04026374981236783
16,C,-0.033573587427507254
17,C,-0.027580187065366336
18,C,-0.022213623310512808
19,C,-0.017410942541728956
20,C,-0.013115479446148
21,C,-0.009276233947604191
22,C,-0.0058473071028801735
23,C,-0.0027873919982040985
24,C,-5.9314958838339085e-5
25,C,0.002370377615886827
26,C,0.0045317912088997415
27,C,0.006452017991961516
28,C,0.008155438171041685
29,C,0.009663991205326313
30,C,0.010997419907663791
31,C,0.01217349013623349
32,C,0.013208188517426868
33,C,0.014115900396439554
34,C,0.014909569992641113
35,C,0.015600844539176364
36,C,0.016200204008347548
37,C,0.016717077864188707
38,C,0.017159950139510438
39,C,0.01753645400496802
40,C,0.017853456880952835
1,N,0.22703143489426583
2,N,0.18554896863624967
3,N,0.1588670560317733
4,N,0.13824805571869936
5,N,0.12090382996962962
6,N,0.10576708516139043
7,N,0.09234628921109482
8,N,0.08036564805701653
9,N,0.06963965449277643
10,N,0.06002587319019065
11,N,0.051405944575792784
12,N,0.043677355327379395
13,N,0.036749499590788076
14,N,0.030541523005183632
15,N,0.0249809477918539
16,N,0.02000266825095238
17,N,0.015548143488294251
18,N,0.011564711356986682
19,N,0.008004988035833112
20,N,0.00482633484647631
21,N,0.001990381441490889
22,N,-0.000537402027151185
23,N,-0.0027880894019080716
24,N,-0.004789644326738183
25,N,-0.0065672313715501515
26,N,-0.008143496000280307
27,N,-0.00953881652310671
28,N,-0.010771530845073417
29,N,-0.011858140536084416
30,N,-0.01281349449211366
31,N,-0.013650954229367131
32,N,-0.014382542648473322
33,N,-0.015019077921861631
34,N,-0.015570293992081641
35,N,-0.0160449490200018
36,N,-0.016450922987915263
37,N,-0.01679530554207065
38,N,-0.01708447505069011
39,N,-0.01732416975592995
40,N,-0.01751955181039254
1,w,-0.17366074804315085
2,w,-0.24471957680980952
3,w,-0.24919792414780295
4,w,-0.2331413812741328
5,w,-0.2113506271243715
6,w,-0.18893806161997365
7,w,-0.16767873088149277
8,w,-0.14812667045732433
9,w,-0.13037829898506237
10,w,-0.11436123853654488
11,w,-0.0999463207784505
12,w,-0.08699124724521957
13,w,-0.07535726720609205
14,w,-0.06491509666032196
15,w,-0.055546551832881964
16,w,-0.047144506604062324
17,w,-0.039612230642438635
18,w,-0.03286253526403916
19,w,-0.026816897047625007
20,w,-0.021404624045819918
