period,variable,value
1,GDP,-0.09450792841721632
2,GDP,-0.07826095272457377
3,GDP,-0.06873283146736042
4,GDP,-0.06132269058102742
5,GDP,-0.054928666437822606
6,GDP,-0.049239495613916336
7,GDP,-0.04413542459013825
8,GDP,-0.039546737707013696
9,GDP,-0.035419521387196
10,GDP,-0.031707185905084055
11,GDP,-0.02836817359254369
12,GDP,-0.02536513455727591
13,GDP,-0.022664452844435096
14,GDP,-0.020235869746863106
15,GDP,-0.018052150567312637
16,GDP,-0.016088783783682982
17,GDP,-0.01432370931173946
18,GDP,-0.012737073493291643
19,GDP,-0.01131100844096383
20,GDP,-0.010029433421231602
21,GDP,-0.00887787610554332
22,GDP,-0.007843311707379185
23,GDP,-0.006914018213936399
24,GDP,-0.006079446099724178
25,GDP,-0.005330101071601286
26,GDP,-0.004657438540774765
27,GDP,-0.004053768648345316
28,GDP,-0.0035121707886787965
29,GDP,-0.003026416680641611
30,GDP,-0.002590901131827465
31,GDP,-0.002200579726435658
32,GDP,-0.0018509127444167757
33,GDP,-0.001537814688750055
34,GDP,-0.0012576088600349455
35,GDP,-0.0010069864736632645
36,GDP,-0.000782969865312614
37,GDP,-0.000582879375928164
38,GDP,-0.0004043035482433139
39,GDP,-0.0002450723036848442
40,GDP,-0.00010323280162362724
1,pi,0.04333177910729394
2,pi,0.05807573696214367
3,pi,0.03157069625749279
4,pi,0.02180251815628744
5,pi,0.01724545381862421
6,pi,0.014580771075146385
7,pi,0.012707675674223566
8,pi,0.01122281445369455
9,pi,0.009965721017052122
10,pi,0.008866488136037184
11,pi,0.007890705886180155
12,pi,0.0070185723009955495
13,pi,0.0062367057598318
14,pi,0.005534846375163199
15,pi,0.004904482259013041
16,pi,0.004338246891392427
17,pi,0.0038296309800263965
18,pi,0.003372825880090319
19,pi,0.0029626244554627566
20,pi,0.0025943489398063996
21,pi,0.00226379303366529
22,pi,0.0019671726914637687
23,pi,0.0017010830324016549
24,pi,0.0014624600610828012
25,pi,0.0012485464254506993
26,pi,0.001056860686772759
27,pi,0.0008851696996066174
28,pi,0.000731463769390576
29,pi,0.0005939343008973901
30,pi,0.0004709536846633984
31,pi,0.0003610571959849944
32,pi,0.0002629267045418277
33,pi,0.00017537601329304164
34,pi,9.733766359500197e-5
35,pi,2.785105986519342e-5
36,pi,-3.39482181851567e-5
37,pi,-8.883803451654056e-5
38,pi,-0.00013751835380927536
39,pi,-0.0001806190327879845
40,pi,-0.00021870683239580768
1,Q,-0.5666499033514316
2,Q,-0.5960781619156197
3,Q,-0.5687785062253732
4,Q,-0.5263787392199362
5,Q,-0.4817449739689363
6,Q,-0.4390844788199338
7,Q,-0.3996865651621524
8,Q,-0.363800296802655
9,Q,-0.3313022029996121
10,Q,-0.3019450178524605
11,Q,-0.2754520090161315
12,Q,-0.25155230787299726
13,Q,-0.22999328305754144
14,Q,-0.2105439499682484
15,Q,-0.1929949341156256
16,Q,-0.17715718057980612
17,Q,-0.16286028001235014
18,Q,-0.14995075201223343
19,Q,-0.13829041366457215
20,Q,-0.12775487543532224
21,Q,-0.11823217260407909
22,Q,-0.10962152734849064
23,Q,-0.10183223202146449
24,Q,-0.09478264300825817
25,Q,-0.08839927473693292
26,Q,-0.08261598409242364
27,Q,-0.07737323630590318
28,Q,-0.07261744421931389
29,Q,-0.06830037360765372
30,Q,-0.06437860796179379
31,Q,-0.06081306678942082
32,Q,-0.05756857208385512
33,Q,-0.05461345814462917
34,Q,-0.05191922041494557
35,Q,-0.04946019943445834
36,Q,-0.0472132963959077
37,Q,-0.045157717145255176
38,Q,-0.043274741780989404
39,Q,-0.04154751729269936
40,Q,-0.03996087093499969
1,TB,4.41661502213048
2,TB,5.771749691928169
3,TB,5.628952087114559
4,TB,5.074317572622851
5,TB,4.429408160082397
6,TB,3.797103712170733
7,TB,3.209872117809136
8,TB,2.6758866140064828
9,TB,2.194722774157087
10,TB,1.7630184974486331
11,TB,1.3765792498957337
12,TB,1.0311642616794303
13,TB,0.7227691784474597
14,TB,0.4477138929467946
15,TB,0.20265527827781907
16,TB,-0.01542806625049707
17,TB,-0.20926040431935064
18,TB,-0.38129544149105565
19,TB,-0.533742080078228
20,TB,-0.6685883586794249
21,TB,-0.7876233143646949
22,TB,-0.8924567910560725
23,TB,-0.9845373226424993
24,TB,-1.0651682511674727
25,TB,-1.1355222430496317
26,TB,-1.1966543578253894
27,TB,-1.2495138117473794
28,TB,-1.2949545657296901
29,TB,-1.3337448547705446
30,TB,-1.3665757645199113
31,TB,-1.39406895019906
32,TB,-1.4167835836036877
33,TB,-1.4352226053684063
34,TB,-1.4498383519608569
35,TB,-1.461037619930428
36,TB,-1.4691862236855768
37,TB,-1.4746130974469869
38,TB,-1.4776139869593385
39,TB,-1.4784547719863188
40,TB,-1.4773744565110702
1,C,-0.20030137331565803
2,C,-0.21545357318179803
3,C,-0.20235315662597567
4,C,-0.1817621202218246
5,C,-0.1600939315310559
6,C,-0.13944273384839062
7,C,-0.1204473920114947
8,C,-0.10322823160977082
9,C,-0.0877201211814671
10,C,-0.07379653145631669
11,C,-0.061316561269267884
12,C,-0.05014253160223567
13,C,-0.040146129283324616
14,C,-0.031210081263035372
15,C,-0.023228112177795586
16,C,-0.016104278724677987
17,C,-0.009752114893221395
18,C,-0.004093757887828588
19,C,0.0009408816973399282
20,C,0.005414884575736567
21,C,0.009385018414407656
22,C,0.012902367009387454
23,C,0.016012897838293745
24,C,0.018757973400865574
25,C,0.021174811653618925
26,C,0.023296900496723335
27,C,0.02515437085200043
28,C,0.026774332449304446
29,C,0.028181176040437312
30,C,0.029396845393599446
31,C,0.030441082088523617
32,C,0.03133164583146532
33,C,0.03208451273774741
34,C,0.03271405378497768
35,C,0.03323319541982551
36,C,0.03365356410299024
37,C,0.03398561639854529
