period,variable,value
1,GDP,-0.31025125939781656
2,GDP,-0.29181558761287557
3,GDP,-0.27225522497166693
4,GDP,-0.25316069114004613
5,GDP,-0.23532524257579387
6,GDP,-0.21898895896522197
7,GDP,-0.204153778887148
8,GDP,-0.19073187507551354
9,GDP,-0.1786074350534788
10,GDP,-0.16766120892776595
11,GDP,-0.15777973907443
12,GDP,-0.14885840516263152
13,GDP,-0.14080201997005276
14,GDP,-0.13352449142882217
15,GDP,-0.12694816153876637
16,GDP,-0.1210030652671543
17,GDP,-0.11562620354228194
18,GDP,-0.1107608642078184
19,GDP,-0.1063560006441074
20,GDP,-0.10236566827411502
21,GDP,-0.09874851564473462
22,GDP,-0.09546732565707809
23,GDP,-0.09248860236145948
24,GDP,-0.08978219894112704
25,GDP,-0.08732098284183475
26,GDP,-0.08508053436475645
27,GDP,-0.08303887539000686
28,GDP,-0.08117622522348958
29,GDP,-0.07947478085720668
30,GDP,-0.07791851920273711
31,GDP,-0.07649301910102037
32,GDP,-0.07518530113100813
33,GDP,-0.0739836834373816
34,GDP,-0.07287765197546374
35,GDP,-0.07185774373162289
36,GDP,-0.0709154416216246
37,GDP,-0.07004307989914105
38,GDP,-0.06923375902340248
39,GDP,-0.06848126904007759
40,GDP,-0.06778002062406005
1,pi,0.022290643404324385
2,pi,0.013595363112846466
3,pi,0.009792560327070909
4,pi,0.0073508005041302725
5,pi,0.006006494819710098
6,pi,0.005184912573009477
7,pi,0.004607279021593873
8,pi,0.0041534537002233494
9,pi,0.003771798795816998
10,pi,0.003439114918722428
11,pi,0.0031439997635709475
12,pi,0.002880042799060482
13,pi,0.002643042286769078
14,pi,0.002429856737562458
15,pi,0.0022379211140355795
16,pi,0.002065034810077383
17,pi,0.001909261874486073
18,pi,0.0017688784544021422
19,pi,0.0016423407910569736
20,pi,0.0015282627254379658
21,pi,0.0014253980670584016
22,pi,0.001332625813167797
23,pi,0.001248937300269424
24,pi,0.0011734248310098774
25,pi,0.0011052715186042744
26,pi,0.0010437421807239543
27,pi,0.000988175158374525
28,pi,0.0009379749590038277
29,pi,0.0008926056379098706
30,pi,0.0008515848426251913
31,pi,0.0008144784533421052
32,pi,0.0007808957595013304
33,pi,0.0007504851188107334
34,pi,0.0007229300504003174
35,pi,0.0006979457186783799
36,pi,0.0006752757688091042
37,pi,0.0006546894786455124
38,pi,0.0006359791954704332
39,pi,0.0006189580290638911
40,pi,0.0006034577754639802
1,Q,0.05937825416618594
2,Q,0.0593468034261768
3,Q,0.06803633547859536
4,Q,0.08034964338468718
5,Q,0.09330048964213872
6,Q,0.10567499258341051
7,Q,0.11705488222398368
8,Q,0.12734524654608143
9,Q,0.13657588606126417
10,Q,0.1448205941906693
