sector,name,Y_ss,Y_share,L_ss,PH_ss,GDP_ss,TB_ss,Q_ss,C_ss
1,Agropecuario-silvicola y Pesca,0.22291900888143348,0.06642157739950198,0.05106527665011114,0.7225807238688465,0.6979264226250235,0.01599250110046202,0.677569081408849,0.6819339215245614
2,Mineria,0.6291057847328884,0.18745013618526937,0.12700387407662395,0.7254507265252842,0.6979264226250235,0.01599250110046202,0.677569081408849,0.6819339215245614
3,Industria manufacturera,0.9915081877583631,0.2954325795987209,0.16105591358136212,0.7474800163296412,0.6979264226250235,0.01599250110046202,0.677569081408849,0.6819339215245614
4,Electricidad gas agua y gestion de desechos,0.15053335894536843,0.04485334473075335,0.029200065076348054,0.7275633401511888,0.6979264226250235,0.01599250110046202,0.677569081408849,0.6819339215245614
5,Construccion,0.08720116044824444,0.02598270401928863,0.03167380122776571,0.7009153902170906,0.6979264226250235,0.01599250110046202,0.677569081408849,0.6819339215245614
6,Comercio hoteles y restaurantes,0.07827434010550068,0.023322843421028142,0.03335893541684898,0.6668600421637229,0.6979264226250235,0.01599250110046202,0.677569081408849,0.6819339215245614
7,Transporte comunicaciones y servicios de informacion,0.3086772262885145,0.09197433803543974,0.10933630458455726,0.6830391989941709,0.6979264226250235,0.01599250110046202,0.677569081408849,0.6819339215245614
8,Intermediacion financiera,0.16462587072040202,0.04905238933585768,0.06647721071916746,0.6491439114390822,0.6979264226250235,0.01599250110046202,0.677569081408849,0.6819339215245614
9,Servicios inmobiliarios y de vivienda,0.1374082222240256,0.040942541928470085,0.02149441455799649,0.7327963251899342,0.6979264226250235,0.01599250110046202,0.677569081408849,0.6819339215245614
10,Servicios empresariales,0.43835779543670517,0.13061432663089156,0.25679986743706595,0.6135053044423758,0.6979264226250235,0.01599250110046202,0.677569081408849,0.6819339215245614
11,Servicios personales,0.14532713548054754,0.04330208368503592,0.10854582697798007,0.587477861179531,0.6979264226250235,0.01599250110046202,0.677569081408849,0.6819339215245614
12,Administracion publica,0.0021852894971947333,0.0006511350297427599,0.0017068494332179087,0.5776227510114251,0.6979264226250235,0.01599250110046202,0.677569081408849,0.6819339215245614
