sector,name,VA_direct,fwd_links,bwd_links,VAE,fwd_links_adj,bwd_links_adj,VAE_adj,share_VA_direct,share_VAE,share_VAE_adj,vae_multiplier,vae_multiplier_adj
1,Agropecuario-silvicola y Pesca,0.0467348986708179,0.023299071848237835,0.032152278789726596,0.10218624930878233,0.015153474290215066,0.027336761509895204,0.08922513447092817,0.056159496273222136,0.12279321129275227,0.10721834751567978,2.1865084169443003,1.9091757339497974
2,Mineria,0.12994132691143037,0.01773368351043336,0.09492919939918751,0.24260420982105124,0.011126467038346986,0.0811085339709291,0.22217632792070646,0.15614540037457414,0.29152797170438133,0.26698058655794515,1.867028878244512,1.7098203720217866
3,Industria manufacturera,0.1685337811005623,0.13123842053563894,0.07218188658601375,0.371954088222215,0.10894383728721534,0.06391473225176308,0.3413923506395407,0.20252044020240995,0.4469626515820078,0.4102378091903178,2.2070001977839326,2.025661255625871
4,Electricidad gas agua y gestion de desechos,0.0266227101740484,0.02778682905798939,0.012348447002670692,0.06675798623470848,0.0228129545230161,0.010944664361488419,0.06038032905855292,0.03199146751838627,0.0802204559287282,0.07255667522944872,2.507557863127835,2.2680008407788312
5,Construccion,0.024921790748498,0.016477149305505957,0.007882342551001618,0.049281282605005576,0.016154413933010814,0.006367593838598924,0.04744379852010774,0.029947539300780115,0.059219386058572195,0.05701135344156001,1.9774374603468527,1.9037074421695444
6,Comercio hoteles y restaurantes,0.025914719839993505,0.008591235251054236,0.010132744648852778,0.04463869973990052,0.006969247461636586,0.008845741440672742,0.041729708742302835,0.0311407032788639,0.0536405761643337,0.0501449556808248,1.7225229528050228,1.6102704949139552
7,Transporte comunicaciones y servicios de informacion,0.08404773844751914,0.05369338554361658,0.023662170113732336,0.16140329410486806,0.04389246245768202,0.020666240286496187,0.14860644119169736,0.1009968736075061,0.19395201341108378,0.1785745367517639,1.9203764085294344,1.7681194513578706
8,Intermediacion financiera,0.0501372935018197,0.02357710163795546,0.012127810202704996,0.08584220534248016,0.019666759032503443,0.011099438371110455,0.0809034909054336,0.060248020807693585,0.10315321415314016,0.09721855455378148,1.7121427852774815,1.6136389751971205
9,Servicios inmobiliarios y de vivienda,0.02508589214264109,0.02671461453796294,0.03209075242989991,0.08389125911050394,0.022167372481957395,0.028664905591665027,0.07591817021626351,0.030144733515273275,0.10080883852036834,0.09122789004766402,3.3441608786918633,3.026329292360208
10,Servicios empresariales,0.17617840502929866,0.09712542558996774,0.015165345123666083,0.28846917574293246,0.07887783806904645,0.012793795681082479,0.2678500387794276,0.21170668519803948,0.3466421038843596,0.32186489502347765,1.6373696634099948,1.520334110953518
11,Servicios personales,0.072951365619098,0.0006551228278440799,0.006429771776948261,0.08003626022389033,0.0005063941922712638,0.00545753172025023,0.0789152915316195,0.087662797227169,0.09617643742903495,0.094829413280349,1.0971180531668838,1.081752080470447
12,Administracion publica,0.0011116636933104725,0.0002923256634404194,0.00010322898995317515,0.001507218346704067,0.0002308314592180822,8.908526358076833e-5,0.0014315804161093232,0.0013358426960820295,0.0018111652219653296,0.0017202740848887418,1.3558222291272775,1.2877819296644981
