sector,sectoral_TFP,sectoral_demand,external_and_copper,monetary,preference_(zeta),goods_realloc
Agriculture,79.01031802556106,9.844921044980588,1.7942782449486043,2.0093863408743653,0.00014160691636893227,7.340954736718999
Mining,99.99999999990638,2.1853163472113073e-12,8.720737034134534e-11,2.3396607092983172e-12,6.371025464593702e-15,1.873590363202715e-12
Manufacturing,86.58171693761066,3.029149272381081,2.9833470392757873,4.088549589873008,0.001019466792890367,3.316217694066575
Utilities,33.490823434081754,57.75053542499493,3.128410881397879,0.5385417334016329,0.00047992032057678284,5.091208605803218
Construction,51.65036704234372,2.5197369579559186,26.261322011275638,4.633992064871903,0.0020129127146193333,14.932569010838222
Trade/Hotels,65.94651703081841,14.716035709369798,10.484205084991267,1.325112197013888,0.0012225979444562352,7.5269073798622
Transport/Comm,41.292709114022855,24.826592106793345,15.740003195282119,4.220263751792185,0.002015339959690292,13.918416492149792
Finance,30.928455241004375,36.959710355493904,16.10216620411233,2.5858432927424126,0.0017343418132446898,13.422090564833738
Real Estate,33.47326756024526,16.037290641936625,25.173831690841272,2.7292414132148135,0.0027412863151385393,22.583627407446883
Business Serv.,56.86953388521601,1.6811832124872403,21.180367957096177,5.121234127070232,0.0020327130662430113,15.1456481050641
Personal Serv.,27.393561684954648,46.50373197411305,15.486658452486832,1.4068830361996298,0.0014826310190017918,9.207682221226824
Public Admin.,54.49346737218648,3.366716806445717,24.54205289046073,6.525409804637757,0.0029297785360226677,11.069423347733299
GDP,53.97026220856864,0.4993667577341158,41.03835744087362,0.3885554936122944,0.0015447811061956964,4.10191331810513
